half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,45,45,
1,19,38,Justin Heller misses a 3-point jump shot from 23 feet out.,100050,,true,false,false,Justin,,Heller,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.5,.9,45,45,
1,19,38,Travis McKie with a defensive rebound.,97115,,true,false,false,Travis,,McKie,,Wake,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,19,36,Personal foul committed by Justin Heller.,100050,,true,false,false,Justin,,Heller,,Mia-Fl,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,45,45,
1,19,25,Personal foul committed by Erik Swoope.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,0,0,0,2,1,,,,,0,,1,Personal,8,Foul,,,,45,45,
1,18,52,Codi Miller-McIntyre misses a jump shot from 21 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,0,0,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,-14.5,14.5,18,18,
1,18,52,Donnavan Kirk with a defensive rebound.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,0,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,18,34,Raphael Akpejiori misses a layup shot.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,0,0,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,18,34,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,0,0,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,13,Arnaud-William Adala Moto misses a 3-point jump shot from 23 feet out.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,0,0,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-23.4,.6,18,18,
1,18,13,Rion Brown with a defensive rebound.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,18,02,Rion Brown misses a jump shot from 7 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-.6,6.9,45,45,
1,18,02,Codi Miller-McIntyre with a defensive rebound.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,0,0,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,17,55,Travis McKie makes a 3-point jump shot from 23 feet out. Codi Miller-McIntyre with the assist.,97115,116008,true,true,false,Travis,Codi,McKie,Miller-McIntyre,Wake,Wake,0,3,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.9,.9,18,18,
1,17,33,Rion Brown misses a 3-point jump shot from 23 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,3,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,9.3,21,45,45,
1,17,33,Garrius Adams with an offensive rebound.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,0,3,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,17,29,Garrius Adams makes a layup shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,2,3,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,45,45,
1,17,19,Travis McKie misses a 3-point jump shot from 22 feet out.,97115,,true,false,false,Travis,,McKie,,Wake,,2,3,0,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,22,-15.1,16.6,18,18,
1,17,19,Raphael Akpejiori with a defensive rebound.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,2,3,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,17,01,Personal foul committed by Codi Miller-McIntyre.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,2,3,1,2,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,16,47,Shooting foul committed by Travis McKie.,97115,,true,false,false,Travis,,McKie,,Wake,,2,3,2,2,1,,,,,3,,2,Shooting,8,Foul,,,,18,18,
1,16,47,Erik Swoope makes free throw 1 of 2.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,3,3,2,2,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,45,45,
1,16,47,Erik Swoope makes free throw 2 of 2.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,4,3,2,2,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,45,45,
1,16,30,Coron Williams makes a 3-point jump shot from 22 feet out. Travis McKie with the assist.,89416,97115,true,true,false,Coron,Travis,Williams,McKie,Wake,Wake,4,6,2,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-21.9,.9,18,18,
1,16,06,Donnavan Kirk with a traveling turnover: Traveling,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,4,6,2,2,0,,,,,0,,4,Traveling,7,Turnover,,,,45,45,
1,15,33,Arnaud-William Adala Moto misses a jump shot from 9 feet out.,116014,,true,false,false,Arnaud-William,,Adala Moto,,Wake,,4,6,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,8.1,4.2,18,18,
1,15,33,Devin Thomas with an offensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,4,6,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,15,30,Devin Thomas misses a jump shot from 8 feet out.,116010,,true,false,false,Devin,,Thomas,,Wake,,4,6,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-1,8,18,18,
1,15,30,Garrius Adams with a defensive rebound.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,4,6,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,45,45,
1,15,10,Donnavan Kirk misses a jump shot from 7 feet out.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,4,6,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,3,6.9,45,45,
1,15,10,Travis McKie with a defensive rebound.,97115,,true,false,false,Travis,,McKie,,Wake,,4,6,2,2,1,,,,,3,,,,6,Defensive Rebound,,,,18,18,
1,14,57,Travis McKie misses a jump shot from 8 feet out.,97115,,true,false,false,Travis,,McKie,,Wake,,4,6,2,2,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,8,-.1,7.9,18,18,
1,14,57,Coron Williams with an offensive rebound.,89416,,true,false,false,Coron,,Williams,,Wake,,4,6,2,2,0,,,,,3,,,,5,Offensive Rebound,,,,18,18,
1,14,55,Coron Williams makes a 3-point jump shot from 23 feet out.,89416,,true,false,false,Coron,,Williams,,Wake,,4,9,2,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,-22.7,.8,18,18,
1,14,32,Garrius Adams makes a layup shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,6,9,2,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,45,45,
1,14,32,Shooting foul committed by Devin Thomas.,116010,,true,false,false,Devin,,Thomas,,Wake,,6,9,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,18,18,
1,14,32,Official TV timeout.,,,false,false,false,,,,,,,6,9,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,45,45,
1,14,32,Garrius Adams makes free throw 1 of 1.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,7,9,3,2,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,45,45,
1,14,17,Tyler Cavanaugh with a traveling turnover: Traveling,116013,,true,false,false,Tyler,,Cavanaugh,,Wake,,7,9,3,2,0,,,,,0,,4,Traveling,7,Turnover,,,,18,18,
1,14,04,Offensive foul committed by Donnavan Kirk.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,7,9,3,3,1,,,,,0,,4,Offensive,8,Foul,,,,45,45,
1,14,04,Donnavan Kirk with a  turnover:,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,7,9,3,3,1,,,,,0,,,,7,Turnover,,,,45,45,
1,13,54,Shooting foul committed by Erik Swoope.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,7,9,3,4,2,,,,,2,,2,Shooting,8,Foul,,,,45,45,
1,13,54,Devin Thomas makes free throw 1 of 2.,116010,,true,false,false,Devin,,Thomas,,Wake,,7,10,3,4,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,18,18,
