half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,30,Ian Miller makes a jump shot from 14 feet out.,97446,,true,false,false,Ian,,Miller,,FlaSt,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,14,12.3,5.7,12,12,
1,19,09,Rakeem Christmas makes a layup shot. Jerami Grant with the assist.,110466,116757,true,true,false,Rakeem,Jerami,Christmas,Grant,Syr,Syr,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,52,52,
1,18,47,Okaro White with a lost ball turnover: Lost Ball,97445,,true,false,false,Okaro,,White,,FlaSt,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,18,12,C.J. Fair makes a jump shot from 11 feet out.,97404,,true,false,false,C.J.,,Fair,,Syr,,2,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,7.2,8.9,52,52,
1,18,00,Ian Miller with a bad pass turnover: Bad Pass,97446,,true,false,false,Ian,,Miller,,FlaSt,,2,4,0,0,0,,,,,2,,1,Bad Pass,7,Turnover,,,,12,12,
1,17,50,Tyler Ennis misses a 3-point jump shot from 24 feet out.,121072,,true,false,false,Tyler,,Ennis,,Syr,,2,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-20.7,12.3,52,52,
1,17,50,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,2,4,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,17,37,Aaron Thomas misses a 3-point jump shot from 28 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,2,4,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,28,18.3,21,12,12,
1,17,37,Jerami Grant with a defensive rebound.,116757,,true,false,false,Jerami,,Grant,,Syr,,2,4,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,52,52,
1,17,25,C.J. Fair with a bad pass turnover: Bad Pass,97404,,true,false,false,C.J.,,Fair,,Syr,,2,4,0,0,0,,,,,2,,1,Bad Pass,7,Turnover,,,,52,52,
1,17,21,Personal foul committed by Rakeem Christmas.,110466,,true,false,false,Rakeem,,Christmas,,Syr,,2,4,1,0,1,,,,,2,,1,Personal,8,Foul,,,,52,52,
