half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,14,14,
1,19,45,Mike Tobey misses a 3-point jump shot from 24 feet out.,116698,,true,false,false,Mike,,Tobey,,UVa,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-9.6,21.5,17,17,
1,19,45,Dez Wells with a defensive rebound.,109448,,true,false,false,Dez,,Wells,,MD,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,14,14,
1,19,11,Seth Allen misses a 3-point jump shot from 25 feet out.,116730,,true,false,false,Seth,,Allen,,MD,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-4.2,24.4,14,14,
1,19,11,Nick Faust with an offensive rebound.,110907,,true,false,false,Nick,,Faust,,MD,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,14,14,
1,18,43,John Auslander misses a jump shot from 15 feet out.,110905,,true,false,false,John,,Auslander,,MD,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-15,3,14,14,
1,18,43,MD with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,14,14,
1,18,31,Seth Allen with a bad pass turnover: Bad Pass,116730,,true,false,false,Seth,,Allen,,MD,,0,0,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,14,14,
1,18,16,Malcolm Brogdon makes a layup shot.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,17,42,Personal foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,0,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,17,36,Nick Faust makes a 3-point jump shot from 24 feet out.,110907,,true,false,false,Nick,,Faust,,MD,,3,2,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,19.6,13.7,14,14,
1,17,14,London Perrantes makes a 3-point jump shot from 24 feet out. Malcolm Brogdon with the assist.,120610,109418,true,true,false,London,Malcolm,Perrantes,Brogdon,UVa,UVa,3,5,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-3,24,17,17,
1,16,54,Nick Faust misses a 3-point jump shot from 24 feet out.,110907,,true,false,false,Nick,,Faust,,MD,,3,5,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-21,12,14,14,
1,16,54,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,3,5,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
