half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,13,13,
1,19,27,Joe Rahon misses a jump shot from 16 feet out.,116004,,true,false,false,Joe,,Rahon,,BC,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,8.8,13.7,42,42,
1,19,27,"Robert Carter, Jr. with a defensive rebound.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,19,04,Daniel Miller with a lost ball turnover: Lost Ball,88211,,true,false,false,Daniel,,Miller,,GaTech,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,13,13,
1,18,58,Joe Rahon misses a layup shot.,116004,,true,false,false,Joe,,Rahon,,BC,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,42,42,
1,18,58,Marcus Georges-Hunt with a defensive rebound.,116540,,true,false,false,Marcus,,Georges-Hunt,,GaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,51,"Robert Carter, Jr. misses a layup shot.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,18,51,Corey Heyward with an offensive rebound.,116543,,true,false,false,Corey,,Heyward,,GaTech,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,13,13,
1,18,47,Corey Heyward misses a tip shot from 2 feet out.,116543,,true,false,false,Corey,,Heyward,,GaTech,,0,0,0,0,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,2,-1.4,1.4,13,13,
1,18,47,KC Caudill with a defensive rebound.,110079,,true,false,false,KC,,Caudill,,BC,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,41,Ryan Anderson misses a jump shot from 18 feet out.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-17.1,4.7,42,42,
1,18,41,"Robert Carter, Jr. with a defensive rebound.",116541,,true,false,false,Robert,,"Carter, Jr.",,GaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,13,13,
1,18,31,Trae Golden misses a layup shot.,97522,,true,false,false,Trae,,Golden,,GaTech,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,13,13,
1,18,31,Ryan Anderson with a defensive rebound.,110082,,true,false,false,Ryan,,Anderson,,BC,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,42,42,
1,18,21,Patrick Heckmann misses a 3-point jump shot from 25 feet out.,110086,,true,false,false,Patrick,,Heckmann,,BC,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,18.6,16.7,42,42,
