half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,45,45,
1,19,44,Manu Lecomte misses a 3-point jump shot from 25 feet out.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-18.5,16.6,45,45,
1,19,44,Jarell Eddie with a defensive rebound.,97464,,true,false,false,Jarell,,Eddie,,VaTech,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,19,28,Jarell Eddie makes a 3-point jump shot from 27 feet out. Devin Wilson with the assist.,97464,120763,true,true,false,Jarell,Devin,Eddie,Wilson,VaTech,VaTech,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,27,-22.5,14,54,54,
1,19,08,Rion Brown makes a jump shot from 17 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,2,3,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,7.2,15.2,45,45,
1,18,36,Joey Van Zegeren misses a layup shot.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,2,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,54,54,
1,18,36,Tonye Jekiri with a defensive rebound.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,2,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,18,16,Rion Brown misses a 3-point jump shot from 26 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,2,3,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,26,17,20,45,45,
1,18,16,Tonye Jekiri with an offensive rebound.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,2,3,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,17,48,Garrius Adams misses a layup shot.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,2,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,17,48,Trevor Thompson with a defensive rebound.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,17,24,Trevor Thompson misses a hook shot from 5 feet out.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,2,3,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,-2.5,4.2,54,54,
1,17,24,Rion Brown with a defensive rebound.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,2,3,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,45,45,
1,16,53,Shooting foul committed by Joey Van Zegeren.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,2,3,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,54,54,
1,16,53,Tonye Jekiri makes free throw 1 of 2.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,3,3,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,45,45,
1,16,53,Tonye Jekiri makes free throw 2 of 2.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,4,3,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,45,45,
1,16,38,Jarell Eddie makes a 3-point jump shot from 25 feet out. Joey Van Zegeren with the assist.,97464,110222,true,true,false,Jarell,Joey,Eddie,Van Zegeren,VaTech,VaTech,4,6,1,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,25,-22,10.8,54,54,
1,16,18,Erik Swoope misses a layup shot.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,4,6,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,16,18,Ben Emelogu with a defensive rebound.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,4,6,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,16,04,Ben Emelogu makes a 3-point jump shot from 23 feet out. Devin Wilson with the assist.,120764,120763,true,true,false,Ben,Devin,Emelogu,Wilson,VaTech,VaTech,4,9,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,22.7,2.5,54,54,
1,15,28,Rion Brown misses a 3-point jump shot from 27 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,4,9,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,27,-22.5,15.6,45,45,
1,15,28,Trevor Thompson with a defensive rebound.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,4,9,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,15,18,Shooting foul committed by Rion Brown.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,4,9,1,1,1,,,,,2,,2,Shooting,8,Foul,,,,45,45,
1,15,18,Official TV timeout.,,,false,false,false,,,,,,,4,9,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,45,45,
1,15,18,Joey Van Zegeren makes free throw 1 of 2.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,4,10,1,1,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,54,54,
1,15,18,Joey Van Zegeren misses free throw 2 of 2.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,4,10,1,1,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,54,54,
1,15,18,Erik Swoope with a defensive rebound.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,4,10,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,14,56,Garrius Adams misses a 3-point jump shot from 25 feet out.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,4,10,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,21.5,12.8,45,45,
1,14,56,Rion Brown with an offensive rebound.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,4,10,1,1,1,,,,,2,,,,5,Offensive Rebound,,,,45,45,
1,14,52,Rion Brown misses a dunk shot.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,4,10,1,1,1,,,,,2,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,45,45,
1,14,52,Ben Emelogu with a defensive rebound.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,4,10,1,1,0,,,,,3,,,,6,Defensive Rebound,,,,54,54,
1,14,35,Joey Van Zegeren misses a layup shot.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,4,10,1,1,1,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,54,54,
1,14,35,Tonye Jekiri with a defensive rebound.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,4,10,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,45,45,
1,14,01,Rion Brown makes a 3-point jump shot from 24 feet out. Manu Lecomte with the assist.,97135,120602,true,true,false,Rion,Manu,Brown,Lecomte,Mia-Fl,Mia-Fl,7,10,1,1,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,-1.3,24.1,45,45,
1,13,34,Joey Van Zegeren makes a dunk shot.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,7,12,1,1,1,,,,,3,2,48,Dunk Shot,3,Field Goal Made,0,0,0,54,54,
1,12,57,Manu Lecomte misses a 3-point jump shot from 24 feet out.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,7,12,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-18.5,15.7,45,45,
1,12,57,VaTech with a defensive rebound.,,,false,false,false,,,,,,,7,12,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
