half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,18,18,
1,19,45,Personal foul committed by Codi Miller-McIntyre.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,18,18,
1,19,41,Pat Connaughton makes a hook shot from 8 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,0,2,0,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,8,.3,7.9,46,46,
1,19,29,Coron Williams makes a jump shot from 11 feet out.,89416,,true,false,false,Coron,,Williams,,Wake,,2,2,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,11,2.6,18,18,
1,18,52,Pat Connaughton misses a jump shot from 6 feet out.,109491,,true,false,false,Pat,,Connaughton,,ND,,2,2,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,6,-4,4.5,46,46,
1,18,52,Zach Auguste with an offensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,2,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,46,46,
1,18,49,Zach Auguste misses a layup shot.,116591,,true,false,false,Zach,,Auguste,,ND,,2,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,46,46,
1,18,49,Devin Thomas with a defensive rebound.,116010,,true,false,false,Devin,,Thomas,,Wake,,2,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,18,18,
1,18,35,Devin Thomas makes a layup shot.,116010,,true,false,false,Devin,,Thomas,,Wake,,4,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,18,35,Shooting foul committed by Zach Auguste.,116591,,true,false,false,Zach,,Auguste,,ND,,4,2,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,46,46,
1,18,35,Devin Thomas makes free throw 1 of 1.,116010,,true,false,false,Devin,,Thomas,,Wake,,5,2,1,1,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,18,18,
1,18,02,Garrick Sherman makes a layup shot. Pat Connaughton with the assist.,88941,109491,true,true,false,Garrick,Pat,Sherman,Connaughton,ND,ND,5,4,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,46,46,
1,17,37,Travis McKie misses a 3-point jump shot from 24 feet out.,97115,,true,false,false,Travis,,McKie,,Wake,,5,4,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-23.7,1.3,18,18,
1,17,37,Zach Auguste with a defensive rebound.,116591,,true,false,false,Zach,,Auguste,,ND,,5,4,1,1,1,,,,,0,,,,6,Defensive Rebound,,,,46,46,
1,17,27,Eric Atkins with a lost ball turnover: Lost Ball,97478,,true,false,false,Eric,,Atkins,,ND,,5,4,1,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,46,46,
1,17,25,Personal foul committed by Eric Atkins.,97478,,true,false,false,Eric,,Atkins,,ND,,5,4,2,1,1,,,,,0,,1,Personal,8,Foul,,,,46,46,
1,17,13,Arnaud-William Adala Moto makes a layup shot. Devin Thomas with the assist.,116014,116010,true,true,false,Arnaud-William,Devin,Adala Moto,Thomas,Wake,Wake,7,4,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,18,18,
1,16,48,Garrick Sherman with a lost ball turnover: Lost Ball,88941,,true,false,false,Garrick,,Sherman,,ND,,7,4,2,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,46,46,
