half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,47,47,
1,19,37,Michael Young misses a jump shot from 16 feet out.,120761,,true,false,false,Michael,,Young,,Pitt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,4.7,15.4,47,47,
1,19,37,Pitt with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,19,23,Lamar Patterson misses a jump shot from 16 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,3,15.6,47,47,
1,19,23,Talib Zanna with an offensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,19,17,Talib Zanna makes a layup shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,18,53,Coron Williams misses a layup shot.,89416,,true,false,false,Coron,,Williams,,Wake,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,18,18,
1,18,53,Wake with an offensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
1,18,42,Codi Miller-McIntyre misses a 3-point jump shot from 22 feet out.,116008,,true,false,false,Codi,,Miller-McIntyre,,Wake,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,21.7,5.7,18,18,
1,18,42,Wake with an offensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,18,18,
