half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,44,Jabari Parker misses a jump shot from 11 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-11,2.9,11,11,
1,19,44,Damarcus Harrison with a defensive rebound.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,19,27,Landry Nnoko misses a jump shot from 10 feet out.,116772,,true,false,false,Landry,,Nnoko,,Clem,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,5.5,8.8,10,10,
1,19,27,Tyler Thornton with a defensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,19,17,Amile Jefferson makes a layup shot. Rodney Hood with the assist.,116520,109781,true,true,false,Amile,Rodney,Jefferson,Hood,Duke,Duke,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,18,39,K.J. McDaniels misses a jump shot from 16 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,10.6,12.2,10,10,
1,18,39,Duke with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,17,Shooting foul committed by Damarcus Harrison.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,2,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,10,10,
1,18,17,Jabari Parker makes free throw 1 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,11,11,
1,18,17,Jabari Parker makes free throw 2 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,4,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,11,11,
1,17,53,Damarcus Harrison misses a 3-point jump shot from 22 feet out.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,4,0,1,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22.1,3.3,10,10,
1,17,53,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,4,0,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,11,11,
1,17,45,Rodney Hood misses a jump shot from 16 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,4,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-15.6,3.3,11,11,
1,17,45,Amile Jefferson with an offensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,4,0,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,17,31,Andre Dawkins misses a 3-point jump shot from 23 feet out.,88970,,true,false,false,Andre,,Dawkins,,Duke,,4,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,17.1,15.9,11,11,
1,17,31,Landry Nnoko with a defensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,4,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,17,05,K.J. McDaniels with a lost ball turnover: Lost Ball,110089,,true,false,false,K.J.,,McDaniels,,Clem,,4,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,10,10,
1,17,00,Andre Dawkins with a bad pass turnover: Bad Pass,88970,,true,false,false,Andre,,Dawkins,,Duke,,4,0,1,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,11,11,
1,16,40,Rod Hall misses a layup shot.,110088,,true,false,false,Rod,,Hall,,Clem,,4,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,16,40,Landry Nnoko with an offensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,4,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,16,36,Landry Nnoko makes a layup shot.,116772,,true,false,false,Landry,,Nnoko,,Clem,,4,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,10,10,
1,16,21,Shooting foul committed by Austin Ajukwa.,120591,,true,false,false,Austin,,Ajukwa,,Clem,,4,2,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,10,10,
1,16,21,Jabari Parker makes free throw 1 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,5,2,2,0,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,11,11,
1,16,21,Jabari Parker makes free throw 2 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,2,2,0,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,11,11,
1,15,57,Shooting foul committed by Rasheed Sulaimon.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,6,2,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,15,57,Official TV timeout.,,,false,false,false,,,,,,,6,2,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,11,11,
1,15,57,Rod Hall makes free throw 1 of 2.,110088,,true,false,false,Rod,,Hall,,Clem,,6,3,2,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,10,10,
1,15,57,Rod Hall misses free throw 2 of 2.,110088,,true,false,false,Rod,,Hall,,Clem,,6,3,2,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,10,10,
1,15,57,Jabari Parker with a defensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,6,3,2,1,0,,,,,4,,,,6,Defensive Rebound,,,,11,11,
1,15,18,Rodney Hood misses a jump shot from 7 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,6,3,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,0,7,11,11,
1,15,18,Rodney Hood with an offensive rebound.,109781,,true,false,false,Rodney,,Hood,,Duke,,6,3,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,11,11,
1,15,13,Rodney Hood makes a jump shot from 19 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,8,3,2,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,18,5,11,11,
1,15,00,Damarcus Harrison with a traveling turnover: Traveling,110531,,true,false,false,Damarcus,,Harrison,,Clem,,8,3,2,1,1,,,,,0,,4,Traveling,7,Turnover,,,,10,10,
1,14,40,Jabari Parker misses a jump shot from 17 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,8,3,2,1,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,17,-9.4,14.6,11,11,
1,14,40,Jaron Blossomgame with a defensive rebound.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,8,3,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,14,28,K.J. McDaniels misses a jump shot from 8 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,8,3,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,1.6,7.9,10,10,
1,14,28,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,8,3,2,1,0,,,,,2,,,,6,Defensive Rebound,,,,11,11,
1,14,19,Rasheed Sulaimon makes a layup shot.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,10,3,2,1,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,13,51,Jaron Blossomgame makes a layup shot.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,10,5,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,10,10,
1,13,51,Shooting foul committed by Tyler Thornton.,97330,,true,false,false,Tyler,,Thornton,,Duke,,10,5,2,2,1,,,,,0,,2,Shooting,8,Foul,,,,11,11,
1,13,51,Jaron Blossomgame makes free throw 1 of 1.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,10,6,2,2,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,10,10,
1,13,29,Rodney Hood misses a 3-point jump shot from 24 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,10,6,2,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-5.8,22.9,11,11,
1,13,29,Amile Jefferson with an offensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,10,6,2,2,0,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,13,19,Rasheed Sulaimon makes a 3-point jump shot from 23 feet out. Amile Jefferson with the assist.,116519,116520,true,true,false,Rasheed,Amile,Sulaimon,Jefferson,Duke,Duke,13,6,2,2,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,8.1,21.8,11,11,
1,12,58,Landry Nnoko misses a jump shot from 7 feet out.,116772,,true,false,false,Landry,,Nnoko,,Clem,,13,6,2,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,7,5.8,3.3,10,10,
1,12,58,Marshall Plumlee with a defensive rebound.,109415,,true,false,false,Marshall,,Plumlee,,Duke,,13,6,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,12,45,Rodney Hood misses a jump shot from 5 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,13,6,2,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,5,-1.9,4.4,11,11,
1,12,45,Adonis Filer with a defensive rebound.,116771,,true,false,false,Adonis,,Filer,,Clem,,13,6,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,12,37,Adonis Filer misses a 3-point jump shot from 23 feet out.,116771,,true,false,false,Adonis,,Filer,,Clem,,13,6,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,10.5,20.1,10,10,
1,12,37,Rasheed Sulaimon with a defensive rebound.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,13,6,2,2,1,,,,,5,,,,6,Defensive Rebound,,,,11,11,
1,12,24,Rasheed Sulaimon misses a jump shot from 10 feet out.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,13,6,2,2,1,,,,,5,2,45,Jump Shot,4,Field Goal Missed,10,5.6,7.9,11,11,
1,12,24,Jaron Blossomgame with a defensive rebound.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,13,6,2,2,0,,,,,3,,,,6,Defensive Rebound,,,,10,10,
1,12,10,K.J. McDaniels misses a 3-point jump shot from 23 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,13,6,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,20.8,9.4,10,10,
1,12,10,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,13,6,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,11,11,
1,11,41,Rodney Hood with a lost ball turnover: Lost Ball,109781,,true,false,false,Rodney,,Hood,,Duke,,13,6,2,2,0,,,,,2,,2,Lost Ball,7,Turnover,,,,11,11,
