half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,11,11,
1,19,44,Jabari Parker makes a jump shot from 8 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-5.4,6.2,11,11,
1,19,06,Kyle Washington misses a jump shot from 11 feet out.,120608,,true,false,false,Kyle,,Washington,,NCSU,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-4.3,9.9,16,16,
1,19,06,Tyler Thornton with a defensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,55,Rasheed Sulaimon misses a 3-point jump shot from 24 feet out.,116519,,true,false,false,Rasheed,,Sulaimon,,Duke,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-21,11.5,11,11,
1,18,55,Kyle Washington with a defensive rebound.,120608,,true,false,false,Kyle,,Washington,,NCSU,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,18,46,T.J. Warren makes a layup shot. Tyler Lewis with the assist.,116007,116006,true,true,false,T.J.,Tyler,Warren,Lewis,NCSU,NCSU,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,16,16,
1,18,25,Jabari Parker misses a 3-point jump shot from 24 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-.6,24.2,11,11,
1,18,25,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,16,16,
1,18,15,T.J. Warren misses a jump shot from 8 feet out.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,3.1,7,16,16,
1,18,15,Amile Jefferson with a defensive rebound.,116520,,true,false,false,Amile,,Jefferson,,Duke,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
1,18,00,Tyler Thornton misses a 3-point jump shot from 24 feet out.,97330,,true,false,false,Tyler,,Thornton,,Duke,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,7.6,22.7,11,11,
1,18,00,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,17,53,Offensive foul committed by Jabari Parker.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,1,1,,,,,2,,4,Offensive,8,Foul,,,,11,11,
1,17,53,Jabari Parker with a  turnover:,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,1,1,,,,,2,,,,7,Turnover,,,,11,11,
1,17,23,Ralston Turner with a lost ball turnover: Lost Ball,97046,,true,false,false,Ralston,,Turner,,NCSU,,2,2,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,16,16,
1,17,07,Jabari Parker misses a jump shot from 13 feet out.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,1,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,-12,4.3,11,11,
1,17,07,Jabari Parker with an offensive rebound.,121033,,true,false,false,Jabari,,Parker,,Duke,,2,2,0,1,1,,,,,2,,,,5,Offensive Rebound,,,,11,11,
1,17,04,Shooting foul committed by Ralston Turner.,97046,,true,false,false,Ralston,,Turner,,NCSU,,2,2,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,16,16,
1,17,04,Jabari Parker makes free throw 1 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,3,2,1,1,1,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,11,11,
1,17,04,Jabari Parker makes free throw 2 of 2.,121033,,true,false,false,Jabari,,Parker,,Duke,,4,2,1,1,1,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,11,11,
1,16,48,Kyle Washington makes a jump shot from 20 feet out. Tyler Lewis with the assist.,120608,116006,true,true,false,Kyle,Tyler,Washington,Lewis,NCSU,NCSU,4,4,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,16.6,11.5,16,16,
1,16,18,Rodney Hood misses a 3-point jump shot from 22 feet out.,109781,,true,false,false,Rodney,,Hood,,Duke,,4,4,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22.4,2.3,11,11,
