half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,29,Michael Young misses a hook shot from 7 feet out.,120761,,true,false,false,Michael,,Young,,Pitt,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,7,.1,6.7,47,47,
1,19,29,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,19,08,Akil Mitchell with a lost ball turnover: Lost Ball,97111,,true,false,false,Akil,,Mitchell,,UVa,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,17,17,
1,18,38,Talib Zanna with a lost ball turnover: Lost Ball,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,47,47,
1,18,17,Joe Harris makes a jump shot from 19 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,-18.1,5.3,17,17,
1,17,51,Lamar Patterson misses a jump shot from 16 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,1.4,15.7,47,47,
1,17,51,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,17,42,Mike Tobey makes a dunk shot. London Perrantes with the assist.,116698,120610,true,true,false,Mike,London,Tobey,Perrantes,UVa,UVa,4,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,17,17,
1,17,13,Lamar Patterson misses a 3-point jump shot from 23 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,4,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-6.2,22.4,47,47,
1,17,13,London Perrantes with a defensive rebound.,120610,,true,false,false,London,,Perrantes,,UVa,,4,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,16,58,Joe Harris with a bad pass turnover: Bad Pass,97108,,true,false,false,Joe,,Harris,,UVa,,4,0,0,0,0,,,,,2,,1,Bad Pass,7,Turnover,,,,17,17,
1,16,21,Cameron Wright misses a jump shot from 19 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,4,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,16.4,9.8,47,47,
1,16,21,Malcolm Brogdon with a defensive rebound.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,4,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,16,08,Joe Harris misses a 3-point jump shot from 23 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,4,0,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,13.7,18.3,17,17,
1,16,08,Lamar Patterson with a defensive rebound.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,4,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,16,04,Shooting foul committed by Akil Mitchell.,97111,,true,false,false,Akil,,Mitchell,,UVa,,4,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,17,17,
1,16,04,Talib Zanna makes free throw 1 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,16,04,Talib Zanna makes free throw 2 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,4,2,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,15,48,Official TV timeout.,,,false,false,false,,,,,,,4,2,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,15,30,London Perrantes misses a 3-point jump shot from 23 feet out.,120610,,true,false,false,London,,Perrantes,,UVa,,4,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-11.8,20.1,17,17,
1,15,30,James Robinson with a defensive rebound.,116087,,true,false,false,James,,Robinson,,Pitt,,4,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,15,11,Cameron Wright makes a jump shot from 19 feet out. Lamar Patterson with the assist.,97236,88282,true,true,false,Cameron,Lamar,Wright,Patterson,Pitt,Pitt,4,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,-11.3,15.4,47,47,
1,14,48,Malcolm Brogdon makes a jump shot from 16 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,6,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-2.6,15.4,17,17,
1,14,12,Talib Zanna makes a layup shot. James Robinson with the assist.,88283,116087,true,true,false,Talib,James,Zanna,Robinson,Pitt,Pitt,6,6,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,13,42,Joe Harris misses a 3-point jump shot from 23 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,6,6,0,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-5.7,21.8,17,17,
1,13,42,Mike Tobey with an offensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,6,6,0,1,0,,,,,2,,,,5,Offensive Rebound,,,,17,17,
1,13,41,Personal foul committed by Michael Young.,120761,,true,false,false,Michael,,Young,,Pitt,,6,6,1,1,1,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,13,36,Akil Mitchell with a lost ball turnover: Lost Ball,97111,,true,false,false,Akil,,Mitchell,,UVa,,6,6,1,1,1,,,,,0,,2,Lost Ball,7,Turnover,,,,17,17,
1,13,18,Jamel Artis misses a layup shot.,120758,,true,false,false,Jamel,,Artis,,Pitt,,6,6,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,13,18,Talib Zanna with an offensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,6,6,1,1,0,,,,,4,,,,5,Offensive Rebound,,,,47,47,
1,13,14,Talib Zanna makes a layup shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,6,8,1,1,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,13,00,Shooting foul committed by Jamel Artis.,120758,,true,false,false,Jamel,,Artis,,Pitt,,6,8,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,47,47,
1,13,00,Anthony Gill makes free throw 1 of 2.,109947,,true,false,false,Anthony,,Gill,,UVa,,7,8,2,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,17,17,
1,13,00,Anthony Gill makes free throw 2 of 2.,109947,,true,false,false,Anthony,,Gill,,UVa,,8,8,2,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,17,17,
1,12,44,Personal foul committed by Darion Atkins.,109419,,true,false,false,Darion,,Atkins,,UVa,,8,8,2,2,1,,,,,0,,1,Personal,8,Foul,,,,17,17,
1,12,31,Lamar Patterson misses a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,8,8,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,12,31,UVa with a defensive rebound.,,,false,false,false,,,,,,,8,8,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,12,13,Justin Anderson misses a layup shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,8,8,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,12,13,Justin Anderson with an offensive rebound.,116701,,true,false,false,Justin,,Anderson,,UVa,,8,8,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,17,17,
1,12,10,Justin Anderson makes a layup shot.,116701,,true,false,false,Justin,,Anderson,,UVa,,10,8,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,11,46,James Robinson misses a 3-point jump shot from 22 feet out.,116087,,true,false,false,James,,Robinson,,Pitt,,10,8,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-21.7,-.3,47,47,
1,11,46,Justin Anderson with a defensive rebound.,116701,,true,false,false,Justin,,Anderson,,UVa,,10,8,2,2,0,,,,,2,,,,6,Defensive Rebound,,,,17,17,
1,11,23,Anthony Gill misses a jump shot from 13 feet out.,109947,,true,false,false,Anthony,,Gill,,UVa,,10,8,2,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,-12.8,2.1,17,17,
1,11,23,Lamar Patterson with a defensive rebound.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,10,8,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,11,08,Lamar Patterson makes a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,10,10,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,10,40,Anthony Gill misses a jump shot from 6 feet out.,109947,,true,false,false,Anthony,,Gill,,UVa,,10,10,2,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,6,4.3,4.3,17,17,
1,10,40,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,10,10,2,2,0,,,,,6,,,,6,Defensive Rebound,,,,47,47,
1,10,34,Shooting foul committed by Anthony Gill.,109947,,true,false,false,Anthony,,Gill,,UVa,,10,10,2,3,1,,,,,2,,2,Shooting,8,Foul,,,,17,17,
1,10,34,Official TV timeout.,,,false,false,false,,,,,,,10,10,2,3,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,10,34,Josh Newkirk misses free throw 1 of 2.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,10,10,2,3,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,47,47,
1,10,34,Pitt with an offensive rebound.,,,false,false,false,,,,,,,10,10,2,3,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,10,34,Josh Newkirk makes free throw 2 of 2.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,10,11,2,3,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,10,21,Anthony Gill makes a layup shot.,109947,,true,false,false,Anthony,,Gill,,UVa,,12,11,2,3,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,9,43,Cameron Wright misses a jump shot from 18 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,12,11,2,3,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,18,16.2,8.2,47,47,
1,9,43,Anthony Gill with a defensive rebound.,109947,,true,false,false,Anthony,,Gill,,UVa,,12,11,2,3,1,,,,,4,,,,6,Defensive Rebound,,,,17,17,
1,9,21,Darion Atkins with a lost ball turnover: Lost Ball,109419,,true,false,false,Darion,,Atkins,,UVa,,12,11,2,3,1,,,,,0,,2,Lost Ball,7,Turnover,,,,17,17,
1,9,02,Lamar Patterson with a lost ball turnover: Lost Ball,88282,,true,false,false,Lamar,,Patterson,,Pitt,,12,11,2,3,0,,,,,2,,2,Lost Ball,7,Turnover,,,,47,47,
1,8,46,Personal foul committed by Michael Young.,120761,,true,false,false,Michael,,Young,,Pitt,,12,11,3,3,2,,,,,0,,1,Personal,8,Foul,,,,47,47,
1,8,41,Malcolm Brogdon misses a 3-point jump shot from 24 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,12,11,3,3,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,7.2,22.7,17,17,
1,8,41,Lamar Patterson with a defensive rebound.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,12,11,3,3,0,,,,,2,,,,6,Defensive Rebound,,,,47,47,
1,8,34,Cameron Wright makes a layup shot. Lamar Patterson with the assist.,97236,88282,true,true,false,Cameron,Lamar,Wright,Patterson,Pitt,Pitt,12,13,3,3,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,8,17,Personal foul committed by Cameron Wright.,97236,,true,false,false,Cameron,,Wright,,Pitt,,12,13,4,3,1,,,,,4,,1,Personal,8,Foul,,,,47,47,
1,8,16,Akil Mitchell makes a layup shot. London Perrantes with the assist.,97111,120610,true,true,false,Akil,London,Mitchell,Perrantes,UVa,UVa,14,13,4,3,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,7,58,Josh Newkirk misses a layup shot.,120759,,true,false,false,Josh,,Newkirk,,Pitt,,14,13,4,3,0,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,7,58,Talib Zanna with an offensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,14,13,4,3,0,,,,,6,,,,5,Offensive Rebound,,,,47,47,
1,7,52,Talib Zanna makes a dunk shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,14,15,4,3,0,,,,,8,2,48,Dunk Shot,3,Field Goal Made,0,0,0,47,47,
1,7,47,Malcolm Brogdon makes a jump shot from 16 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,16,15,4,3,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,16,14.9,7,17,17,
1,7,23,Shooting foul committed by London Perrantes.,120610,,true,false,false,London,,Perrantes,,UVa,,16,15,4,4,1,,,,,0,,2,Shooting,8,Foul,,,,17,17,
1,7,23,Official TV timeout.,,,false,false,false,,,,,,,16,15,4,4,0,,,,,0,,3,Official TV,11,Timeout,,,,17,17,
1,7,23,Talib Zanna makes free throw 1 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,16,16,4,4,0,,,,,9,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,7,23,Talib Zanna makes free throw 2 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,16,17,4,4,0,,,,,10,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,7,03,Joe Harris misses a 3-point jump shot from 24 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,16,17,4,4,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,15.4,18.1,17,17,
1,7,03,Talib Zanna with a defensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,16,17,4,4,0,,,,,10,,,,6,Defensive Rebound,,,,47,47,
1,6,56,Lamar Patterson misses a jump shot from 20 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,16,17,4,4,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,20,-13.4,15.2,47,47,
1,6,56,Joe Harris with a defensive rebound.,97108,,true,false,false,Joe,,Harris,,UVa,,16,17,4,4,0,,,,,2,,,,6,Defensive Rebound,,,,17,17,
1,6,33,Malcolm Brogdon with a lost ball turnover: Lost Ball,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,16,17,4,4,0,,,,,4,,2,Lost Ball,7,Turnover,,,,17,17,
1,6,29,Shooting foul committed by Joe Harris.,97108,,true,false,false,Joe,,Harris,,UVa,,16,17,4,5,1,,,,,2,,2,Shooting,8,Foul,,,,17,17,
1,6,29,Jamel Artis misses free throw 1 of 2.,120758,,true,false,false,Jamel,,Artis,,Pitt,,16,17,4,5,1,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,47,47,
1,6,29,Pitt with an offensive rebound.,,,false,false,false,,,,,,,16,17,4,5,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,6,29,Jamel Artis misses free throw 2 of 2.,120758,,true,false,false,Jamel,,Artis,,Pitt,,16,17,4,5,1,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,47,47,
1,6,29,Derrick Randall with an offensive rebound.,110181,,true,false,false,Derrick,,Randall,,Pitt,,16,17,4,5,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,6,28,Derrick Randall makes a tip shot from 4 feet out.,110181,,true,false,false,Derrick,,Randall,,Pitt,,16,19,4,5,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,4,-.4,4.2,47,47,
1,5,48,London Perrantes misses a 3-point jump shot from 26 feet out.,120610,,true,false,false,London,,Perrantes,,UVa,,16,19,4,5,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-10.6,24.1,17,17,
1,5,48,Akil Mitchell with an offensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,16,19,4,5,1,,,,,2,,,,5,Offensive Rebound,,,,17,17,
1,5,44,Akil Mitchell makes a layup shot.,97111,,true,false,false,Akil,,Mitchell,,UVa,,18,19,4,5,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,17,17,
1,5,31,Offensive foul committed by Jamel Artis.,120758,,true,false,false,Jamel,,Artis,,Pitt,,18,19,5,5,2,,,,,0,,4,Offensive,8,Foul,,,,47,47,
1,5,31,Jamel Artis with a  turnover:,120758,,true,false,false,Jamel,,Artis,,Pitt,,18,19,5,5,2,,,,,0,,,,7,Turnover,,,,47,47,
1,5,06,Malcolm Brogdon misses a 3-point jump shot from 24 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,18,19,5,5,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,24,21.7,10.1,17,17,
1,5,06,Derrick Randall with a defensive rebound.,110181,,true,false,false,Derrick,,Randall,,Pitt,,18,19,5,5,0,,,,,2,,,,6,Defensive Rebound,,,,47,47,
