half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,43,Amile Jefferson makes a layup shot. Rodney Hood with the assist.,116520,109781,true,true,false,Amile,Rodney,Jefferson,Hood,Duke,Duke,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,11,11,
1,19,12,Mike Tobey makes a jump shot from 10 feet out.,116698,,true,false,false,Mike,,Tobey,,UVa,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,10,-9.1,3.5,17,17,
1,18,55,Amile Jefferson misses a hook shot from 8 feet out.,116520,,true,false,false,Amile,,Jefferson,,Duke,,2,2,0,0,0,,,,,2,2,55,Hook Shot,4,Field Goal Missed,8,-.1,7.9,11,11,
1,18,55,Mike Tobey with a defensive rebound.,116698,,true,false,false,Mike,,Tobey,,UVa,,2,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,17,17,
1,18,24,Malcolm Brogdon makes a 3-point jump shot from 25 feet out. London Perrantes with the assist.,109418,120610,true,true,false,Malcolm,London,Brogdon,Perrantes,UVa,UVa,5,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,10.5,22.9,17,17,
1,18,04,Jabari Parker misses a layup shot.,121033,,true,false,false,Jabari,,Parker,,Duke,,5,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,11,11,
1,18,04,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,5,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,17,51,Joe Harris misses a 3-point jump shot from 25 feet out.,97108,,true,false,false,Joe,,Harris,,UVa,,5,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-21.7,12,17,17,
1,17,51,Tyler Thornton with a defensive rebound.,97330,,true,false,false,Tyler,,Thornton,,Duke,,5,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,11,11,
