half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,84,84,
1,19,25,Lamar Patterson misses a 3-point jump shot from 23 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19,12.5,47,47,
1,19,25,Josh Scott with a defensive rebound.,116833,,true,false,false,Josh,,Scott,,Colo,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,84,84,
1,18,56,Askia Booker with a lost ball turnover: Lost Ball,109659,,true,false,false,Askia,,Booker,,Colo,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,84,84,
1,18,52,Cameron Wright makes a layup shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,18,26,Xavier Johnson misses a 3-point jump shot from 23 feet out.,116832,,true,false,false,Xavier,,Johnson,,Colo,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-18.2,14,84,84,
1,18,26,James Robinson with a defensive rebound.,116087,,true,false,false,James,,Robinson,,Pitt,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,18,10,Michael Young makes a 3-point jump shot from 23 feet out. Lamar Patterson with the assist.,120761,88282,true,true,false,Michael,Lamar,Young,Patterson,Pitt,Pitt,0,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-17.7,14.4,47,47,
1,17,36,Xavier Johnson with a lost ball turnover: Lost Ball,116832,,true,false,false,Xavier,,Johnson,,Colo,,0,5,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,84,84,
1,17,30,James Robinson misses a layup shot.,116087,,true,false,false,James,,Robinson,,Pitt,,0,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,17,30,Talib Zanna with an offensive rebound.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,47,47,
1,17,27,Talib Zanna makes a layup shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,7,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,17,26,Colo take a 20-second timeout.,,,false,false,false,,,,,,,0,7,0,0,0,,,,,0,,2,Short,11,Timeout,,,,84,84,
1,17,05,Xavier Johnson misses a 3-point jump shot from 22 feet out.,116832,,true,false,false,Xavier,,Johnson,,Colo,,0,7,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-20.6,8.7,84,84,
1,17,05,Cameron Wright with a defensive rebound.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,7,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,47,47,
1,16,55,Talib Zanna makes a layup shot. James Robinson with the assist.,88283,116087,true,true,false,Talib,James,Zanna,Robinson,Pitt,Pitt,0,9,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,16,23,Askia Booker misses a 3-point jump shot from 25 feet out.,109659,,true,false,false,Askia,,Booker,,Colo,,0,9,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,14.2,20.1,84,84,
1,16,23,Michael Young with a defensive rebound.,120761,,true,false,false,Michael,,Young,,Pitt,,0,9,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,47,47,
1,16,04,Lamar Patterson misses a 3-point jump shot from 24 feet out.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,0,9,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,10.8,21.4,47,47,
1,16,04,Xavier Talton with a defensive rebound.,116835,,true,false,false,Xavier,,Talton,,Colo,,0,9,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,84,84,
1,15,49,Official TV timeout.,,,false,false,false,,,,,,,0,9,0,0,0,,,,,0,,3,Official TV,11,Timeout,,,,84,84,
1,15,39,Josh Scott with a lost ball turnover: Lost Ball,116833,,true,false,false,Josh,,Scott,,Colo,,0,9,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,84,84,
1,15,34,Cameron Wright misses a layup shot.,97236,,true,false,false,Cameron,,Wright,,Pitt,,0,9,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,15,34,Askia Booker with a defensive rebound.,109659,,true,false,false,Askia,,Booker,,Colo,,0,9,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,84,84,
1,15,26,Askia Booker misses a jump shot from 7 feet out.,109659,,true,false,false,Askia,,Booker,,Colo,,0,9,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-.3,7.2,84,84,
1,15,26,James Robinson with a defensive rebound.,116087,,true,false,false,James,,Robinson,,Pitt,,0,9,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,15,20,Talib Zanna makes a layup shot. James Robinson with the assist.,88283,116087,true,true,false,Talib,James,Zanna,Robinson,Pitt,Pitt,0,11,0,0,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,47,47,
1,15,03,Xavier Johnson with a bad pass turnover: Bad Pass,116832,,true,false,false,Xavier,,Johnson,,Colo,,0,11,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,84,84,
1,14,51,Shooting foul committed by Xavier Talton.,116835,,true,false,false,Xavier,,Talton,,Colo,,0,11,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,84,84,
1,14,51,Talib Zanna makes free throw 1 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,12,0,1,0,,,,,7,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,47,47,
1,14,51,Talib Zanna makes free throw 2 of 2.,88283,,true,false,false,Talib,,Zanna,,Pitt,,0,13,0,1,0,,,,,8,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,47,47,
1,14,19,Wesley Gordon makes a 3-point jump shot from 22 feet out.,116830,,true,false,false,Wesley,,Gordon,,Colo,,3,13,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,16.2,15.5,84,84,
1,14,04,Cameron Wright makes a jump shot from 15 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,3,15,0,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,15,5.6,14.2,47,47,
1,13,41,Wesley Gordon misses a layup shot.,116830,,true,false,false,Wesley,,Gordon,,Colo,,3,15,0,1,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,84,84,
1,13,41,James Robinson with a defensive rebound.,116087,,true,false,false,James,,Robinson,,Pitt,,3,15,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,13,09,Talib Zanna misses a layup shot.,88283,,true,false,false,Talib,,Zanna,,Pitt,,3,15,0,1,0,,,,,8,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,13,09,Xavier Johnson with a defensive rebound.,116832,,true,false,false,Xavier,,Johnson,,Colo,,3,15,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,84,84,
1,12,59,Personal foul committed by Michael Young.,120761,,true,false,false,Michael,,Young,,Pitt,,3,15,1,1,1,,,,,3,,1,Personal,8,Foul,,,,47,47,
1,12,45,Josh Scott makes a jump shot from 18 feet out.,116833,,true,false,false,Josh,,Scott,,Colo,,5,15,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,.3,17.9,84,84,
1,12,11,Cameron Wright makes a jump shot from 15 feet out. Josh Newkirk with the assist.,97236,120759,true,true,false,Cameron,Josh,Wright,Newkirk,Pitt,Pitt,5,17,1,1,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,15,-14.5,3.1,47,47,
1,11,44,Askia Booker with a lost ball turnover: Lost Ball,109659,,true,false,false,Askia,,Booker,,Colo,,5,17,1,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,84,84,
1,11,39,Lamar Patterson misses a layup shot.,88282,,true,false,false,Lamar,,Patterson,,Pitt,,5,17,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,47,47,
1,11,39,Dustin Thomas with a defensive rebound.,120677,,true,false,false,Dustin,,Thomas,,Colo,,5,17,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,84,84,
1,11,28,Askia Booker misses a jump shot from 19 feet out.,109659,,true,false,false,Askia,,Booker,,Colo,,5,17,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,13.4,13.5,84,84,
1,11,28,Jamel Artis with a defensive rebound.,120758,,true,false,false,Jamel,,Artis,,Pitt,,5,17,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,47,47,
1,11,14,Cameron Wright makes a jump shot from 3 feet out.,97236,,true,false,false,Cameron,,Wright,,Pitt,,5,19,1,1,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,3,-2.5,2,47,47,
