half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,210,210,
1,19,39,Tshilidzi Nephawe with a lost ball turnover: Lost Ball,97942,,true,false,false,Tshilidzi,,Nephawe,,NMSt,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,304,304,
1,19,22,Josh Davis misses a jump shot from 8 feet out.,88229,,true,false,false,Josh,,Davis,,SDSU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,1.3,8.2,210,210,
1,19,22,DK Eldridge with a defensive rebound.,121183,,true,false,false,DK,,Eldridge,,NMSt,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,304,304,
1,19,15,Daniel Mullings misses a jump shot from 8 feet out.,110592,,true,false,false,Daniel,,Mullings,,NMSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-.4,8.1,304,304,
1,19,15,Xavier Thames with a defensive rebound.,88783,,true,false,false,Xavier,,Thames,,SDSU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,210,210,
1,19,07,Josh Davis misses a layup shot.,88229,,true,false,false,Josh,,Davis,,SDSU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,210,210,
1,19,07,JJ O'Brien with an offensive rebound.,98068,,true,false,false,JJ,,O'Brien,,SDSU,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,210,210,
1,19,02,JJ O'Brien makes a tip shot from 2 feet out.,98068,,true,false,false,JJ,,O'Brien,,SDSU,,2,0,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,2,-.1,1.6,210,210,
1,18,41,DK Eldridge with a lost ball turnover: Lost Ball,121183,,true,false,false,DK,,Eldridge,,NMSt,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,304,304,
1,18,24,Xavier Thames misses a 3-point jump shot from 23 feet out.,88783,,true,false,false,Xavier,,Thames,,SDSU,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,0,23,210,210,
1,18,24,NMSt with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,304,304,
1,18,21,Personal foul committed by JJ O'Brien.,98068,,true,false,false,JJ,,O'Brien,,SDSU,,2,0,0,1,1,,,,,2,,1,Personal,8,Foul,,,,210,210,
1,17,53,Sim Bhullar misses a jump shot from 7 feet out.,111436,,true,false,false,Sim,,Bhullar,,NMSt,,2,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,6.4,2.8,304,304,
1,17,53,JJ O'Brien with a defensive rebound.,98068,,true,false,false,JJ,,O'Brien,,SDSU,,2,0,0,1,1,,,,,2,,,,6,Defensive Rebound,,,,210,210,
1,17,46,Winston Shepard with a lost ball turnover: Lost Ball,116431,,true,false,false,Winston,,Shepard,,SDSU,,2,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,210,210,
1,17,30,Tshilidzi Nephawe misses a layup shot.,97942,,true,false,false,Tshilidzi,,Nephawe,,NMSt,,2,0,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,304,304,
1,17,30,SDSU with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,210,210,
1,17,02,JJ O'Brien misses a jump shot from 9 feet out.,98068,,true,false,false,JJ,,O'Brien,,SDSU,,2,0,0,1,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,9,2.1,8.2,210,210,
1,17,02,Sim Bhullar with a defensive rebound.,111436,,true,false,false,Sim,,Bhullar,,NMSt,,2,0,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,304,304,
1,16,47,Daniel Mullings with a lost ball turnover: Lost Ball,110592,,true,false,false,Daniel,,Mullings,,NMSt,,2,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,304,304,
1,16,39,Xavier Thames makes a 3-point jump shot from 23 feet out. Winston Shepard with the assist.,88783,116431,true,true,false,Xavier,Winston,Thames,Shepard,SDSU,SDSU,5,0,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-16.4,15.7,210,210,
1,16,37,NMSt take a full timeout.,,,false,false,false,,,,,,,5,0,0,1,0,,,,,0,,1,Regular,11,Timeout,,,,304,304,
1,16,27,Sim Bhullar makes a dunk shot.,111436,,true,false,false,Sim,,Bhullar,,NMSt,,5,2,0,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,304,304,
1,15,58,Winston Shepard misses a jump shot from 17 feet out.,116431,,true,false,false,Winston,,Shepard,,SDSU,,5,2,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,6,16,210,210,
1,15,58,Daniel Mullings with a defensive rebound.,110592,,true,false,false,Daniel,,Mullings,,NMSt,,5,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,304,304,
1,15,26,Tshilidzi Nephawe with a traveling turnover: Traveling,97942,,true,false,false,Tshilidzi,,Nephawe,,NMSt,,5,2,0,1,0,,,,,0,,4,Traveling,7,Turnover,,,,304,304,
1,15,26,Official TV timeout.,,,false,false,false,,,,,,,5,2,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,210,210,
1,15,03,Dwayne Polee II misses a layup shot.,97695,,true,false,false,Dwayne,,Polee II,,SDSU,,5,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,210,210,
1,15,03,Daniel Mullings with a defensive rebound.,110592,,true,false,false,Daniel,,Mullings,,NMSt,,5,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,304,304,
1,14,57,Daniel Mullings makes a layup shot. DK Eldridge with the assist.,110592,121183,true,true,false,Daniel,DK,Mullings,Eldridge,NMSt,NMSt,5,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,304,304,
1,14,37,Shooting foul committed by Sim Bhullar.,111436,,true,false,false,Sim,,Bhullar,,NMSt,,5,4,1,1,1,,,,,2,,2,Shooting,8,Foul,,,,304,304,
1,14,37,Dwayne Polee II makes free throw 1 of 2.,97695,,true,false,false,Dwayne,,Polee II,,SDSU,,6,4,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,210,210,
1,14,37,Dwayne Polee II misses free throw 2 of 2.,97695,,true,false,false,Dwayne,,Polee II,,SDSU,,6,4,1,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,210,210,
1,14,37,Josh Davis with an offensive rebound.,88229,,true,false,false,Josh,,Davis,,SDSU,,6,4,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,210,210,
1,14,36,Josh Davis makes a tip shot from 2 feet out.,88229,,true,false,false,Josh,,Davis,,SDSU,,8,4,1,1,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,2,0,2,210,210,
1,14,05,DK Eldridge misses a 3-point jump shot from 22 feet out.,121183,,true,false,false,DK,,Eldridge,,NMSt,,8,4,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22.2,2.8,304,304,
