half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,122,122,
1,19,39,Maurice Creek misses a jump shot from 20 feet out.,88952,,true,false,false,Maurice,,Creek,,GW,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-2,20,33,33,
1,19,39,Geron Johnson with a defensive rebound.,116261,,true,false,false,Geron,,Johnson,,Mem,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,122,122,
1,19,29,Shooting foul committed by Joe McDonald.,116030,,true,false,false,Joe,,McDonald,,GW,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,33,33,
1,19,29,Joe Jackson makes free throw 1 of 2.,97318,,true,false,false,Joe,,Jackson,,Mem,,1,0,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,122,122,
1,19,29,Joe Jackson makes free throw 2 of 2.,97318,,true,false,false,Joe,,Jackson,,Mem,,2,0,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,122,122,
1,19,04,Patricio Garino with a lost ball turnover: Lost Ball,116028,,true,false,false,Patricio,,Garino,,GW,,2,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,33,33,
1,18,43,Austin Nichols makes a layup shot. Chris Crawford with the assist.,121068,97320,true,true,false,Austin,Chris,Nichols,Crawford,Mem,Mem,4,0,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,122,122,
1,18,13,Kevin Larsen makes a hook shot from 4 feet out.,116027,,true,false,false,Kevin,,Larsen,,GW,,4,2,1,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,4,.3,3.6,33,33,
1,18,03,Personal foul committed by Isaiah Armwood.,88903,,true,false,false,Isaiah,,Armwood,,GW,,4,2,2,0,1,,,,,0,,1,Personal,8,Foul,,,,33,33,
1,17,56,Chris Crawford misses a 3-point jump shot from 21 feet out.,97320,,true,false,false,Chris,,Crawford,,Mem,,4,2,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,21,-21,4,122,122,
1,17,56,Patricio Garino with a defensive rebound.,116028,,true,false,false,Patricio,,Garino,,GW,,4,2,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,33,33,
1,17,41,Isaiah Armwood misses a jump shot from 6 feet out.,88903,,true,false,false,Isaiah,,Armwood,,GW,,4,2,2,0,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,.1,6,33,33,
1,17,41,Kevin Larsen with an offensive rebound.,116027,,true,false,false,Kevin,,Larsen,,GW,,4,2,2,0,0,,,,,2,,,,5,Offensive Rebound,,,,33,33,
1,17,37,Kevin Larsen makes a tip shot from 2 feet out.,116027,,true,false,false,Kevin,,Larsen,,GW,,4,4,2,0,0,,,,,4,2,53,Tip Shot,3,Field Goal Made,2,-1.6,1.6,33,33,
