half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,209,209,
1,19,37,Shooting foul committed by Alex Kirk.,97225,,true,false,false,Alex,,Kirk,,NM,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,209,209,
1,19,37,Dwight Powell misses free throw 1 of 2.,97471,,true,false,false,Dwight,,Powell,,Stan,,0,0,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,240,240,
1,19,37,Stan with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,240,240,
1,19,37,Dwight Powell makes free throw 2 of 2.,97471,,true,false,false,Dwight,,Powell,,Stan,,0,1,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,240,240,
1,19,22,Cameron Bairstow makes a jump shot from 12 feet out.,97224,,true,false,false,Cameron,,Bairstow,,NM,,2,1,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,4.8,10.4,209,209,
1,19,12,Stefan Nastic makes a layup shot. Dwight Powell with the assist.,97470,97471,true,true,false,Stefan,Dwight,Nastic,Powell,Stan,Stan,2,3,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,240,240,
1,18,58,Personal foul committed by Josh Huestis.,97469,,true,false,false,Josh,,Huestis,,Stan,,2,3,1,1,1,,,,,0,,1,Personal,8,Foul,,,,240,240,
1,18,51,Cameron Bairstow makes a jump shot from 14 feet out. Kendall Williams with the assist.,97224,97222,true,true,false,Cameron,Kendall,Bairstow,Williams,NM,NM,4,3,1,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,14,-13.5,.6,209,209,
1,18,39,Stefan Nastic makes a layup shot. Chasson Randle with the assist.,97470,109889,true,true,false,Stefan,Chasson,Nastic,Randle,Stan,Stan,4,5,1,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,240,240,
1,18,14,Cameron Bairstow misses a jump shot from 7 feet out.,97224,,true,false,false,Cameron,,Bairstow,,NM,,4,5,1,1,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,7,6.5,2.3,209,209,
1,18,14,Stefan Nastic with a defensive rebound.,97470,,true,false,false,Stefan,,Nastic,,Stan,,4,5,1,1,0,,,,,4,,,,6,Defensive Rebound,,,,240,240,
1,18,07,Anthony Brown makes a 3-point jump shot from 24 feet out. Chasson Randle with the assist.,97467,109889,true,true,false,Anthony,Chasson,Brown,Randle,Stan,Stan,4,8,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-21.9,11,240,240,
1,17,59,Personal foul committed by Stefan Nastic.,97470,,true,false,false,Stefan,,Nastic,,Stan,,4,8,2,1,1,,,,,4,,1,Personal,8,Foul,,,,240,240,
1,17,55,Kendall Williams misses a 3-point jump shot from 23 feet out.,97222,,true,false,false,Kendall,,Williams,,NM,,4,8,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-23.2,3.5,209,209,
1,17,55,Stefan Nastic with a defensive rebound.,97470,,true,false,false,Stefan,,Nastic,,Stan,,4,8,2,1,1,,,,,4,,,,6,Defensive Rebound,,,,240,240,
1,17,27,Anthony Brown with a traveling turnover: Traveling,97467,,true,false,false,Anthony,,Brown,,Stan,,4,8,2,1,0,,,,,3,,4,Traveling,7,Turnover,,,,240,240,
1,17,06,Deshawn Delaney with a lost ball turnover: Lost Ball,122219,,true,false,false,Deshawn,,Delaney,,NM,,4,8,2,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,209,209,
1,17,02,Chasson Randle makes a layup shot.,109889,,true,false,false,Chasson,,Randle,,Stan,,4,10,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,240,240,
1,16,47,Deshawn Delaney misses a 3-point jump shot from 22 feet out.,122219,,true,false,false,Deshawn,,Delaney,,NM,,4,10,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22.2,3.5,209,209,
1,16,47,Anthony Brown with a defensive rebound.,97467,,true,false,false,Anthony,,Brown,,Stan,,4,10,2,1,0,,,,,3,,,,6,Defensive Rebound,,,,240,240,
1,16,33,Personal foul committed by Alex Kirk.,97225,,true,false,false,Alex,,Kirk,,NM,,4,10,2,2,2,,,,,0,,1,Personal,8,Foul,,,,209,209,
1,16,29,Chasson Randle makes a 3-point jump shot from 25 feet out. Anthony Brown with the assist.,109889,97467,true,true,false,Chasson,Anthony,Randle,Brown,Stan,Stan,4,13,2,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,25,.6,25.1,240,240,
1,16,23,NM take a 20-second timeout.,,,false,false,false,,,,,,,4,13,2,2,0,,,,,0,,2,Short,11,Timeout,,,,209,209,
1,16,09,Cameron Bairstow misses a jump shot from 10 feet out.,97224,,true,false,false,Cameron,,Bairstow,,NM,,4,13,2,2,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,10,7.9,6.4,209,209,
1,16,09,Chasson Randle with a defensive rebound.,109889,,true,false,false,Chasson,,Randle,,Stan,,4,13,2,2,0,,,,,5,,,,6,Defensive Rebound,,,,240,240,
1,15,53,Josh Huestis makes a 3-point jump shot from 23 feet out.,97469,,true,false,false,Josh,,Huestis,,Stan,,4,16,2,2,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,.6,23.2,240,240,
1,15,39,Obij Aget with a traveling turnover: Traveling,122216,,true,false,false,Obij,,Aget,,NM,,4,16,2,2,0,,,,,0,,4,Traveling,7,Turnover,,,,209,209,
1,15,39,Official TV timeout.,,,false,false,false,,,,,,,4,16,2,2,0,,,,,0,,3,Official TV,11,Timeout,,,,209,209,
1,15,28,Dwight Powell misses a jump shot from 13 feet out.,97471,,true,false,false,Dwight,,Powell,,Stan,,4,16,2,2,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,13,5.5,11.6,240,240,
1,15,28,Deshawn Delaney with a defensive rebound.,122219,,true,false,false,Deshawn,,Delaney,,NM,,4,16,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,209,209,
1,15,03,Hugh Greenwood misses a 3-point jump shot from 25 feet out.,109847,,true,false,false,Hugh,,Greenwood,,NM,,4,16,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,16.2,19,209,209,
1,15,03,Anthony Brown with a defensive rebound.,97467,,true,false,false,Anthony,,Brown,,Stan,,4,16,2,2,0,,,,,3,,,,6,Defensive Rebound,,,,240,240,
1,14,44,Personal foul committed by Merv Lindsay.,110110,,true,false,false,Merv,,Lindsay,,NM,,4,16,2,3,1,,,,,0,,1,Personal,8,Foul,,,,209,209,
1,14,33,Chasson Randle makes a jump shot from 16 feet out. John Gage with the assist.,109889,97468,true,true,false,Chasson,John,Randle,Gage,Stan,Stan,4,18,2,3,0,,,,,7,2,45,Jump Shot,3,Field Goal Made,16,-11.6,10.8,240,240,
1,14,19,Merv Lindsay misses a layup shot.,110110,,true,false,false,Merv,,Lindsay,,NM,,4,18,2,3,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,209,209,
1,14,19,Dwight Powell with a defensive rebound.,97471,,true,false,false,Dwight,,Powell,,Stan,,4,18,2,3,0,,,,,1,,,,6,Defensive Rebound,,,,240,240,
1,14,04,John Gage misses a 3-point jump shot from 23 feet out.,97468,,true,false,false,John,,Gage,,Stan,,4,18,2,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.5,5.9,240,240,
1,14,04,Deshawn Delaney with a defensive rebound.,122219,,true,false,false,Deshawn,,Delaney,,NM,,4,18,2,3,0,,,,,0,,,,6,Defensive Rebound,,,,209,209,
1,13,53,Hugh Greenwood misses a jump shot from 13 feet out.,109847,,true,false,false,Hugh,,Greenwood,,NM,,4,18,2,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,10.6,7.4,209,209,
1,13,53,John Gage with a defensive rebound.,97468,,true,false,false,John,,Gage,,Stan,,4,18,2,3,0,,,,,0,,,,6,Defensive Rebound,,,,240,240,
1,13,36,Chasson Randle makes a layup shot. Josh Huestis with the assist.,109889,97469,true,true,false,Chasson,Josh,Randle,Huestis,Stan,Stan,4,20,2,3,0,,,,,9,2,40,Layup Shot,3,Field Goal Made,0,0,0,240,240,
1,13,23,Shooting foul committed by Dwight Powell.,97471,,true,false,false,Dwight,,Powell,,Stan,,4,20,3,3,1,,,,,1,,2,Shooting,8,Foul,,,,240,240,
1,13,23,Deshawn Delaney misses free throw 1 of 2.,122219,,true,false,false,Deshawn,,Delaney,,NM,,4,20,3,3,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,209,209,
1,13,23,NM with an offensive rebound.,,,false,false,false,,,,,,,4,20,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,209,209,
1,13,23,Deshawn Delaney makes free throw 2 of 2.,122219,,true,false,false,Deshawn,,Delaney,,NM,,5,20,3,3,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,209,209,
1,12,59,Personal foul committed by Deshawn Delaney.,122219,,true,false,false,Deshawn,,Delaney,,NM,,5,20,3,4,1,,,,,1,,1,Personal,8,Foul,,,,209,209,
1,12,59,Stan take a 20-second timeout.,,,false,false,false,,,,,,,5,20,3,4,0,,,,,0,,2,Short,11,Timeout,,,,240,240,
1,12,48,Robbie Lemons misses a jump shot from 18 feet out.,98027,,true,false,false,Robbie,,Lemons,,Stan,,5,20,3,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,17.8,3.6,240,240,
1,12,48,Deshawn Delaney with a defensive rebound.,122219,,true,false,false,Deshawn,,Delaney,,NM,,5,20,3,4,1,,,,,1,,,,6,Defensive Rebound,,,,209,209,
1,12,24,Shooting foul committed by Stefan Nastic.,97470,,true,false,false,Stefan,,Nastic,,Stan,,5,20,4,4,2,,,,,4,,2,Shooting,8,Foul,,,,240,240,
1,12,24,Deshawn Delaney makes free throw 1 of 2.,122219,,true,false,false,Deshawn,,Delaney,,NM,,6,20,4,4,1,,,,,2,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,209,209,
1,12,24,Deshawn Delaney makes free throw 2 of 2.,122219,,true,false,false,Deshawn,,Delaney,,NM,,7,20,4,4,1,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,209,209,
1,12,06,Anthony Brown misses a jump shot from 14 feet out.,97467,,true,false,false,Anthony,,Brown,,Stan,,7,20,4,4,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,14,-14.2,2.5,240,240,
1,12,06,Josh Huestis with an offensive rebound.,97469,,true,false,false,Josh,,Huestis,,Stan,,7,20,4,4,1,,,,,3,,,,5,Offensive Rebound,,,,240,240,
1,12,01,Personal foul committed by Merv Lindsay.,110110,,true,false,false,Merv,,Lindsay,,NM,,7,20,4,5,2,,,,,0,,1,Personal,8,Foul,,,,209,209,
1,11,44,Chasson Randle misses a 3-point jump shot from 25 feet out.,109889,,true,false,false,Chasson,,Randle,,Stan,,7,20,4,5,0,,,,,9,3,45,Jump Shot,4,Field Goal Missed,25,20,14.5,240,240,
1,11,44,John Gage with an offensive rebound.,97468,,true,false,false,John,,Gage,,Stan,,7,20,4,5,0,,,,,0,,,,5,Offensive Rebound,,,,240,240,
1,11,32,John Gage misses a layup shot.,97468,,true,false,false,John,,Gage,,Stan,,7,20,4,5,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,240,240,
1,11,32,Hugh Greenwood with a defensive rebound.,109847,,true,false,false,Hugh,,Greenwood,,NM,,7,20,4,5,0,,,,,0,,,,6,Defensive Rebound,,,,209,209,
1,11,28,Deshawn Delaney makes a layup shot. Hugh Greenwood with the assist.,122219,109847,true,true,false,Deshawn,Hugh,Delaney,Greenwood,NM,NM,9,20,4,5,1,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,209,209,
1,11,19,John Gage misses a 3-point jump shot from 25 feet out.,97468,,true,false,false,John,,Gage,,Stan,,9,20,4,5,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-19.6,15.6,240,240,
1,11,19,Cameron Bairstow with a defensive rebound.,97224,,true,false,false,Cameron,,Bairstow,,NM,,9,20,4,5,0,,,,,4,,,,6,Defensive Rebound,,,,209,209,
1,11,10,Hugh Greenwood makes a 3-point jump shot from 25 feet out. Cullen Neal with the assist.,109847,122217,true,true,false,Hugh,Cullen,Greenwood,Neal,NM,NM,12,20,4,5,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-18.1,17.1,209,209,
1,11,05,Stan take a 20-second timeout.,,,false,false,false,,,,,,,12,20,4,5,0,,,,,0,,2,Short,11,Timeout,,,,240,240,
1,10,36,Chasson Randle misses a 3-point jump shot from 26 feet out.,109889,,true,false,false,Chasson,,Randle,,Stan,,12,20,4,5,0,,,,,9,3,45,Jump Shot,4,Field Goal Missed,26,-17.6,19.3,240,240,
1,10,36,Cameron Bairstow with a defensive rebound.,97224,,true,false,false,Cameron,,Bairstow,,NM,,12,20,4,5,0,,,,,4,,,,6,Defensive Rebound,,,,209,209,
1,10,22,Deshawn Delaney misses a layup shot.,122219,,true,false,false,Deshawn,,Delaney,,NM,,12,20,4,5,1,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,209,209,
1,10,22,Chasson Randle with a defensive rebound.,109889,,true,false,false,Chasson,,Randle,,Stan,,12,20,4,5,0,,,,,9,,,,6,Defensive Rebound,,,,240,240,
1,10,07,Josh Huestis misses a jump shot from 16 feet out.,97469,,true,false,false,Josh,,Huestis,,Stan,,12,20,4,5,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,16,5,14.9,240,240,
1,10,07,Chasson Randle with an offensive rebound.,109889,,true,false,false,Chasson,,Randle,,Stan,,12,20,4,5,0,,,,,9,,,,5,Offensive Rebound,,,,240,240,
1,9,42,Anthony Brown makes a 3-point jump shot from 25 feet out.,97467,,true,false,false,Anthony,,Brown,,Stan,,12,23,4,5,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,25,-20.8,14.5,240,240,
1,9,24,Cameron Bairstow makes a jump shot from 12 feet out.,97224,,true,false,false,Cameron,,Bairstow,,NM,,14,23,4,5,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,12,-11,3.8,209,209,
1,9,01,Dwight Powell misses a jump shot from 12 feet out.,97471,,true,false,false,Dwight,,Powell,,Stan,,14,23,4,5,1,,,,,1,2,45,Jump Shot,4,Field Goal Missed,12,11.5,3,240,240,
1,9,01,NM with a defensive rebound.,,,false,false,false,,,,,,,14,23,4,5,0,,,,,0,,,,6,Defensive Rebound,,,,209,209,
1,9,00,Personal foul committed by Josh Huestis.,97469,,true,false,false,Josh,,Huestis,,Stan,,14,23,5,5,2,,,,,3,,1,Personal,8,Foul,,,,240,240,
1,9,00,Official TV timeout.,,,false,false,false,,,,,,,14,23,5,5,0,,,,,0,,3,Official TV,11,Timeout,,,,209,209,
1,8,32,Cullen Neal misses a jump shot from 10 feet out.,122217,,true,false,false,Cullen,,Neal,,NM,,14,23,5,5,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-9.9,1.6,209,209,
1,8,32,Anthony Brown with a defensive rebound.,97467,,true,false,false,Anthony,,Brown,,Stan,,14,23,5,5,0,,,,,6,,,,6,Defensive Rebound,,,,240,240,
1,8,15,Shooting foul committed by Cameron Bairstow.,97224,,true,false,false,Cameron,,Bairstow,,NM,,14,23,5,6,1,,,,,6,,2,Shooting,8,Foul,,,,209,209,
1,8,15,Dwight Powell makes free throw 1 of 2.,97471,,true,false,false,Dwight,,Powell,,Stan,,14,24,5,6,1,,,,,2,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,240,240,
1,8,15,Dwight Powell makes free throw 2 of 2.,97471,,true,false,false,Dwight,,Powell,,Stan,,14,25,5,6,1,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,240,240,
1,8,01,Hugh Greenwood with a lost ball turnover: Lost Ball,109847,,true,false,false,Hugh,,Greenwood,,NM,,14,25,5,6,0,,,,,3,,2,Lost Ball,7,Turnover,,,,209,209,
1,7,58,Chasson Randle misses a layup shot.,109889,,true,false,false,Chasson,,Randle,,Stan,,14,25,5,6,0,,,,,9,2,40,Layup Shot,4,Field Goal Missed,0,0,0,240,240,
1,7,58,Hugh Greenwood with a defensive rebound.,109847,,true,false,false,Hugh,,Greenwood,,NM,,14,25,5,6,0,,,,,3,,,,6,Defensive Rebound,,,,209,209,
1,7,58,Personal foul committed by Robbie Lemons.,98027,,true,false,false,Robbie,,Lemons,,Stan,,14,25,6,6,1,,,,,0,,1,Personal,8,Foul,,,,240,240,
1,7,58,Official TV timeout.,,,false,false,false,,,,,,,14,25,6,6,0,,,,,0,,3,Official TV,11,Timeout,,,,209,209,
1,7,45,Cullen Neal misses a 3-point jump shot from 27 feet out.,122217,,true,false,false,Cullen,,Neal,,NM,,14,25,6,6,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,14.5,22.5,209,209,
1,7,45,Marcus Allen with a defensive rebound.,120688,,true,false,false,Marcus,,Allen,,Stan,,14,25,6,6,0,,,,,0,,,,6,Defensive Rebound,,,,240,240,
1,7,20,Anthony Brown makes a 3-point jump shot from 27 feet out. Marcus Allen with the assist.,97467,120688,true,true,false,Anthony,Marcus,Brown,Allen,Stan,Stan,14,28,6,6,0,,,,,9,3,45,Jump Shot,3,Field Goal Made,27,-13.7,23.7,240,240,
1,6,53,Cameron Bairstow makes a layup shot.,97224,,true,false,false,Cameron,,Bairstow,,NM,,16,28,6,6,1,,,,,8,2,40,Layup Shot,3,Field Goal Made,0,0,0,209,209,
1,6,52,Stefan Nastic with a inbound turnover turnover: Inbound Turnover,97470,,true,false,false,Stefan,,Nastic,,Stan,,16,28,6,6,2,,,,,4,,12,Inbound Turnover,7,Turnover,,,,240,240,
1,6,44,Cullen Neal makes a jump shot from 7 feet out.,122217,,true,false,false,Cullen,,Neal,,NM,,18,28,6,6,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,-3.7,6.2,209,209,
1,6,07,Stefan Nastic makes a layup shot. Dwight Powell with the assist.,97470,97471,true,true,false,Stefan,Dwight,Nastic,Powell,Stan,Stan,18,30,6,6,2,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,240,240,
1,5,51,Alex Kirk with a lost ball turnover: Lost Ball,97225,,true,false,false,Alex,,Kirk,,NM,,18,30,6,6,2,,,,,0,,2,Lost Ball,7,Turnover,,,,209,209,
1,5,29,Anthony Brown misses a jump shot from 13 feet out.,97467,,true,false,false,Anthony,,Brown,,Stan,,18,30,6,6,0,,,,,9,2,45,Jump Shot,4,Field Goal Missed,13,13,3.5,240,240,
1,5,29,Cameron Bairstow with a defensive rebound.,97224,,true,false,false,Cameron,,Bairstow,,NM,,18,30,6,6,1,,,,,8,,,,6,Defensive Rebound,,,,209,209,
1,5,09,Personal foul committed by Dwight Powell.,97471,,true,false,false,Dwight,,Powell,,Stan,,18,30,7,6,2,,,,,3,,1,Personal,8,Foul,,,,240,240,
1,5,09,Cameron Bairstow makes free throw 1st of 1-and-1.,97224,,true,false,false,Cameron,,Bairstow,,NM,,19,30,7,6,1,,,,,9,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,209,209,
1,5,09,Cameron Bairstow misses free throw 2nd of 1-and-1.,97224,,true,false,false,Cameron,,Bairstow,,NM,,19,30,7,6,1,,,,,9,1,9,Free Throw 2nd of 1-and-1,2,Free Throw Missed,,,,209,209,
1,5,09,Josh Huestis with a defensive rebound.,97469,,true,false,false,Josh,,Huestis,,Stan,,19,30,7,6,2,,,,,3,,,,6,Defensive Rebound,,,,240,240,
1,4,48,Stefan Nastic misses a jump shot from 18 feet out.,97470,,true,false,false,Stefan,,Nastic,,Stan,,19,30,7,6,2,,,,,6,2,45,Jump Shot,4,Field Goal Missed,18,-17.4,1.8,240,240,
1,4,48,Cleveland Thomas with a defensive rebound.,116428,,true,false,false,Cleveland,,Thomas,,NM,,19,30,7,6,0,,,,,0,,,,6,Defensive Rebound,,,,209,209,
1,4,38,Cameron Bairstow misses a jump shot from 16 feet out.,97224,,true,false,false,Cameron,,Bairstow,,NM,,19,30,7,6,1,,,,,9,2,45,Jump Shot,4,Field Goal Missed,16,-15.6,3,209,209,
1,4,38,Chasson Randle with a defensive rebound.,109889,,true,false,false,Chasson,,Randle,,Stan,,19,30,7,6,0,,,,,9,,,,6,Defensive Rebound,,,,240,240,
1,4,27,Personal foul committed by Cleveland Thomas.,116428,,true,false,false,Cleveland,,Thomas,,NM,,19,30,7,7,1,,,,,0,,1,Personal,8,Foul,,,,209,209,
