half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,235,235,
1,19,42,Przemek Karnowski makes a hook shot from 9 feet out. David Stockton with the assist.,117527,89766,true,true,false,Przemek,David,Karnowski,Stockton,Gonz,Gonz,0,2,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,9,0,9,309,309,
1,19,21,Aaron Gordon makes a dunk shot. T.J. McConnell with the assist.,120791,97341,true,true,false,Aaron,T.J.,Gordon,McConnell,Ari,Ari,2,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,235,235,
1,19,07,Personal foul committed by Gabe York.,116487,,true,false,false,Gabe,,York,,Ari,,2,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,235,235,
1,18,49,Sam Dower makes a hook shot from 8 feet out.,88925,,true,false,false,Sam,,Dower,,Gonz,,2,4,0,1,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,8,-8.4,.6,309,309,
1,18,36,Personal foul committed by David Stockton.,89766,,true,false,false,David,,Stockton,,Gonz,,2,4,1,1,1,,,,,0,,1,Personal,8,Foul,,,,309,309,
1,18,22,Nick Johnson misses a jump shot from 7 feet out.,109666,,true,false,false,Nick,,Johnson,,Ari,,2,4,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,.1,7,235,235,
1,18,22,Przemek Karnowski with a defensive rebound.,117527,,true,false,false,Przemek,,Karnowski,,Gonz,,2,4,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,309,309,
1,18,12,Gabe York makes a 3-point jump shot from 23 feet out. Nick Johnson with the assist.,116487,109666,true,true,false,Gabe,Nick,York,Johnson,Ari,Ari,5,4,1,1,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,16,17,235,235,
1,18,12,Sam Dower misses a jump shot from 10 feet out.,88925,,true,false,false,Sam,,Dower,,Gonz,,5,4,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,10,3,9,309,309,
1,18,12,Nick Johnson with a defensive rebound.,109666,,true,false,false,Nick,,Johnson,,Ari,,5,4,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,235,235,
1,17,52,"Gary Bell, Jr. misses a 3-point jump shot from 24 feet out.",110268,,true,false,false,Gary,,"Bell, Jr.",,Gonz,,5,4,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-16.4,16.9,309,309,
