half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,205,205,
1,19,25,Fred VanVleet misses a 3-point jump shot from 22 feet out.,117130,,true,false,false,Fred,,VanVleet,,Wich,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-13.5,17.8,205,205,
1,19,25,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,18,53,Aaron Harrison makes a jump shot from 19 feet out. Julius Randle with the assist.,121085,121089,true,true,false,Aaron,Julius,Harrison,Randle,Kty,Kty,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,4.3,18.1,258,258,
1,18,36,Kadeem Coleby misses a hook shot from 8 feet out.,88843,,true,false,false,Kadeem,,Coleby,,Wich,,0,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,-.8,7.7,205,205,
1,18,36,James Young with a defensive rebound.,121084,,true,false,false,James,,Young,,Kty,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,18,36,Personal foul committed by Tekele Cotton.,109842,,true,false,false,Tekele,,Cotton,,Wich,,0,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,205,205,
1,18,27,Andrew Harrison with a bad pass turnover: Bad Pass,121086,,true,false,false,Andrew,,Harrison,,Kty,,0,2,0,1,0,,,,,0,,1,Bad Pass,7,Turnover,,,,258,258,
1,18,09,Cleanthony Early misses a 3-point jump shot from 23 feet out.,117127,,true,false,false,Cleanthony,,Early,,Wich,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.7,.8,205,205,
1,18,09,James Young with a defensive rebound.,121084,,true,false,false,James,,Young,,Kty,,0,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,17,59,Andrew Harrison makes a jump shot from 6 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,0,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,2.5,5.7,258,258,
1,17,43,Ron Baker makes a 3-point jump shot from 23 feet out. Tekele Cotton with the assist.,111024,109842,true,true,false,Ron,Tekele,Baker,Cotton,Wich,Wich,3,4,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-19.6,12,205,205,
1,17,03,Julius Randle misses a 3-point jump shot from 27 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,3,4,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,12.5,24.2,258,258,
1,17,03,Fred VanVleet with a defensive rebound.,117130,,true,false,false,Fred,,VanVleet,,Wich,,3,4,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,16,37,Chadrack Lufile makes a layup shot.,117129,,true,false,false,Chadrack,,Lufile,,Wich,,5,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,205,205,
1,16,16,Julius Randle misses a layup shot.,121089,,true,false,false,Julius,,Randle,,Kty,,5,4,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,258,258,
1,16,16,Fred VanVleet with a defensive rebound.,117130,,true,false,false,Fred,,VanVleet,,Wich,,5,4,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,205,205,
1,16,10,Fred VanVleet misses a 3-point jump shot from 25 feet out.,117130,,true,false,false,Fred,,VanVleet,,Wich,,5,4,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,11.6,22.2,205,205,
1,16,10,Ron Baker with an offensive rebound.,111024,,true,false,false,Ron,,Baker,,Wich,,5,4,0,1,0,,,,,3,,,,5,Offensive Rebound,,,,205,205,
1,16,06,Ron Baker with a lost ball turnover: Lost Ball,111024,,true,false,false,Ron,,Baker,,Wich,,5,4,0,1,0,,,,,3,,2,Lost Ball,7,Turnover,,,,205,205,
1,15,49,Aaron Harrison makes a layup shot.,121085,,true,false,false,Aaron,,Harrison,,Kty,,5,6,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,15,34,Chadrack Lufile makes a layup shot. Ron Baker with the assist.,117129,111024,true,true,false,Chadrack,Ron,Lufile,Baker,Wich,Wich,7,6,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,205,205,
1,15,34,Shooting foul committed by Dakari Johnson.,121091,,true,false,false,Dakari,,Johnson,,Kty,,7,6,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,258,258,
1,15,34,Official TV timeout.,,,false,false,false,,,,,,,7,6,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,205,205,
1,15,34,Chadrack Lufile misses free throw 1 of 1.,117129,,true,false,false,Chadrack,,Lufile,,Wich,,7,6,1,1,0,,,,,4,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,205,205,
1,15,34,James Young with a defensive rebound.,121084,,true,false,false,James,,Young,,Kty,,7,6,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,15,26,James Young misses a 3-point jump shot from 23 feet out.,121084,,true,false,false,James,,Young,,Kty,,7,6,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,13.4,18.4,258,258,
1,15,26,Alex Poythress with an offensive rebound.,116778,,true,false,false,Alex,,Poythress,,Kty,,7,6,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,15,20,Alex Poythress makes a dunk shot.,116778,,true,false,false,Alex,,Poythress,,Kty,,7,8,1,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,258,258,
1,15,09,Cleanthony Early makes a 3-point jump shot from 24 feet out. Tekele Cotton with the assist.,117127,109842,true,true,false,Cleanthony,Tekele,Early,Cotton,Wich,Wich,10,8,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-13.2,19.8,205,205,
1,14,26,Andrew Harrison with a shot clock turnover turnover: Shot Clock Turnover,121086,,true,false,false,Andrew,,Harrison,,Kty,,10,8,1,1,0,,,,,2,,11,Shot Clock Turnover,7,Turnover,,,,258,258,
1,13,56,Chadrack Lufile with a lost ball turnover: Lost Ball,117129,,true,false,false,Chadrack,,Lufile,,Wich,,10,8,1,1,0,,,,,4,,2,Lost Ball,7,Turnover,,,,205,205,
1,13,38,Aaron Harrison makes a 3-point jump shot from 24 feet out. Julius Randle with the assist.,121085,121089,true,true,false,Aaron,Julius,Harrison,Randle,Kty,Kty,10,11,1,1,0,,,,,7,3,45,Jump Shot,3,Field Goal Made,24,-10.3,21.7,258,258,
1,13,13,Chadrack Lufile misses a layup shot.,117129,,true,false,false,Chadrack,,Lufile,,Wich,,10,11,1,1,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,205,205,
1,13,13,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,10,11,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,13,07,James Young makes a 3-point jump shot from 24 feet out. Julius Randle with the assist.,121084,121089,true,true,false,James,Julius,Young,Randle,Kty,Kty,10,14,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-11.5,20.7,258,258,
1,12,53,Ron Baker makes a layup shot.,111024,,true,false,false,Ron,,Baker,,Wich,,12,14,1,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,205,205,
1,12,53,Shooting foul committed by Aaron Harrison.,121085,,true,false,false,Aaron,,Harrison,,Kty,,12,14,2,1,1,,,,,7,,2,Shooting,8,Foul,,,,258,258,
1,12,53,Ron Baker makes free throw 1 of 1.,111024,,true,false,false,Ron,,Baker,,Wich,,13,14,2,1,0,,,,,6,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,205,205,
1,12,29,Andrew Harrison makes a jump shot from 10 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,13,16,2,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,10,-3.5,9.4,258,258,
1,12,12,Nick Wiggins misses a 3-point jump shot from 24 feet out.,117131,,true,false,false,Nick,,Wiggins,,Wich,,13,16,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-.1,24.2,205,205,
1,12,12,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,13,16,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
