half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,256,256,
1,19,45,Travis Wear misses a 3-point jump shot from 25 feet out.,88223,,true,false,false,Travis,,Wear,,UCLA,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-11.5,21.7,241,241,
1,19,45,Fla with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,19,42,Personal foul committed by Jordan Adams.,116665,,true,false,false,Jordan,,Adams,,UCLA,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,241,241,
1,19,12,Will Yeguete misses a jump shot from 12 feet out.,97393,,true,false,false,Will,,Yeguete,,Fla,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,11.6,2.5,256,256,
1,19,12,Fla with an offensive rebound.,,,false,false,false,,,,,,,0,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,256,256,
1,19,02,Scottie Wilbekin misses a jump shot from 19 feet out.,97392,,true,false,false,Scottie,,Wilbekin,,Fla,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-3,18,256,256,
1,19,02,Jordan Adams with a defensive rebound.,116665,,true,false,false,Jordan,,Adams,,UCLA,,0,0,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,241,241,
1,18,48,Travis Wear misses a jump shot from 19 feet out.,88223,,true,false,false,Travis,,Wear,,UCLA,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,16.4,10.4,241,241,
1,18,48,Will Yeguete with a defensive rebound.,97393,,true,false,false,Will,,Yeguete,,Fla,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,18,39,Michael Frazier II with a lost ball turnover: Lost Ball,116521,,true,false,false,Michael,,Frazier II,,Fla,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,256,256,
