half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,240,240,
1,19,46,Jordan Sibert misses a 3-point jump shot from 22 feet out.,97509,,true,false,false,Jordan,,Sibert,,Dayton,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22.4,.1,30,30,
1,19,46,Anthony Brown with a defensive rebound.,97467,,true,false,false,Anthony,,Brown,,Stan,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,240,240,
1,19,33,Stefan Nastic with a lost ball turnover: Lost Ball,97470,,true,false,false,Stefan,,Nastic,,Stan,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,240,240,
1,19,28,Khari Price misses a layup shot.,116717,,true,false,false,Khari,,Price,,Dayton,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,30,30,
1,19,28,Dyshawn Pierre with an offensive rebound.,116719,,true,false,false,Dyshawn,,Pierre,,Dayton,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,30,30,
1,19,23,Dyshawn Pierre makes a tip shot from 1 foot out.,116719,,true,false,false,Dyshawn,,Pierre,,Dayton,,0,2,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,1,.8,.6,30,30,
1,19,06,Personal foul committed by Matt Kavanaugh.,88262,,true,false,false,Matt,,Kavanaugh,,Dayton,,0,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,30,30,
1,19,00,Stefan Nastic makes a jump shot from 6 feet out.,97470,,true,false,false,Stefan,,Nastic,,Stan,,2,2,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,1.1,5.5,240,240,
1,18,47,Dyshawn Pierre makes a 3-point jump shot from 24 feet out. Jordan Sibert with the assist.,116719,97509,true,true,false,Dyshawn,Jordan,Pierre,Sibert,Dayton,Dayton,2,5,1,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,17.8,16.7,30,30,
