half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,82,82,
1,19,42,Cory Jefferson makes a layup shot. Royce O'Neale with the assist.,88704,110021,true,true,false,Cory,Royce,Jefferson,O'Neale,Baylor,Baylor,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,83,83,
1,19,23,Frank Kaminsky makes a layup shot.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,82,82,
1,19,03,Royce O'Neale misses a layup shot.,110021,,true,false,false,Royce,,O'Neale,,Baylor,,2,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,83,83,
1,19,03,Wisc with a defensive rebound.,,,false,false,false,,,,,,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,82,82,
1,18,44,Frank Kaminsky misses a jump shot from 13 feet out.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,2,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,4.2,12.3,82,82,
1,18,44,Kenny Chery with a defensive rebound.,120767,,true,false,false,Kenny,,Chery,,Baylor,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,83,83,
1,18,35,Kenny Chery with a lost ball turnover: Lost Ball,120767,,true,false,false,Kenny,,Chery,,Baylor,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,83,83,
1,18,23,Frank Kaminsky makes a layup shot. Traevon Jackson with the assist.,110238,110236,true,true,false,Frank,Traevon,Kaminsky,Jackson,Wisc,Wisc,4,2,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,82,82,
1,18,01,Brady Heslip misses a jump shot from 15 feet out.,95395,,true,false,false,Brady,,Heslip,,Baylor,,4,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-8.8,12.5,83,83,
