half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,235,235,
1,19,29,Personal foul committed by Frank Kaminsky.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,82,82,
1,19,08,Kaleb Tarczewski with a traveling turnover: Traveling,116486,,true,false,false,Kaleb,,Tarczewski,,Ari,,0,0,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,235,235,
1,18,44,Frank Kaminsky misses a layup shot.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,0,0,1,0,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,82,82,
1,18,44,Aaron Gordon with a defensive rebound.,120791,,true,false,false,Aaron,,Gordon,,Ari,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,235,235,
1,18,39,Personal foul committed by Josh Gasser.,97377,,true,false,false,Josh,,Gasser,,Wisc,,0,0,2,0,1,,,,,0,,1,Personal,8,Foul,,,,82,82,
1,18,32,Nick Johnson misses a layup shot.,109666,,true,false,false,Nick,,Johnson,,Ari,,0,0,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,235,235,
1,18,32,Wisc with a defensive rebound.,,,false,false,false,,,,,,,0,0,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,82,82,
1,17,59,Traevon Jackson misses a dunk shot.,110236,,true,false,false,Traevon,,Jackson,,Wisc,,0,0,2,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,82,82,
1,17,59,Aaron Gordon with a defensive rebound.,120791,,true,false,false,Aaron,,Gordon,,Ari,,0,0,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,235,235,
1,17,43,Aaron Gordon misses a layup shot.,120791,,true,false,false,Aaron,,Gordon,,Ari,,0,0,2,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,235,235,
1,17,43,Aaron Gordon with an offensive rebound.,120791,,true,false,false,Aaron,,Gordon,,Ari,,0,0,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,235,235,
1,17,40,Kaleb Tarczewski makes a dunk shot. Aaron Gordon with the assist.,116486,120791,true,true,false,Kaleb,Aaron,Tarczewski,Gordon,Ari,Ari,2,0,2,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,235,235,
1,17,25,Frank Kaminsky with a traveling turnover: Traveling,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,2,0,2,0,1,,,,,0,,4,Traveling,7,Turnover,,,,82,82,
1,17,08,T.J. McConnell makes a 3-point jump shot from 24 feet out.,97341,,true,false,false,T.J.,,McConnell,,Ari,,5,0,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-16.4,18.1,235,235,
