half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,256,256,
1,19,42,Michael Frazier II makes a layup shot.,116521,,true,false,false,Michael,,Frazier II,,Fla,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,256,256,
1,19,05,Khari Price misses a 3-point jump shot from 22 feet out.,116717,,true,false,false,Khari,,Price,,Dayton,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,21.5,1.9,30,30,
1,19,05,Matt Kavanaugh with an offensive rebound.,88262,,true,false,false,Matt,,Kavanaugh,,Dayton,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,30,30,
1,18,44,Jordan Sibert misses a jump shot from 20 feet out.,97509,,true,false,false,Jordan,,Sibert,,Dayton,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,8.2,17.8,30,30,
1,18,44,Patric Young with a defensive rebound.,97391,,true,false,false,Patric,,Young,,Fla,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,18,24,Patric Young makes a layup shot.,97391,,true,false,false,Patric,,Young,,Fla,,4,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,256,256,
1,18,14,Matt Kavanaugh makes a layup shot. Dyshawn Pierre with the assist.,88262,116719,true,true,false,Matt,Dyshawn,Kavanaugh,Pierre,Dayton,Dayton,4,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,30,30,
1,17,46,Scottie Wilbekin makes a 3-point jump shot from 23 feet out. Will Yeguete with the assist.,97392,97393,true,true,false,Scottie,Will,Wilbekin,Yeguete,Fla,Fla,7,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.4,3.5,256,256,
1,17,34,Jordan Sibert misses a 3-point jump shot from 23 feet out.,97509,,true,false,false,Jordan,,Sibert,,Dayton,,7,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.5,3.1,30,30,
