half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,75,75,
1,19,34,Derrick Walton Jr. misses a 3-point jump shot from 24 feet out.,120655,,true,false,false,Derrick,,Walton Jr.,,Mich,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,17.6,16.6,75,75,
1,19,34,Kty with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,19,17,Dakari Johnson with a traveling turnover: Traveling,121091,,true,false,false,Dakari,,Johnson,,Kty,,0,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,258,258,
1,18,42,Derrick Walton Jr. misses a jump shot from 20 feet out.,120655,,true,false,false,Derrick,,Walton Jr.,,Mich,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-11.6,15.7,75,75,
1,18,42,Jordan Morgan with an offensive rebound.,88692,,true,false,false,Jordan,,Morgan,,Mich,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,18,38,Jordan Morgan misses a layup shot.,88692,,true,false,false,Jordan,,Morgan,,Mich,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,75,75,
1,18,38,Glenn Robinson III with an offensive rebound.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,18,34,Glenn Robinson III makes a tip shot from 3 feet out.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,2,0,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,3,-3,1.6,75,75,
1,18,17,Andrew Harrison makes a jump shot from 9 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,-3.3,8.2,258,258,
1,17,58,Jordan Morgan makes a dunk shot. Caris LeVert with the assist.,88692,116745,true,true,false,Jordan,Caris,Morgan,LeVert,Mich,Mich,4,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,75,75,
1,17,25,Dakari Johnson with a lost ball turnover: Lost Ball,121091,,true,false,false,Dakari,,Johnson,,Kty,,4,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,258,258,
1,17,19,Glenn Robinson III makes a layup shot.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,6,2,0,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,17,14,Kty take a 20-second timeout.,,,false,false,false,,,,,,,6,2,0,0,0,,,,,0,,2,Short,11,Timeout,,,,258,258,
1,16,48,Aaron Harrison misses a jump shot from 8 feet out.,121085,,true,false,false,Aaron,,Harrison,,Kty,,6,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-1.6,8.1,258,258,
1,16,48,Derrick Walton Jr. with a defensive rebound.,120655,,true,false,false,Derrick,,Walton Jr.,,Mich,,6,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,75,75,
1,16,33,Nik Stauskas makes a 3-point jump shot from 25 feet out.,116744,,true,false,false,Nik,,Stauskas,,Mich,,9,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-15.6,19.5,75,75,
1,16,15,James Young makes a layup shot.,121084,,true,false,false,James,,Young,,Kty,,9,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,15,55,Personal foul committed by Aaron Harrison.,121085,,true,false,false,Aaron,,Harrison,,Kty,,9,4,1,0,1,,,,,0,,1,Personal,8,Foul,,,,258,258,
1,15,55,Official TV timeout.,,,false,false,false,,,,,,,9,4,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,75,75,
1,15,42,Nik Stauskas with a lost ball turnover: Lost Ball,116744,,true,false,false,Nik,,Stauskas,,Mich,,9,4,1,0,0,,,,,3,,2,Lost Ball,7,Turnover,,,,75,75,
1,15,29,Julius Randle misses a hook shot from 5 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,9,4,1,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,-.4,5.3,258,258,
1,15,29,Caris LeVert with a defensive rebound.,116745,,true,false,false,Caris,,LeVert,,Mich,,9,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,75,75,
1,15,25,Shooting foul committed by Alex Poythress.,116778,,true,false,false,Alex,,Poythress,,Kty,,9,4,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,258,258,
1,15,25,Caris LeVert misses free throw 1 of 2.,116745,,true,false,false,Caris,,LeVert,,Mich,,9,4,2,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,75,75,
1,15,25,Mich with an offensive rebound.,,,false,false,false,,,,,,,9,4,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,15,25,Caris LeVert misses free throw 2 of 2.,116745,,true,false,false,Caris,,LeVert,,Mich,,9,4,2,0,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,75,75,
1,15,25,Andrew Harrison with a defensive rebound.,121086,,true,false,false,Andrew,,Harrison,,Kty,,9,4,2,0,0,,,,,2,,,,6,Defensive Rebound,,,,258,258,
1,15,14,Aaron Harrison with a traveling turnover: Traveling,121085,,true,false,false,Aaron,,Harrison,,Kty,,9,4,2,0,1,,,,,0,,4,Traveling,7,Turnover,,,,258,258,
1,15,03,Offensive foul committed by Jordan Morgan.,88692,,true,false,false,Jordan,,Morgan,,Mich,,9,4,2,1,1,,,,,2,,4,Offensive,8,Foul,,,,75,75,
1,15,03,Jordan Morgan with a  turnover:,88692,,true,false,false,Jordan,,Morgan,,Mich,,9,4,2,1,1,,,,,2,,,,7,Turnover,,,,75,75,
1,14,42,Alex Poythress with a lost ball turnover: Lost Ball,116778,,true,false,false,Alex,,Poythress,,Kty,,9,4,2,1,1,,,,,0,,2,Lost Ball,7,Turnover,,,,258,258,
1,14,32,Glenn Robinson III misses a jump shot from 19 feet out.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,9,4,2,1,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,19,8.6,16.7,75,75,
1,14,32,Jon Horford with an offensive rebound.,97333,,true,false,false,Jon,,Horford,,Mich,,9,4,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,14,25,Jon Horford makes a tip shot from 4 feet out.,97333,,true,false,false,Jon,,Horford,,Mich,,11,4,2,1,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,4,1.8,3.8,75,75,
1,14,15,Andrew Harrison misses a jump shot from 8 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,11,4,2,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,.6,7.7,258,258,
1,14,15,Marcus Lee with an offensive rebound.,121083,,true,false,false,Marcus,,Lee,,Kty,,11,4,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,14,10,Marcus Lee makes a dunk shot.,121083,,true,false,false,Marcus,,Lee,,Kty,,11,6,2,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,258,258,
1,13,45,Nik Stauskas makes a 3-point jump shot from 27 feet out. Caris LeVert with the assist.,116744,116745,true,true,false,Nik,Caris,Stauskas,LeVert,Mich,Mich,14,6,2,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,27,19.3,19.3,75,75,
1,13,14,Aaron Harrison misses a 3-point jump shot from 26 feet out.,121085,,true,false,false,Aaron,,Harrison,,Kty,,14,6,2,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,14.4,21.2,258,258,
1,13,14,Marcus Lee with an offensive rebound.,121083,,true,false,false,Marcus,,Lee,,Kty,,14,6,2,1,0,,,,,2,,,,5,Offensive Rebound,,,,258,258,
1,13,10,Marcus Lee makes a dunk shot.,121083,,true,false,false,Marcus,,Lee,,Kty,,14,8,2,1,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,258,258,
1,12,56,Nik Stauskas with a traveling turnover: Traveling,116744,,true,false,false,Nik,,Stauskas,,Mich,,14,8,2,1,0,,,,,6,,4,Traveling,7,Turnover,,,,75,75,
1,12,47,Julius Randle makes a layup shot.,121089,,true,false,false,Julius,,Randle,,Kty,,14,10,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,12,27,Jon Horford misses a jump shot from 7 feet out.,97333,,true,false,false,Jon,,Horford,,Mich,,14,10,2,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,7,1.6,6.4,75,75,
1,12,27,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,14,10,2,1,0,,,,,2,,,,6,Defensive Rebound,,,,258,258,
1,12,19,Andrew Harrison misses a layup shot.,121086,,true,false,false,Andrew,,Harrison,,Kty,,14,10,2,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,258,258,
1,12,19,Marcus Lee with an offensive rebound.,121083,,true,false,false,Marcus,,Lee,,Kty,,14,10,2,1,0,,,,,4,,,,5,Offensive Rebound,,,,258,258,
1,12,15,Marcus Lee makes a jump shot from 4 feet out.,121083,,true,false,false,Marcus,,Lee,,Kty,,14,12,2,1,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,4,3,3,258,258,
1,12,01,Shooting foul committed by James Young.,121084,,true,false,false,James,,Young,,Kty,,14,12,3,1,1,,,,,2,,2,Shooting,8,Foul,,,,258,258,
1,12,01,Nik Stauskas makes free throw 1 of 2.,116744,,true,false,false,Nik,,Stauskas,,Mich,,15,12,3,1,0,,,,,7,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,75,75,
1,12,01,Nik Stauskas makes free throw 2 of 2.,116744,,true,false,false,Nik,,Stauskas,,Mich,,16,12,3,1,0,,,,,8,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,75,75,
1,11,32,Alex Poythress makes a dunk shot.,116778,,true,false,false,Alex,,Poythress,,Kty,,16,14,3,1,1,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,258,258,
1,11,14,Spike Albrecht misses a layup shot.,116742,,true,false,false,Spike,,Albrecht,,Mich,,16,14,3,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,75,75,
1,11,14,Jon Horford with an offensive rebound.,97333,,true,false,false,Jon,,Horford,,Mich,,16,14,3,1,0,,,,,2,,,,5,Offensive Rebound,,,,75,75,
1,11,09,Jon Horford makes a layup shot.,97333,,true,false,false,Jon,,Horford,,Mich,,18,14,3,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,11,05,Andrew Harrison makes a layup shot.,121086,,true,false,false,Andrew,,Harrison,,Kty,,18,16,3,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,11,05,Shooting foul committed by Caris LeVert.,116745,,true,false,false,Caris,,LeVert,,Mich,,18,16,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,75,75,
1,11,05,Official TV timeout.,,,false,false,false,,,,,,,18,16,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,75,75,
1,11,05,Andrew Harrison makes free throw 1 of 1.,121086,,true,false,false,Andrew,,Harrison,,Kty,,18,17,3,2,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,258,258,
1,10,44,Nik Stauskas makes a jump shot from 14 feet out.,116744,,true,false,false,Nik,,Stauskas,,Mich,,20,17,3,2,0,,,,,10,2,45,Jump Shot,3,Field Goal Made,14,8.4,11.3,75,75,
1,10,26,Julius Randle misses a jump shot from 19 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,20,17,3,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,19,4.7,18.3,258,258,
1,10,26,Glenn Robinson III with a defensive rebound.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,20,17,3,2,0,,,,,4,,,,6,Defensive Rebound,,,,75,75,
1,10,19,Glenn Robinson III misses a layup shot.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,20,17,3,2,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,75,75,
1,10,19,Dakari Johnson with a defensive rebound.,121091,,true,false,false,Dakari,,Johnson,,Kty,,20,17,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
1,10,08,Dakari Johnson makes a layup shot.,121091,,true,false,false,Dakari,,Johnson,,Kty,,20,19,3,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,9,37,Glenn Robinson III misses a 3-point jump shot from 23 feet out.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,20,19,3,2,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,23,-16.8,15.6,75,75,
1,9,37,James Young with a defensive rebound.,121084,,true,false,false,James,,Young,,Kty,,20,19,3,2,1,,,,,2,,,,6,Defensive Rebound,,,,258,258,
1,9,37,Personal foul committed by Zak Irvin.,120657,,true,false,false,Zak,,Irvin,,Mich,,20,19,3,3,1,,,,,0,,1,Personal,8,Foul,,,,75,75,
1,9,11,Julius Randle misses a hook shot from 7 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,20,19,3,3,0,,,,,2,2,55,Hook Shot,4,Field Goal Missed,7,-5.9,3.6,258,258,
1,9,11,Kty with an offensive rebound.,,,false,false,false,,,,,,,20,19,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,8,57,Offensive foul committed by Julius Randle.,121089,,true,false,false,Julius,,Randle,,Kty,,20,19,4,3,1,,,,,2,,4,Offensive,8,Foul,,,,258,258,
1,8,57,Julius Randle with a  turnover:,121089,,true,false,false,Julius,,Randle,,Kty,,20,19,4,3,1,,,,,2,,,,7,Turnover,,,,258,258,
1,8,39,Nik Stauskas misses a 3-point jump shot from 26 feet out.,116744,,true,false,false,Nik,,Stauskas,,Mich,,20,19,4,3,0,,,,,10,3,45,Jump Shot,4,Field Goal Missed,26,1.6,25.6,75,75,
1,8,39,Jordan Morgan with an offensive rebound.,88692,,true,false,false,Jordan,,Morgan,,Mich,,20,19,4,3,1,,,,,2,,,,5,Offensive Rebound,,,,75,75,
1,8,30,Jordan Morgan makes a layup shot.,88692,,true,false,false,Jordan,,Morgan,,Mich,,22,19,4,3,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,8,16,Julius Randle misses a layup shot.,121089,,true,false,false,Julius,,Randle,,Kty,,22,19,4,3,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,258,258,
1,8,16,Kty with an offensive rebound.,,,false,false,false,,,,,,,22,19,4,3,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,8,06,Aaron Harrison misses a jump shot from 18 feet out.,121085,,true,false,false,Aaron,,Harrison,,Kty,,22,19,4,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,8.9,15.6,258,258,
1,8,06,Glenn Robinson III with a defensive rebound.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,22,19,4,3,0,,,,,4,,,,6,Defensive Rebound,,,,75,75,
1,7,58,Caris LeVert misses a 3-point jump shot from 23 feet out.,116745,,true,false,false,Caris,,LeVert,,Mich,,22,19,4,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-8.6,21.7,75,75,
1,7,58,Mich with an offensive rebound.,,,false,false,false,,,,,,,22,19,4,3,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,7,58,Personal foul committed by Dakari Johnson.,121091,,true,false,false,Dakari,,Johnson,,Kty,,22,19,5,3,1,,,,,2,,1,Personal,8,Foul,,,,258,258,
1,7,58,Official TV timeout.,,,false,false,false,,,,,,,22,19,5,3,0,,,,,0,,3,Official TV,11,Timeout,,,,75,75,
1,7,43,Zak Irvin makes a 3-point jump shot from 26 feet out. Glenn Robinson III with the assist.,120657,116741,true,true,false,Zak,Glenn,Irvin,Robinson III,Mich,Mich,25,19,5,3,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,.1,25.6,75,75,
1,7,13,James Young makes a 3-point jump shot from 22 feet out. Alex Poythress with the assist.,121084,116778,true,true,false,James,Alex,Young,Poythress,Kty,Kty,25,22,5,3,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,22,19.8,10.1,258,258,
1,6,51,Derrick Walton Jr. misses a 3-point jump shot from 22 feet out.,120655,,true,false,false,Derrick,,Walton Jr.,,Mich,,25,22,5,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,22,2.8,75,75,
1,6,51,Mich with an offensive rebound.,,,false,false,false,,,,,,,25,22,5,3,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,6,33,Caris LeVert makes a jump shot from 16 feet out.,116745,,true,false,false,Caris,,LeVert,,Mich,,27,22,5,3,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,.3,16.4,75,75,
1,6,12,Dakari Johnson misses a hook shot from 7 feet out.,121091,,true,false,false,Dakari,,Johnson,,Kty,,27,22,5,3,1,,,,,2,2,55,Hook Shot,4,Field Goal Missed,7,-3.1,6.2,258,258,
1,6,12,Glenn Robinson III with a defensive rebound.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,27,22,5,3,0,,,,,4,,,,6,Defensive Rebound,,,,75,75,
1,5,45,Nik Stauskas makes a layup shot.,116744,,true,false,false,Nik,,Stauskas,,Mich,,29,22,5,3,0,,,,,12,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,5,45,Shooting foul committed by Andrew Harrison.,121086,,true,false,false,Andrew,,Harrison,,Kty,,29,22,6,3,1,,,,,5,,2,Shooting,8,Foul,,,,258,258,
1,5,45,Nik Stauskas makes free throw 1 of 1.,116744,,true,false,false,Nik,,Stauskas,,Mich,,30,22,6,3,0,,,,,13,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,75,75,
1,5,24,Julius Randle misses a jump shot from 7 feet out.,121089,,true,false,false,Julius,,Randle,,Kty,,30,22,6,3,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,7,.1,6.7,258,258,
1,5,24,Dakari Johnson with an offensive rebound.,121091,,true,false,false,Dakari,,Johnson,,Kty,,30,22,6,3,1,,,,,2,,,,5,Offensive Rebound,,,,258,258,
1,5,24,Shooting foul committed by Jon Horford.,97333,,true,false,false,Jon,,Horford,,Mich,,30,22,6,4,1,,,,,4,,2,Shooting,8,Foul,,,,75,75,
1,5,24,Dakari Johnson misses free throw 1 of 2.,121091,,true,false,false,Dakari,,Johnson,,Kty,,30,22,6,4,1,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,258,258,
1,5,24,Kty with an offensive rebound.,,,false,false,false,,,,,,,30,22,6,4,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,5,24,Dakari Johnson misses free throw 2 of 2.,121091,,true,false,false,Dakari,,Johnson,,Kty,,30,22,6,4,1,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,258,258,
1,5,24,James Young with an offensive rebound.,121084,,true,false,false,James,,Young,,Kty,,30,22,6,4,1,,,,,5,,,,5,Offensive Rebound,,,,258,258,
1,5,18,Dakari Johnson with a lost ball turnover: Lost Ball,121091,,true,false,false,Dakari,,Johnson,,Kty,,30,22,6,4,1,,,,,2,,2,Lost Ball,7,Turnover,,,,258,258,
1,5,12,Nik Stauskas makes a layup shot.,116744,,true,false,false,Nik,,Stauskas,,Mich,,32,22,6,4,0,,,,,15,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,5,09,Kty take a 20-second timeout.,,,false,false,false,,,,,,,32,22,6,4,0,,,,,0,,2,Short,11,Timeout,,,,258,258,
1,4,58,Shooting foul committed by Caris LeVert.,116745,,true,false,false,Caris,,LeVert,,Mich,,32,22,6,5,2,,,,,2,,2,Shooting,8,Foul,,,,75,75,
1,4,58,Andrew Harrison misses free throw 1 of 2.,121086,,true,false,false,Andrew,,Harrison,,Kty,,32,22,6,5,1,,,,,5,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,258,258,
1,4,58,Kty with an offensive rebound.,,,false,false,false,,,,,,,32,22,6,5,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,4,58,Andrew Harrison makes free throw 2 of 2.,121086,,true,false,false,Andrew,,Harrison,,Kty,,32,23,6,5,1,,,,,6,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,258,258,
1,4,37,Nik Stauskas misses a 3-point jump shot from 24 feet out.,116744,,true,false,false,Nik,,Stauskas,,Mich,,32,23,6,5,0,,,,,15,3,45,Jump Shot,4,Field Goal Missed,24,16.8,16.6,75,75,
1,4,37,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,32,23,6,5,1,,,,,2,,,,6,Defensive Rebound,,,,258,258,
1,4,30,James Young makes a 3-point jump shot from 23 feet out. Andrew Harrison with the assist.,121084,121086,true,true,false,James,Andrew,Young,Harrison,Kty,Kty,32,26,6,5,1,,,,,8,3,45,Jump Shot,3,Field Goal Made,23,12,20,258,258,
1,3,51,Mich with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,32,26,6,5,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,75,75,
1,3,51,Official TV timeout.,,,false,false,false,,,,,,,32,26,6,5,0,,,,,0,,3,Official TV,11,Timeout,,,,75,75,
1,3,30,James Young makes a jump shot from 8 feet out.,121084,,true,false,false,James,,Young,,Kty,,32,28,6,5,1,,,,,10,2,45,Jump Shot,3,Field Goal Made,8,1.1,8.2,258,258,
1,3,02,Glenn Robinson III misses a jump shot from 20 feet out.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,32,28,6,5,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,20,-12,16.2,75,75,
1,3,02,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,32,28,6,5,1,,,,,2,,,,6,Defensive Rebound,,,,258,258,
1,2,57,Andrew Harrison misses a jump shot from 6 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,32,28,6,5,1,,,,,6,2,45,Jump Shot,4,Field Goal Missed,6,-2.1,5.5,258,258,
1,2,57,Marcus Lee with an offensive rebound.,121083,,true,false,false,Marcus,,Lee,,Kty,,32,28,6,5,0,,,,,6,,,,5,Offensive Rebound,,,,258,258,
1,2,57,Marcus Lee makes a dunk shot.,121083,,true,false,false,Marcus,,Lee,,Kty,,32,30,6,5,0,,,,,8,2,48,Dunk Shot,3,Field Goal Made,0,0,0,258,258,
1,2,54,Mich take a 20-second timeout.,,,false,false,false,,,,,,,32,30,6,5,0,,,,,0,,2,Short,11,Timeout,,,,75,75,
1,2,39,Personal foul committed by Aaron Harrison.,121085,,true,false,false,Aaron,,Harrison,,Kty,,32,30,7,5,2,,,,,0,,1,Personal,8,Foul,,,,258,258,
1,2,39,Nik Stauskas makes free throw 1st of 1-and-1.,116744,,true,false,false,Nik,,Stauskas,,Mich,,33,30,7,5,0,,,,,16,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,75,75,
