half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,256,256,
1,19,49,Michael Frazier II makes a 3-point jump shot from 23 feet out. Scottie Wilbekin with the assist.,116521,97392,true,true,false,Michael,Scottie,Frazier II,Wilbekin,Fla,Fla,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-19.1,12.7,256,256,
1,19,16,Phillip Nolan with a lost ball out of bounds turnover: Lost Ball Out of Bounds,116513,,true,false,false,Phillip,,Nolan,,UConn,,3,0,0,0,0,,,,,0,,23,Lost Ball Out of Bounds,7,Turnover,,,,43,43,
1,18,53,Patric Young misses a layup shot.,97391,,true,false,false,Patric,,Young,,Fla,,3,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,256,256,
1,18,53,Fla with an offensive rebound.,,,false,false,false,,,,,,,3,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,256,256,
1,18,44,Patric Young makes a hook shot from 7 feet out. Casey Prather with the assist.,97391,97394,true,true,false,Patric,Casey,Young,Prather,Fla,Fla,5,0,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,7,5.7,4.7,256,256,
1,18,21,DeAndre Daniels misses a 3-point jump shot from 26 feet out.,110093,,true,false,false,DeAndre,,Daniels,,UConn,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-2.3,25.4,43,43,
1,18,21,Scottie Wilbekin with a defensive rebound.,97392,,true,false,false,Scottie,,Wilbekin,,Fla,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,17,55,Casey Prather misses a jump shot from 12 feet out.,97394,,true,false,false,Casey,,Prather,,Fla,,5,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,6.5,9.8,256,256,
1,17,55,DeAndre Daniels with a defensive rebound.,110093,,true,false,false,DeAndre,,Daniels,,UConn,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,43,43,
1,17,28,Ryan Boatright misses a jump shot from 12 feet out.,110092,,true,false,false,Ryan,,Boatright,,UConn,,5,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-.4,11.6,43,43,
1,17,28,Will Yeguete with a defensive rebound.,97393,,true,false,false,Will,,Yeguete,,Fla,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,16,55,Will Yeguete misses a jump shot from 10 feet out.,97393,,true,false,false,Will,,Yeguete,,Fla,,5,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,.6,10.1,256,256,
1,16,55,Casey Prather with an offensive rebound.,97394,,true,false,false,Casey,,Prather,,Fla,,5,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,256,256,
1,16,51,Casey Prather makes a tip shot from 6 feet out.,97394,,true,false,false,Casey,,Prather,,Fla,,7,0,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,6,.3,5.7,256,256,
1,16,51,UConn take a full timeout.,,,false,false,false,,,,,,,7,0,0,0,0,,,,,0,,1,Regular,11,Timeout,,,,43,43,
1,16,28,Personal foul committed by Dorian Finney-Smith.,110224,,true,false,false,Dorian,,Finney-Smith,,Fla,,7,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,256,256,
1,16,06,DeAndre Daniels makes a layup shot.,110093,,true,false,false,DeAndre,,Daniels,,UConn,,7,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,43,43,
1,15,55,Personal foul committed by Niels Giffey.,100163,,true,false,false,Niels,,Giffey,,UConn,,7,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,43,43,
1,15,55,Official TV timeout.,,,false,false,false,,,,,,,7,2,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,256,256,
1,15,48,Michael Frazier II misses a 3-point jump shot from 22 feet out.,116521,,true,false,false,Michael,,Frazier II,,Fla,,7,2,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,22,-21,7.4,256,256,
1,15,48,Ryan Boatright with a defensive rebound.,110092,,true,false,false,Ryan,,Boatright,,UConn,,7,2,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,43,43,
1,15,31,Amida Brimah with a lost ball out of bounds turnover: Lost Ball Out of Bounds,121150,,true,false,false,Amida,,Brimah,,UConn,,7,2,1,1,0,,,,,0,,23,Lost Ball Out of Bounds,7,Turnover,,,,43,43,
1,15,16,Dorian Finney-Smith misses a 3-point jump shot from 22 feet out.,110224,,true,false,false,Dorian,,Finney-Smith,,Fla,,7,2,1,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22.2,3.1,256,256,
1,15,16,Ryan Boatright with a defensive rebound.,110092,,true,false,false,Ryan,,Boatright,,UConn,,7,2,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,43,43,
1,15,02,DeAndre Daniels misses a jump shot from 10 feet out.,110093,,true,false,false,DeAndre,,Daniels,,UConn,,7,2,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,10,.1,10.3,43,43,
1,15,02,Dorian Finney-Smith with a defensive rebound.,110224,,true,false,false,Dorian,,Finney-Smith,,Fla,,7,2,1,1,1,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,14,48,Scottie Wilbekin makes a jump shot from 12 feet out.,97392,,true,false,false,Scottie,,Wilbekin,,Fla,,9,2,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,-3,11.8,256,256,
1,14,40,Personal foul committed by Kasey Hill.,120718,,true,false,false,Kasey,,Hill,,Fla,,9,2,1,2,1,,,,,0,,1,Personal,8,Foul,,,,256,256,
1,14,28,Amida Brimah makes a dunk shot. Shabazz Napier with the assist.,121150,97562,true,true,false,Amida,Shabazz,Brimah,Napier,UConn,UConn,9,4,1,2,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,43,43,
1,14,12,Patric Young with a bad pass turnover: Bad Pass,97391,,true,false,false,Patric,,Young,,Fla,,9,4,1,2,0,,,,,2,,1,Bad Pass,7,Turnover,,,,256,256,
1,13,46,Shabazz Napier misses a 3-point jump shot from 26 feet out.,97562,,true,false,false,Shabazz,,Napier,,UConn,,9,4,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-7.6,24.7,43,43,
1,13,46,Will Yeguete with a defensive rebound.,97393,,true,false,false,Will,,Yeguete,,Fla,,9,4,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,256,256,
1,13,20,Shooting foul committed by Amida Brimah.,121150,,true,false,false,Amida,,Brimah,,UConn,,9,4,2,2,1,,,,,2,,2,Shooting,8,Foul,,,,43,43,
1,13,20,Patric Young makes free throw 1 of 2.,97391,,true,false,false,Patric,,Young,,Fla,,10,4,2,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,256,256,
1,13,20,Patric Young misses free throw 2 of 2.,97391,,true,false,false,Patric,,Young,,Fla,,10,4,2,2,0,,,,,3,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,256,256,
