half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,254,254,
1,19,48,Shooting foul committed by Bobby Portis.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,254,254,
1,19,48,Jake Odum makes free throw 1 of 2.,88499,,true,false,false,Jake,,Odum,,InSt,,0,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,201,201,
1,19,48,Jake Odum misses free throw 2 of 2.,88499,,true,false,false,Jake,,Odum,,InSt,,0,1,0,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,201,201,
1,19,48,Bobby Portis with a defensive rebound.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,1,0,1,1,,,,,0,,,,6,Defensive Rebound,,,,254,254,
1,19,30,Bobby Portis misses a 3-point jump shot from 24 feet out.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,1,0,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-10.5,21.5,254,254,
1,19,30,Anthlon Bell with an offensive rebound.,116492,,true,false,false,Anthlon,,Bell,,Ark,,0,1,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,254,254,
1,19,24,Coty Clarke misses a 3-point jump shot from 24 feet out.,116493,,true,false,false,Coty,,Clarke,,Ark,,0,1,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,19,14,254,254,
1,19,24,Anthlon Bell with an offensive rebound.,116492,,true,false,false,Anthlon,,Bell,,Ark,,0,1,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,254,254,
1,19,24,Personal foul committed by Dawon Cummings.,116402,,true,false,false,Dawon,,Cummings,,InSt,,0,1,1,1,1,,,,,0,,1,Personal,8,Foul,,,,201,201,
1,19,08,Fred Gulley III misses a jump shot from 16 feet out.,88714,,true,false,false,Fred,,Gulley III,,Ark,,0,1,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-12.8,9.1,254,254,
1,19,08,Jake Kitchell with a defensive rebound.,97880,,true,false,false,Jake,,Kitchell,,InSt,,0,1,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,201,201,
1,18,56,Personal foul committed by Fred Gulley III.,88714,,true,false,false,Fred,,Gulley III,,Ark,,0,1,1,2,1,,,,,0,,1,Personal,8,Foul,,,,254,254,
1,18,40,Jake Odum misses a jump shot from 14 feet out.,88499,,true,false,false,Jake,,Odum,,InSt,,0,1,1,2,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,14,11.3,8.6,201,201,
1,18,40,Anthlon Bell with a defensive rebound.,116492,,true,false,false,Anthlon,,Bell,,Ark,,0,1,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,254,254,
1,18,26,Rashad Madden misses a jump shot from 8 feet out.,110562,,true,false,false,Rashad,,Madden,,Ark,,0,1,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,0,8,254,254,
1,18,26,Bobby Portis with an offensive rebound.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,1,1,2,1,,,,,0,,,,5,Offensive Rebound,,,,254,254,
1,18,26,Bobby Portis misses a layup shot.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,1,1,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,254,254,
1,18,26,Bobby Portis with an offensive rebound.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,1,1,2,1,,,,,0,,,,5,Offensive Rebound,,,,254,254,
1,18,26,Bobby Portis misses a layup shot.,120803,,true,false,false,Bobby,,Portis,,Ark,,0,1,1,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,254,254,
1,18,26,Ark with an offensive rebound.,,,false,false,false,,,,,,,0,1,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,254,254,
1,18,16,Coty Clarke misses a layup shot.,116493,,true,false,false,Coty,,Clarke,,Ark,,0,1,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,254,254,
1,18,16,Dawon Cummings with a defensive rebound.,116402,,true,false,false,Dawon,,Cummings,,InSt,,0,1,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,201,201,
1,18,05,Jake Kitchell with a lost ball turnover: Lost Ball,97880,,true,false,false,Jake,,Kitchell,,InSt,,0,1,1,2,0,,,,,0,,2,Lost Ball,7,Turnover,,,,201,201,
1,17,50,Anthlon Bell makes a jump shot from 16 feet out. Fred Gulley III with the assist.,116492,88714,true,true,false,Anthlon,Fred,Bell,Gulley III,Ark,Ark,2,1,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,6,14,254,254,
1,17,33,Offensive foul committed by Manny Arop.,88920,,true,false,false,Manny,,Arop,,InSt,,2,1,2,2,1,,,,,0,,4,Offensive,8,Foul,,,,201,201,
1,17,33,Manny Arop with a  turnover:,88920,,true,false,false,Manny,,Arop,,InSt,,2,1,2,2,1,,,,,0,,,,7,Turnover,,,,201,201,
1,17,07,Rashad Madden misses a layup shot.,110562,,true,false,false,Rashad,,Madden,,Ark,,2,1,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,254,254,
1,17,07,Ark with an offensive rebound.,,,false,false,false,,,,,,,2,1,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,254,254,
1,16,59,Anthlon Bell makes a jump shot from 14 feet out. Bobby Portis with the assist.,116492,120803,true,true,false,Anthlon,Bobby,Bell,Portis,Ark,Ark,4,1,2,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,14,-11,9,254,254,
