half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,118,118,
1,19,45,Shooting foul committed by Paris Roberts-Campbell.,110371,,true,false,false,Paris,,Roberts-Campbell,,ECU,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,118,118,
1,19,45,AJ Pacher makes free throw 1 of 2.,98076,,true,false,false,AJ,,Pacher,,Wright,,0,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,136,136,
1,19,45,AJ Pacher makes free throw 2 of 2.,98076,,true,false,false,AJ,,Pacher,,Wright,,0,2,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,136,136,
1,19,16,Caleb White misses a 3-point jump shot.,121205,,true,false,false,Caleb,,White,,ECU,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,19,10,Akeem Richmond misses a 3-point jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,18,51,Personal foul committed by Jerran Young.,117793,,true,false,false,Jerran,,Young,,Wright,,0,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,136,136,
1,18,22,Antonio Robinson misses a jump shot.,121206,,true,false,false,Antonio,,Robinson,,ECU,,0,2,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,18,18,Personal foul committed by Michael Zangari.,116761,,true,false,false,Michael,,Zangari,,ECU,,0,2,1,2,1,,,,,0,,1,Personal,8,Foul,,,,118,118,
1,18,01,Miles Dixon misses a 3-point jump shot.,89172,,true,false,false,Miles,,Dixon,,Wright,,0,2,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,136,136,
1,17,52,Personal foul committed by Cole Darling.,98075,,true,false,false,Cole,,Darling,,Wright,,0,2,2,2,1,,,,,0,,1,Personal,8,Foul,,,,136,136,
1,17,08,Cole Darling makes a layup shot.,98075,,true,false,false,Cole,,Darling,,Wright,,0,4,2,2,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,136,136,
1,17,00,Caleb White misses a 3-point jump shot.,121205,,true,false,false,Caleb,,White,,ECU,,0,4,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,16,30,Caleb White misses a layup shot.,121205,,true,false,false,Caleb,,White,,ECU,,0,4,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,118,118,
1,16,21,Cole Darling misses a jump shot.,98075,,true,false,false,Cole,,Darling,,Wright,,0,4,2,2,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,136,136,
1,15,58,Matt Vest misses a 3-point jump shot.,98077,,true,false,false,Matt,,Vest,,Wright,,0,4,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,136,136,
1,15,55,Matt Vest makes a 3-point jump shot.,98077,,true,false,false,Matt,,Vest,,Wright,,0,7,2,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,136,136,
1,15,41,Personal foul committed by Cole Darling.,98075,,true,false,false,Cole,,Darling,,Wright,,0,7,3,2,2,,,,,2,,1,Personal,8,Foul,,,,136,136,
1,15,41,Official TV timeout.,,,false,false,false,,,,,,,0,7,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,118,118,
1,15,07,Akeem Richmond makes a 3-point jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,3,7,3,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,14,49,Jerran Young misses a 3-point jump shot.,117793,,true,false,false,Jerran,,Young,,Wright,,3,7,3,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,136,136,
1,14,42,Paris Roberts-Campbell misses a 3-point jump shot.,110371,,true,false,false,Paris,,Roberts-Campbell,,ECU,,3,7,3,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,14,14,AJ Pacher makes a layup shot.,98076,,true,false,false,AJ,,Pacher,,Wright,,3,9,3,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,136,136,
1,13,54,Prince Williams makes a jump shot.,116760,,true,false,false,Prince,,Williams,,ECU,,5,9,3,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,13,28,Matt Vest makes a 3-point jump shot.,98077,,true,false,false,Matt,,Vest,,Wright,,5,12,3,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,136,136,
1,13,01,Akeem Richmond makes a 3-point jump shot.,88648,,true,false,false,Akeem,,Richmond,,ECU,,8,12,3,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,118,118,
1,12,35,Shooting foul committed by Brandan Stith.,121207,,true,false,false,Brandan,,Stith,,ECU,,8,12,3,3,1,,,,,0,,2,Shooting,8,Foul,,,,118,118,
1,12,35,Jerran Young makes free throw 1 of 2.,117793,,true,false,false,Jerran,,Young,,Wright,,8,13,3,3,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,136,136,
1,12,35,Jerran Young misses free throw 2 of 2.,117793,,true,false,false,Jerran,,Young,,Wright,,8,13,3,3,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,136,136,
1,12,15,Shooting foul committed by JT Yoho.,116314,,true,false,false,JT,,Yoho,,Wright,,8,13,4,3,1,,,,,0,,2,Shooting,8,Foul,,,,136,136,
1,12,15,Prince Williams makes free throw 1 of 2.,116760,,true,false,false,Prince,,Williams,,ECU,,9,13,4,3,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,118,118,
1,12,15,Prince Williams makes free throw 2 of 2.,116760,,true,false,false,Prince,,Williams,,ECU,,10,13,4,3,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,118,118,
1,12,02,Reggie Arceneaux makes a 3-point jump shot.,110338,,true,false,false,Reggie,,Arceneaux,,Wright,,10,16,4,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,136,136,
1,11,48,Antonio Robinson misses a 3-point jump shot.,121206,,true,false,false,Antonio,,Robinson,,ECU,,10,16,4,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,118,118,
1,11,43,Brandan Stith misses a tip shot.,121207,,true,false,false,Brandan,,Stith,,ECU,,10,16,4,3,1,,,,,0,2,53,Tip Shot,4,Field Goal Missed,,,,118,118,
1,11,11,Brandan Stith makes a dunk shot.,121207,,true,false,false,Brandan,,Stith,,ECU,,12,16,4,3,1,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,118,118,
