half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,282,282,
1,19,31,Tony Armstrong misses a jump shot.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,19,10,Paul Baxter misses a 3-point jump shot.,117427,,true,false,false,Paul,,Baxter,,SamHou,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,18,43,Maurice Strong misses a jump shot.,122067,,true,false,false,Maurice,,Strong,,AlSt,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,18,27,Jabari Peters misses a 3-point jump shot.,111431,,true,false,false,Jabari,,Peters,,SamHou,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,18,21,Shooting foul committed by Terrance LeFlore.,122069,,true,false,false,Terrance,,LeFlore,,AlSt,,0,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,289,289,
1,18,21,Kaheem Ransom misses free throw 1 of 2.,121861,,true,false,false,Kaheem,,Ransom,,SamHou,,0,0,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,282,282,
1,18,21,Kaheem Ransom makes free throw 2 of 2.,121861,,true,false,false,Kaheem,,Ransom,,SamHou,,1,0,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,282,282,
1,18,03,Brandon Graham makes a dunk shot.,122063,,true,false,false,Brandon,,Graham,,AlSt,,1,2,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,289,289,
1,17,30,James Thomas misses a jump shot.,117426,,true,false,false,James,,Thomas,,SamHou,,1,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,17,16,Brandon Graham misses a 3-point jump shot.,122063,,true,false,false,Brandon,,Graham,,AlSt,,1,2,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,17,05,Jamel Waters misses a 3-point jump shot.,117771,,true,false,false,Jamel,,Waters,,AlSt,,1,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,16,52,James Thomas misses a jump shot.,117426,,true,false,false,James,,Thomas,,SamHou,,1,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,16,40,Tony Armstrong misses a jump shot.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,1,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,16,29,James Thomas makes a layup shot.,117426,,true,false,false,James,,Thomas,,SamHou,,3,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,282,282,
1,16,29,Shooting foul committed by Brandon Graham.,122063,,true,false,false,Brandon,,Graham,,AlSt,,3,2,2,0,1,,,,,2,,2,Shooting,8,Foul,,,,289,289,
1,16,29,James Thomas makes free throw 1 of 1.,117426,,true,false,false,James,,Thomas,,SamHou,,4,2,2,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,282,282,
1,16,06,Paul Baxter makes a 3-point jump shot.,117427,,true,false,false,Paul,,Baxter,,SamHou,,7,2,2,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,282,282,
1,15,42,Terrance LeFlore misses a jump shot.,122069,,true,false,false,Terrance,,LeFlore,,AlSt,,7,2,2,0,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,15,31,Offensive foul committed by Maurice Strong.,122067,,true,false,false,Maurice,,Strong,,AlSt,,7,2,3,0,1,,,,,0,,4,Offensive,8,Foul,,,,289,289,
1,15,31,Official TV timeout.,,,false,false,false,,,,,,,7,2,3,0,0,,,,,0,,3,Official TV,11,Timeout,,,,282,282,
1,14,56,Shooting foul committed by Maurice Strong.,122067,,true,false,false,Maurice,,Strong,,AlSt,,7,2,4,0,2,,,,,0,,2,Shooting,8,Foul,,,,289,289,
1,14,56,Jabari Peters misses free throw 1 of 2.,111431,,true,false,false,Jabari,,Peters,,SamHou,,7,2,4,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,282,282,
1,14,56,Jabari Peters makes free throw 2 of 2.,111431,,true,false,false,Jabari,,Peters,,SamHou,,8,2,4,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,282,282,
1,14,35,DeMarcus Robinson misses a 3-point jump shot.,122062,,true,false,false,DeMarcus,,Robinson,,AlSt,,8,2,4,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,14,23,Aurimas Majauskas misses a layup shot.,121862,,true,false,false,Aurimas,,Majauskas,,SamHou,,8,2,4,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,282,282,
1,14,05,Terrance Motley misses a layup shot.,117428,,true,false,false,Terrance,,Motley,,SamHou,,8,2,4,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,282,282,
1,13,47,Tony Armstrong makes a hook shot.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,8,4,4,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,289,289,
1,13,08,Aurimas Majauskas makes a jump shot.,121862,,true,false,false,Aurimas,,Majauskas,,SamHou,,10,4,4,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,282,282,
1,12,55,Brandon Graham makes a 3-point jump shot.,122063,,true,false,false,Brandon,,Graham,,AlSt,,10,7,4,0,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,289,289,
1,12,22,Offensive foul committed by Paul Baxter.,117427,,true,false,false,Paul,,Baxter,,SamHou,,10,7,4,1,1,,,,,3,,4,Offensive,8,Foul,,,,282,282,
1,12,05,Shooting foul committed by Terrance Motley.,117428,,true,false,false,Terrance,,Motley,,SamHou,,10,7,4,2,1,,,,,0,,2,Shooting,8,Foul,,,,282,282,
1,12,05,Tony Armstrong makes free throw 1 of 2.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,10,8,4,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,289,289,
1,12,05,Tony Armstrong makes free throw 2 of 2.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,10,9,4,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,289,289,
1,11,46,Terrance Motley makes a jump shot.,117428,,true,false,false,Terrance,,Motley,,SamHou,,12,9,4,2,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,282,282,
1,11,26,Tony Armstrong misses a jump shot.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,12,9,4,2,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,11,25,Personal foul committed by Aurimas Majauskas.,121862,,true,false,false,Aurimas,,Majauskas,,SamHou,,12,9,4,3,1,,,,,2,,1,Personal,8,Foul,,,,282,282,
1,11,25,Official TV timeout.,,,false,false,false,,,,,,,12,9,4,3,0,,,,,0,,3,Official TV,11,Timeout,,,,282,282,
1,11,10,Billy Ingram misses a jump shot.,117773,,true,false,false,Billy,,Ingram,,AlSt,,12,9,4,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,11,10,Shooting foul committed by Tony Armstrong.,117772,,true,false,false,Tony,,Armstrong,,AlSt,,12,9,5,3,1,,,,,4,,2,Shooting,8,Foul,,,,289,289,
1,10,36,Terrance LeFlore misses a jump shot.,122069,,true,false,false,Terrance,,LeFlore,,AlSt,,12,9,5,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,10,27,Terrance LeFlore makes a jump shot.,122069,,true,false,false,Terrance,,LeFlore,,AlSt,,12,11,5,3,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,289,289,
1,10,08,Kaheem Ransom misses a 3-point jump shot.,121861,,true,false,false,Kaheem,,Ransom,,SamHou,,12,11,5,3,0,,,,,1,3,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,10,00,Terrance Motley misses a jump shot.,117428,,true,false,false,Terrance,,Motley,,SamHou,,12,11,5,3,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,9,36,Kaheem Ransom misses a 3-point jump shot.,121861,,true,false,false,Kaheem,,Ransom,,SamHou,,12,11,5,3,0,,,,,1,3,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,9,26,Billy Ingram misses a jump shot.,117773,,true,false,false,Billy,,Ingram,,AlSt,,12,11,5,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,9,13,Billy Ingram misses a layup shot.,117773,,true,false,false,Billy,,Ingram,,AlSt,,12,11,5,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,289,289,
1,8,53,Terrance Motley misses a layup shot.,117428,,true,false,false,Terrance,,Motley,,SamHou,,12,11,5,3,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,282,282,
1,8,52,Personal foul committed by Michael Holyfield.,110337,,true,false,false,Michael,,Holyfield,,SamHou,,12,11,5,4,1,,,,,0,,1,Personal,8,Foul,,,,282,282,
1,8,20,DeMarcus Robinson misses a 3-point jump shot.,122062,,true,false,false,DeMarcus,,Robinson,,AlSt,,12,11,5,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,289,289,
1,8,08,Dakarai Henderson misses a 3-point jump shot.,117431,,true,false,false,Dakarai,,Henderson,,SamHou,,12,11,5,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,282,282,
1,7,38,DeMarcus Robinson misses a jump shot.,122062,,true,false,false,DeMarcus,,Robinson,,AlSt,,12,11,5,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,289,289,
