half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,316,316,
1,19,38,James Walker III with a lost ball turnover: Lost Ball,97543,,true,false,false,James,,Walker III,,StMry,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,316,316,
1,19,28,Offensive foul committed by Brandon Taylor.,116675,,true,false,false,Brandon,,Taylor,,Utah,,0,0,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,212,212,
1,19,28,Brandon Taylor with a  turnover:,116675,,true,false,false,Brandon,,Taylor,,Utah,,0,0,1,0,1,,,,,0,,,,7,Turnover,,,,212,212,
1,19,16,Dane Pineau misses a jump shot from 12 feet out.,120945,,true,false,false,Dane,,Pineau,,StMry,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,-1.3,11.5,316,316,
1,19,16,Brad Waldow with an offensive rebound.,98635,,true,false,false,Brad,,Waldow,,StMry,,0,0,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,316,316,
1,19,13,Kerry Carter misses a 3-point jump shot from 23 feet out.,120943,,true,false,false,Kerry,,Carter,,StMry,,0,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.5,2.3,316,316,
1,19,13,Princeton Onwas with a defensive rebound.,120704,,true,false,false,Princeton,,Onwas,,Utah,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,212,212,
1,19,06,Princeton Onwas makes a layup shot.,120704,,true,false,false,Princeton,,Onwas,,Utah,,0,2,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,212,212,
1,19,06,Shooting foul committed by Stephen Holt.,98634,,true,false,false,Stephen,,Holt,,StMry,,0,2,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,316,316,
