half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,3,3,
1,19,54,Maurice Watson Jr. misses a layup shot.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,3,3,
1,19,54,Maurice Watson Jr. with an offensive rebound.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,3,3,
1,19,45,Dom Morris misses a 3-point jump shot from 24 feet out.,97143,,true,false,false,Dom,,Morris,,BU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,2.6,23.9,3,3,
1,19,45,Rayvonte Rice with a defensive rebound.,98259,,true,false,false,Rayvonte,,Rice,,Ill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,72,72,
1,19,35,Nnanna Egwu misses a jump shot from 14 feet out.,110106,,true,false,false,Nnanna,,Egwu,,Ill,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-8.9,10.3,72,72,
1,19,35,D.J. Irving with a defensive rebound.,97137,,true,false,false,D.J.,,Irving,,BU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,3,3,
1,19,14,D.J. Irving misses a 3-point jump shot from 24 feet out.,97137,,true,false,false,D.J.,,Irving,,BU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,16.8,17.3,3,3,
1,19,14,Malcolm Hill with a defensive rebound.,120650,,true,false,false,Malcolm,,Hill,,Ill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,72,72,
1,18,45,Rayvonte Rice misses a 3-point jump shot from 24 feet out.,98259,,true,false,false,Rayvonte,,Rice,,Ill,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,13.5,20,72,72,
1,18,45,Maurice Watson Jr. with a defensive rebound.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,3,3,
1,18,28,Maurice Watson Jr. misses a jump shot from 16 feet out.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,7.2,13.9,3,3,
1,18,28,Rayvonte Rice with a defensive rebound.,98259,,true,false,false,Rayvonte,,Rice,,Ill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,72,72,
1,18,06,Malcolm Hill misses a jump shot from 16 feet out.,120650,,true,false,false,Malcolm,,Hill,,Ill,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-14.5,6.5,72,72,
1,18,06,D.J. Irving with a defensive rebound.,97137,,true,false,false,D.J.,,Irving,,BU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,3,3,
1,17,37,Nathan Dieudonne misses a 3-point jump shot from 23 feet out.,116016,,true,false,false,Nathan,,Dieudonne,,BU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-11.3,19.6,3,3,
1,17,37,Rayvonte Rice with a defensive rebound.,98259,,true,false,false,Rayvonte,,Rice,,Ill,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,72,72,
1,17,18,Malcolm Hill makes a 3-point jump shot from 24 feet out. Tracy Abrams with the assist.,120650,110101,true,true,false,Malcolm,Tracy,Hill,Abrams,Ill,Ill,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-19.8,13.5,72,72,
1,17,01,Dom Morris misses a 3-point jump shot from 23 feet out.,97143,,true,false,false,Dom,,Morris,,BU,,0,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,6.5,22.5,3,3,
1,17,01,Ill with a defensive rebound.,,,false,false,false,,,,,,,0,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,72,72,
1,16,23,Rayvonte Rice makes a jump shot from 8 feet out. Joseph Bertrand with the assist.,98259,88685,true,true,false,Rayvonte,Joseph,Rice,Bertrand,Ill,Ill,0,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-1,8,72,72,
1,16,08,Dom Morris makes a layup shot. Maurice Watson Jr. with the assist.,97143,116018,true,true,false,Dom,Maurice,Morris,Watson Jr.,BU,BU,2,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,3,3,
1,15,52,Tracy Abrams misses a jump shot from 15 feet out.,110101,,true,false,false,Tracy,,Abrams,,Ill,,2,5,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,7.2,13.7,72,72,
1,15,52,Tracy Abrams with an offensive rebound.,110101,,true,false,false,Tracy,,Abrams,,Ill,,2,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,72,72,
1,15,45,Tracy Abrams with a lost ball turnover: Lost Ball,110101,,true,false,false,Tracy,,Abrams,,Ill,,2,5,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,72,72,
1,15,40,Maurice Watson Jr. makes a layup shot.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,4,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,3,3,
1,15,37,Official TV timeout.,,,false,false,false,,,,,,,4,5,0,0,0,,,,,0,,3,Official TV,11,Timeout,,,,3,3,
1,15,28,Joseph Bertrand makes a layup shot.,88685,,true,false,false,Joseph,,Bertrand,,Ill,,4,7,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,72,72,
1,15,05,Shooting foul committed by Nnanna Egwu.,110106,,true,false,false,Nnanna,,Egwu,,Ill,,4,7,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,72,72,
1,15,05,Dom Morris makes free throw 1 of 2.,97143,,true,false,false,Dom,,Morris,,BU,,5,7,1,0,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,3,3,
1,15,05,Dom Morris makes free throw 2 of 2.,97143,,true,false,false,Dom,,Morris,,BU,,6,7,1,0,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,3,3,
1,14,45,Jaylon Tate with a lost ball turnover: Lost Ball,120649,,true,false,false,Jaylon,,Tate,,Ill,,6,7,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,72,72,
1,14,37,Maurice Watson Jr. misses a layup shot.,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,6,7,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,3,3,
1,14,37,BU with an offensive rebound.,,,false,false,false,,,,,,,6,7,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,3,3,
1,14,34,John Papale makes a 3-point jump shot from 24 feet out. Maurice Watson Jr. with the assist.,116017,116018,true,true,false,John,Maurice,Papale,Watson Jr.,BU,BU,9,7,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,16.1,17.9,3,3,
1,14,21,Jon Ekey misses a 3-point jump shot from 23 feet out.,88748,,true,false,false,Jon,,Ekey,,Ill,,9,7,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.6,14.9,72,72,
1,14,21,Dom Morris with a defensive rebound.,97143,,true,false,false,Dom,,Morris,,BU,,9,7,1,0,0,,,,,4,,,,6,Defensive Rebound,,,,3,3,
1,14,11,Shooting foul committed by Jaylon Tate.,120649,,true,false,false,Jaylon,,Tate,,Ill,,9,7,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,72,72,
1,14,11,D.J. Irving makes free throw 1 of 2.,97137,,true,false,false,D.J.,,Irving,,BU,,10,7,2,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,3,3,
1,14,11,D.J. Irving makes free throw 2 of 2.,97137,,true,false,false,D.J.,,Irving,,BU,,11,7,2,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,3,3,
1,13,46,Kendrick Nunn with a out of bounds turnover: Out of Bounds,120652,,true,false,false,Kendrick,,Nunn,,Ill,,11,7,2,0,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,72,72,
1,13,36,John Papale misses a 3-point jump shot from 25 feet out.,116017,,true,false,false,John,,Papale,,BU,,11,7,2,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,25,-16.1,19.3,3,3,
1,13,36,Tracy Abrams with a defensive rebound.,110101,,true,false,false,Tracy,,Abrams,,Ill,,11,7,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,72,72,
1,13,21,Offensive foul committed by Joseph Bertrand.,88685,,true,false,false,Joseph,,Bertrand,,Ill,,11,7,3,0,1,,,,,2,,4,Offensive,8,Foul,,,,72,72,
1,13,21,Joseph Bertrand with a  turnover:,88685,,true,false,false,Joseph,,Bertrand,,Ill,,11,7,3,0,1,,,,,2,,,,7,Turnover,,,,72,72,
1,13,11,Shooting foul committed by Rayvonte Rice.,98259,,true,false,false,Rayvonte,,Rice,,Ill,,11,7,4,0,1,,,,,2,,2,Shooting,8,Foul,,,,72,72,
1,13,11,D.J. Irving misses free throw 1 of 2.,97137,,true,false,false,D.J.,,Irving,,BU,,11,7,4,0,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,3,3,
1,13,11,BU with an offensive rebound.,,,false,false,false,,,,,,,11,7,4,0,0,,,,,0,,,,5,Offensive Rebound,,,,3,3,
1,13,11,D.J. Irving misses free throw 2 of 2.,97137,,true,false,false,D.J.,,Irving,,BU,,11,7,4,0,0,,,,,2,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,3,3,
1,13,11,Rayvonte Rice with a defensive rebound.,98259,,true,false,false,Rayvonte,,Rice,,Ill,,11,7,4,0,1,,,,,2,,,,6,Defensive Rebound,,,,72,72,
1,12,55,Kendrick Nunn makes a jump shot from 14 feet out. Nnanna Egwu with the assist.,120652,110106,true,true,false,Kendrick,Nnanna,Nunn,Egwu,Ill,Ill,11,9,4,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,14,-12,7,72,72,
1,12,35,D.J. Irving makes a 3-point jump shot from 23 feet out. Maurice Watson Jr. with the assist.,97137,116018,true,true,false,D.J.,Maurice,Irving,Watson Jr.,BU,BU,14,9,4,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,15.4,16.6,3,3,
1,12,17,Nnanna Egwu misses a jump shot from 16 feet out.,110106,,true,false,false,Nnanna,,Egwu,,Ill,,14,9,4,0,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-10.6,11.6,72,72,
1,12,17,D.J. Irving with a defensive rebound.,97137,,true,false,false,D.J.,,Irving,,BU,,14,9,4,0,0,,,,,5,,,,6,Defensive Rebound,,,,3,3,
1,12,03,Justin Alston makes a layup shot. Maurice Watson Jr. with the assist.,116015,116018,true,true,false,Justin,Maurice,Alston,Watson Jr.,BU,BU,16,9,4,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,3,3,
1,12,00,Ill take a 20-second timeout.,,,false,false,false,,,,,,,16,9,4,0,0,,,,,0,,2,Short,11,Timeout,,,,72,72,
1,11,27,Official TV timeout.,,,false,false,false,,,,,,,16,9,4,0,0,,,,,0,,3,Official TV,11,Timeout,,,,3,3,
1,11,24,Tracy Abrams misses a 3-point jump shot from 27 feet out.,110101,,true,false,false,Tracy,,Abrams,,Ill,,16,9,4,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,27,.4,26.9,72,72,
1,11,24,Ill with an offensive rebound.,,,false,false,false,,,,,,,16,9,4,0,0,,,,,0,,,,5,Offensive Rebound,,,,72,72,
1,11,24,Ill with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,16,9,4,0,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,72,72,
1,10,58,Maurice Watson Jr. with a traveling turnover: Traveling,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,16,9,4,0,0,,,,,2,,4,Traveling,7,Turnover,,,,3,3,
1,10,36,Tracy Abrams misses a 3-point jump shot from 24 feet out.,110101,,true,false,false,Tracy,,Abrams,,Ill,,16,9,4,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-7.6,22.5,72,72,
1,10,36,Dom Morris with a defensive rebound.,97143,,true,false,false,Dom,,Morris,,BU,,16,9,4,0,0,,,,,4,,,,6,Defensive Rebound,,,,3,3,
1,9,54,Maurice Watson Jr. with a lost ball turnover: Lost Ball,116018,,true,false,false,Maurice,,Watson Jr.,,BU,,16,9,4,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,3,3,
1,9,42,Rayvonte Rice with a lost ball turnover: Lost Ball,98259,,true,false,false,Rayvonte,,Rice,,Ill,,16,9,4,0,1,,,,,2,,2,Lost Ball,7,Turnover,,,,72,72,
1,9,36,Cedric Hankerson makes a 3-point jump shot from 25 feet out. Maurice Watson Jr. with the assist.,121567,116018,true,true,false,Cedric,Maurice,Hankerson,Watson Jr.,BU,BU,19,9,4,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,16.4,18.6,3,3,
1,9,14,Malcolm Hill misses a jump shot from 13 feet out.,120650,,true,false,false,Malcolm,,Hill,,Ill,,19,9,4,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,13,-8.4,10.1,72,72,
1,9,14,Malik Thomas with a defensive rebound.,97140,,true,false,false,Malik,,Thomas,,BU,,19,9,4,0,0,,,,,0,,,,6,Defensive Rebound,,,,3,3,
1,8,57,Travis Robinson makes a 3-point jump shot from 23 feet out. Dom Morris with the assist.,97142,97143,true,true,false,Travis,Dom,Robinson,Morris,BU,BU,22,9,4,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,14.2,18.4,3,3,
1,8,25,Shooting foul committed by Malik Thomas.,97140,,true,false,false,Malik,,Thomas,,BU,,22,9,4,1,1,,,,,0,,2,Shooting,8,Foul,,,,3,3,
1,8,25,Malcolm Hill makes free throw 1 of 2.,120650,,true,false,false,Malcolm,,Hill,,Ill,,22,10,4,1,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,72,72,
