half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,237,237,
1,19,26,Ricky Kreklow misses a jump shot from 10 feet out.,97437,,true,false,false,Ricky,,Kreklow,,Cal,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,2,9,237,237,
1,19,26,Mitch Bruneel with a defensive rebound.,110062,,true,false,false,Mitch,,Bruneel,,UVU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,955,955,
1,19,03,Zach Nelson misses a hook shot from 4 feet out.,98978,,true,false,false,Zach,,Nelson,,UVU,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,4,4,1,955,955,
1,19,03,David Kravish with a defensive rebound.,109888,,true,false,false,David,,Kravish,,Cal,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,237,237,
1,18,50,Justin Cobbs makes a 3-point jump shot from 22 feet out. Jabari Bird with the assist.,88695,120798,true,true,false,Justin,Jabari,Cobbs,Bird,Cal,Cal,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,17,14,237,237,
1,18,38,Ben Aird makes a jump shot from 12 feet out. Holton Hunsaker with the assist.,98982,98976,true,true,false,Ben,Holton,Aird,Hunsaker,UVU,UVU,3,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,4,11,955,955,
1,18,11,David Kravish makes a jump shot from 18 feet out. Jabari Bird with the assist.,109888,120798,true,true,false,David,Jabari,Kravish,Bird,Cal,Cal,5,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,17,5,237,237,
1,17,55,Mitch Bruneel misses a layup shot.,110062,,true,false,false,Mitch,,Bruneel,,UVU,,5,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,955,955,
1,17,55,David Kravish with a defensive rebound.,109888,,true,false,false,David,,Kravish,,Cal,,5,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,237,237,
1,17,34,Tyrone Wallace misses a jump shot from 10 feet out.,117149,,true,false,false,Tyrone,,Wallace,,Cal,,5,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-.6,10.1,237,237,
1,17,34,Tyrone Wallace with an offensive rebound.,117149,,true,false,false,Tyrone,,Wallace,,Cal,,5,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,237,237,
1,17,24,Justin Cobbs makes a jump shot from 16 feet out.,88695,,true,false,false,Justin,,Cobbs,,Cal,,7,2,0,0,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,16,-14.7,6.4,237,237,
1,17,05,Holton Hunsaker makes a jump shot from 17 feet out. Keawe Enos with the assist.,98976,111480,true,true,false,Holton,Keawe,Hunsaker,Enos,UVU,UVU,7,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,4,17,955,955,
1,16,43,Jabari Bird makes a jump shot from 12 feet out.,120798,,true,false,false,Jabari,,Bird,,Cal,,9,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,12,-.1,12.3,237,237,
1,16,21,Shooting foul committed by David Kravish.,109888,,true,false,false,David,,Kravish,,Cal,,9,4,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,237,237,
1,16,21,UVU take a 20-second timeout.,,,false,false,false,,,,,,,9,4,0,1,0,,,,,0,,2,Short,11,Timeout,,,,955,955,
1,16,21,Holton Hunsaker makes free throw 1 of 2.,98976,,true,false,false,Holton,,Hunsaker,,UVU,,9,5,0,1,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,955,955,
1,16,21,Holton Hunsaker makes free throw 2 of 2.,98976,,true,false,false,Holton,,Hunsaker,,UVU,,9,6,0,1,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,955,955,
1,16,12,Justin Cobbs misses a jump shot from 20 feet out.,88695,,true,false,false,Justin,,Cobbs,,Cal,,9,6,0,1,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,20,1,20,237,237,
1,16,12,Ben Aird with a defensive rebound.,98982,,true,false,false,Ben,,Aird,,UVU,,9,6,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,955,955,
1,15,57,Zach Nelson makes a layup shot.,98978,,true,false,false,Zach,,Nelson,,UVU,,9,8,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,955,955,
1,15,35,Tyrone Wallace misses a jump shot from 16 feet out.,117149,,true,false,false,Tyrone,,Wallace,,Cal,,9,8,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-12.8,10.3,237,237,
