half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,239,239,
1,19,55,R.J. Price misses a 3-point jump shot.,111815,,true,false,false,R.J.,,Price,,Rad,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,70,70,
1,19,24,Rashun Davis makes a layup shot.,116960,,true,false,false,Rashun,,Davis,,Rad,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,70,70,
1,18,49,Rashun Davis misses a layup shot.,116960,,true,false,false,Rashun,,Davis,,Rad,,0,2,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,70,70,
1,18,43,Angus Brandt misses a jump shot.,88859,,true,false,false,Angus,,Brandt,,OreSt,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,239,239,
1,18,34,Ya Ya Anderson makes a jump shot.,116961,,true,false,false,Ya Ya,,Anderson,,Rad,,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,70,70,
1,18,27,Angus Brandt makes a dunk shot.,88859,,true,false,false,Angus,,Brandt,,OreSt,,2,4,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,239,239,
1,18,19,Javonte Green makes a layup shot.,111814,,true,false,false,Javonte,,Green,,Rad,,2,6,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,70,70,
1,18,13,Jarmal Reid misses a jump shot.,116614,,true,false,false,Jarmal,,Reid,,OreSt,,2,6,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,239,239,
1,17,48,R.J. Price makes a jump shot.,111815,,true,false,false,R.J.,,Price,,Rad,,2,8,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,70,70,
