half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,204,204,
1,19,47,Cameron Payne misses a 3-point jump shot.,121374,,true,false,false,Cameron,,Payne,,Murray,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,230,230,
1,19,25,Jarmar Gulley misses a 3-point jump shot.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,19,16,Jonathan Fairell makes a hook shot.,121375,,true,false,false,Jonathan,,Fairell,,Murray,,0,2,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,230,230,
1,18,37,Dorrian Williams misses a 3-point jump shot.,110144,,true,false,false,Dorrian,,Williams,,MoStU,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,18,24,Austin Ruder misses a 3-point jump shot.,120909,,true,false,false,Austin,,Ruder,,MoStU,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,18,18,Jarmar Gulley misses a jump shot.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,18,10,Jeffery Moss makes a jump shot.,116581,,true,false,false,Jeffery,,Moss,,Murray,,0,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,230,230,
1,17,53,Ron Mvouika misses a layup shot.,120910,,true,false,false,Ron,,Mvouika,,MoStU,,0,4,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,204,204,
1,17,49,Personal foul committed by Jarmar Gulley.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,0,4,0,1,1,,,,,0,,1,Personal,8,Foul,,,,204,204,
1,17,49,Jarvis Williams makes free throw 1 of 2.,121376,,true,false,false,Jarvis,,Williams,,Murray,,0,5,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,230,230,
1,17,49,Jarvis Williams makes free throw 2 of 2.,121376,,true,false,false,Jarvis,,Williams,,Murray,,0,6,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,230,230,
1,17,49,Personal foul committed by Cameron Payne.,121374,,true,false,false,Cameron,,Payne,,Murray,,0,6,1,1,1,,,,,0,,1,Personal,8,Foul,,,,230,230,
1,17,08,Dorrian Williams misses a 3-point jump shot.,110144,,true,false,false,Dorrian,,Williams,,MoStU,,0,6,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,17,01,Jeffery Moss misses a 3-point jump shot.,116581,,true,false,false,Jeffery,,Moss,,Murray,,0,6,1,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,230,230,
1,16,28,Cameron Payne misses a jump shot.,121374,,true,false,false,Cameron,,Payne,,Murray,,0,6,1,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,230,230,
1,16,26,Cameron Payne makes a tip shot.,121374,,true,false,false,Cameron,,Payne,,Murray,,0,8,1,1,1,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,230,230,
1,16,26,Shooting foul committed by Jonathan Fairell.,121375,,true,false,false,Jonathan,,Fairell,,Murray,,0,8,2,1,1,,,,,2,,2,Shooting,8,Foul,,,,230,230,
1,16,26,Jarmar Gulley makes free throw 1 of 2.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,1,8,2,1,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,204,204,
1,16,26,Jarmar Gulley misses free throw 2 of 2.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,1,8,2,1,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,204,204,
1,16,04,Austin Ruder misses a 3-point jump shot.,120909,,true,false,false,Austin,,Ruder,,MoStU,,1,8,2,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,204,204,
1,15,50,Jarvis Williams makes a jump shot.,121376,,true,false,false,Jarvis,,Williams,,Murray,,1,10,2,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,230,230,
1,15,36,Christian Kirk makes a layup shot.,110146,,true,false,false,Christian,,Kirk,,MoStU,,3,10,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,204,204,
1,15,20,Shooting foul committed by Jarmar Gulley.,110142,,true,false,false,Jarmar,,Gulley,,MoStU,,3,10,2,2,2,,,,,1,,2,Shooting,8,Foul,,,,204,204,
1,15,20,Official TV timeout.,,,false,false,false,,,,,,,3,10,2,2,0,,,,,0,,3,Official TV,11,Timeout,,,,204,204,
