half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,19,19,
1,19,45,Anthony Myers-Pate makes a jump shot from 18 feet out.,98422,,true,false,false,Anthony,,Myers-Pate,,RMor,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,-1.1,18.4,221,221,
1,19,23,Reece Chamberlain makes a layup shot. Drew Windler with the assist.,97010,89057,true,true,false,Reece,Drew,Chamberlain,Windler,Belmnt,Belmnt,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,19,19,
1,19,09,Karvel Anderson makes a 3-point jump shot from 24 feet out.,116453,,true,false,false,Karvel,,Anderson,,RMor,,2,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,12.5,20.8,221,221,
1,18,48,Drew Windler with a lost ball turnover: Lost Ball,89057,,true,false,false,Drew,,Windler,,Belmnt,,2,5,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,19,19,
1,18,43,Lucky Jones makes a 3-point jump shot from 24 feet out. Anthony Myers-Pate with the assist.,112415,98422,true,true,false,Lucky,Anthony,Jones,Myers-Pate,RMor,RMor,2,8,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-17.8,15.4,221,221,
1,18,27,Craig Bradshaw makes a 3-point jump shot from 25 feet out. Reece Chamberlain with the assist.,116473,97010,true,true,false,Craig,Reece,Bradshaw,Chamberlain,Belmnt,Belmnt,5,8,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-16.8,17.9,19,19,
1,17,59,Karvel Anderson makes a 3-point jump shot from 25 feet out. Aaron Tate with the assist.,116453,121428,true,true,false,Karvel,Aaron,Anderson,Tate,RMor,RMor,5,11,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,25,14.4,20.5,221,221,
1,17,43,J.J. Mann misses a jump shot from 17 feet out.,97012,,true,false,false,J.J.,,Mann,,Belmnt,,5,11,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,16.6,3.1,19,19,
1,17,43,Blake Jenkins with an offensive rebound.,88254,,true,false,false,Blake,,Jenkins,,Belmnt,,5,11,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,19,19,
