half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,249,249,
1,19,40,Dave Dudzinski misses a layup shot.,96996,,true,false,false,Dave,,Dudzinski,,HolyCr,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,249,249,
1,19,08,Justin Sears makes a jump shot.,116340,,true,false,false,Justin,,Sears,,Yale,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,18,58,Malcolm Miller makes a 3-point jump shot.,109900,,true,false,false,Malcolm,,Miller,,HolyCr,,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,249,249,
1,18,22,Armani Cotton misses a jump shot.,109742,,true,false,false,Armani,,Cotton,,Yale,,3,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,18,08,Dave Dudzinski misses a layup shot.,96996,,true,false,false,Dave,,Dudzinski,,HolyCr,,3,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,249,249,
1,17,55,Justin Sears misses a jump shot.,116340,,true,false,false,Justin,,Sears,,Yale,,3,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,17,51,Personal foul committed by Eric Green.,117334,,true,false,false,Eric,,Green,,HolyCr,,3,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,249,249,
1,17,40,Matt Townsend makes a jump shot.,109749,,true,false,false,Matt,,Townsend,,Yale,,3,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,17,25,Justin Sears makes a layup shot.,116340,,true,false,false,Justin,,Sears,,Yale,,3,6,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,153,153,
1,16,57,Personal foul committed by Armani Cotton.,109742,,true,false,false,Armani,,Cotton,,Yale,,3,6,1,1,1,,,,,0,,1,Personal,8,Foul,,,,153,153,
1,16,49,Malcolm Miller misses a hook shot.,109900,,true,false,false,Malcolm,,Miller,,HolyCr,,3,6,1,1,0,,,,,3,2,55,Hook Shot,4,Field Goal Missed,,,,249,249,
1,16,23,Justin Burrell misses a 3-point jump shot.,109899,,true,false,false,Justin,,Burrell,,HolyCr,,3,6,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,249,249,
1,16,14,Matt Townsend misses a layup shot.,109749,,true,false,false,Matt,,Townsend,,Yale,,3,6,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,153,153,
1,16,09,Anthony Thompson makes a layup shot.,121673,,true,false,false,Anthony,,Thompson,,HolyCr,,5,6,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,249,249,
1,15,27,Eric Green makes a jump shot.,117334,,true,false,false,Eric,,Green,,HolyCr,,7,6,1,1,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,249,249,
1,15,05,Offensive foul committed by Justin Sears.,116340,,true,false,false,Justin,,Sears,,Yale,,7,6,2,1,1,,,,,4,,4,Offensive,8,Foul,,,,153,153,
1,15,05,Official TV timeout.,,,false,false,false,,,,,,,7,6,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,249,249,
1,14,38,Eric Green makes a jump shot.,117334,,true,false,false,Eric,,Green,,HolyCr,,9,6,2,1,1,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,249,249,
1,14,31,Personal foul committed by Anthony Thompson.,121673,,true,false,false,Anthony,,Thompson,,HolyCr,,9,6,2,2,1,,,,,2,,1,Personal,8,Foul,,,,249,249,
1,14,16,Justin Sears makes a jump shot.,116340,,true,false,false,Justin,,Sears,,Yale,,9,8,2,2,1,,,,,6,2,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,14,06,Robert Champion makes a layup shot.,121675,,true,false,false,Robert,,Champion,,HolyCr,,11,8,2,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,249,249,
1,13,44,Personal foul committed by Taylor Abt.,109901,,true,false,false,Taylor,,Abt,,HolyCr,,11,8,2,3,1,,,,,0,,1,Personal,8,Foul,,,,249,249,
1,13,35,Offensive foul committed by Javier Duren.,109746,,true,false,false,Javier,,Duren,,Yale,,11,8,3,3,1,,,,,0,,4,Offensive,8,Foul,,,,153,153,
1,13,22,Malcolm Miller makes a jump shot.,109900,,true,false,false,Malcolm,,Miller,,HolyCr,,13,8,3,3,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,249,249,
1,12,57,Brandon Sherrod misses a layup shot.,109748,,true,false,false,Brandon,,Sherrod,,Yale,,13,8,3,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,153,153,
1,12,34,J.T. Flowers makes a layup shot.,121332,,true,false,false,J.T.,,Flowers,,Yale,,13,10,3,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,153,153,
1,12,12,Malachi Alexander misses a jump shot.,121674,,true,false,false,Malachi,,Alexander,,HolyCr,,13,10,3,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,249,249,
1,12,06,Justin Sears misses a dunk shot.,116340,,true,false,false,Justin,,Sears,,Yale,,13,10,3,3,1,,,,,6,2,48,Dunk Shot,4,Field Goal Missed,,,,153,153,
1,11,46,Nick Victor makes a 3-point jump shot.,116341,,true,false,false,Nick,,Victor,,Yale,,13,13,3,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,11,25,Official TV timeout.,,,false,false,false,,,,,,,13,13,3,3,0,,,,,0,,3,Official TV,11,Timeout,,,,249,249,
1,10,51,Malcolm Miller misses a jump shot.,109900,,true,false,false,Malcolm,,Miller,,HolyCr,,13,13,3,3,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,,,,249,249,
1,10,39,Greg Kelley makes a 3-point jump shot.,97781,,true,false,false,Greg,,Kelley,,Yale,,13,16,3,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,10,25,Personal foul committed by Jack Montague.,116339,,true,false,false,Jack,,Montague,,Yale,,13,16,4,3,1,,,,,0,,1,Personal,8,Foul,,,,153,153,
1,10,25,Dave Dudzinski makes free throw 1 of 2.,96996,,true,false,false,Dave,,Dudzinski,,HolyCr,,14,16,4,3,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,249,249,
1,10,25,Dave Dudzinski misses free throw 2 of 2.,96996,,true,false,false,Dave,,Dudzinski,,HolyCr,,14,16,4,3,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,249,249,
1,10,01,Justin Burrell makes a 3-point jump shot.,109899,,true,false,false,Justin,,Burrell,,HolyCr,,17,16,4,3,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,249,249,
1,9,47,Jack Montague misses a jump shot.,116339,,true,false,false,Jack,,Montague,,Yale,,17,16,4,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,9,29,Matt Townsend makes a jump shot.,109749,,true,false,false,Matt,,Townsend,,Yale,,17,18,4,3,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,9,02,Anthony Thompson makes a 3-point jump shot.,121673,,true,false,false,Anthony,,Thompson,,HolyCr,,20,18,4,3,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,249,249,
1,8,32,Jesse Pritchard misses a 3-point jump shot.,97783,,true,false,false,Jesse,,Pritchard,,Yale,,20,18,4,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,8,02,J.T. Flowers misses a jump shot.,121332,,true,false,false,J.T.,,Flowers,,Yale,,20,18,4,3,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,153,153,
