half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,88,88,
1,19,39,Earnest Ross makes a 3-point jump shot from 25 feet out. Jordan Clarkson with the assist.,88591,97385,true,true,false,Earnest,Jordan,Ross,Clarkson,Missou,Missou,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-15.2,20,88,88,
1,19,19,Matt Bingaya with a traveling turnover: Traveling,121233,,true,false,false,Matt,,Bingaya,,SouMis,,3,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,124,124,
1,18,40,Jabari Brown makes a layup shot. Jordan Clarkson with the assist.,110167,97385,true,true,false,Jabari,Jordan,Brown,Clarkson,Missou,Missou,5,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,88,88,
1,18,19,Aaron Brown makes a jump shot from 11 feet out.,97378,,true,false,false,Aaron,,Brown,,SouMis,,5,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,11.1,2.5,124,124,
1,18,03,Jabari Brown with a lost ball turnover: Lost Ball,110167,,true,false,false,Jabari,,Brown,,Missou,,5,2,0,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,88,88,
1,17,46,Matt Bingaya misses a layup shot.,121233,,true,false,false,Matt,,Bingaya,,SouMis,,5,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,124,124,
1,17,46,Ryan Rosburg with a defensive rebound.,116577,,true,false,false,Ryan,,Rosburg,,Missou,,5,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,88,88,
1,17,05,Jordan Clarkson misses a jump shot from 16 feet out.,97385,,true,false,false,Jordan,,Clarkson,,Missou,,5,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-13.5,8.6,88,88,
1,17,05,Aaron Brown with a defensive rebound.,97378,,true,false,false,Aaron,,Brown,,SouMis,,5,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,124,124,
1,16,55,Jerrold Brooks makes a 3-point jump shot from 24 feet out. Aaron Brown with the assist.,116269,97378,true,true,false,Jerrold,Aaron,Brooks,Brown,SouMis,SouMis,5,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,8.8,22.4,124,124,
1,16,51,Jabari Brown misses a 3-point jump shot from 25 feet out.,110167,,true,false,false,Jabari,,Brown,,Missou,,5,5,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,3,24.4,88,88,
1,16,51,Daveon Boardingham with a defensive rebound.,116268,,true,false,false,Daveon,,Boardingham,,SouMis,,5,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,124,124,
1,16,50,Neil Watson misses a 3-point jump shot from 24 feet out.,88463,,true,false,false,Neil,,Watson,,SouMis,,5,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-.3,23.7,124,124,
1,16,50,Earnest Ross with a defensive rebound.,88591,,true,false,false,Earnest,,Ross,,Missou,,5,5,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,88,88,
1,16,50,Shooting foul committed by Daveon Boardingham.,116268,,true,false,false,Daveon,,Boardingham,,SouMis,,5,5,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,124,124,
1,16,50,Earnest Ross makes free throw 1 of 2.,88591,,true,false,false,Earnest,,Ross,,Missou,,6,5,1,0,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,88,88,
1,16,50,Earnest Ross makes free throw 2 of 2.,88591,,true,false,false,Earnest,,Ross,,Missou,,7,5,1,0,0,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,88,88,
1,16,26,Jerrold Brooks misses a 3-point jump shot from 23 feet out.,116269,,true,false,false,Jerrold,,Brooks,,SouMis,,7,5,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-22.7,3.3,124,124,
1,16,26,Jerrold Brooks with an offensive rebound.,116269,,true,false,false,Jerrold,,Brooks,,SouMis,,7,5,1,0,0,,,,,3,,,,5,Offensive Rebound,,,,124,124,
1,16,23,Jerrold Brooks with a lost ball turnover: Lost Ball,116269,,true,false,false,Jerrold,,Brooks,,SouMis,,7,5,1,0,0,,,,,3,,2,Lost Ball,7,Turnover,,,,124,124,
1,16,08,Danny Feldmann misses a layup shot.,97827,,true,false,false,Danny,,Feldmann,,Missou,,7,5,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,88,88,
1,16,08,Michael Craig with a defensive rebound.,117762,,true,false,false,Michael,,Craig,,SouMis,,7,5,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,124,124,
1,15,58,Michael Craig with a traveling turnover: Traveling,117762,,true,false,false,Michael,,Craig,,SouMis,,7,5,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,124,124,
1,15,45,Earnest Ross misses a 3-point jump shot from 22 feet out.,88591,,true,false,false,Earnest,,Ross,,Missou,,7,5,1,0,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,22,22,3,88,88,
1,15,45,Jerrold Brooks with a defensive rebound.,116269,,true,false,false,Jerrold,,Brooks,,SouMis,,7,5,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,124,124,
1,15,45,Personal foul committed by Danny Feldmann.,97827,,true,false,false,Danny,,Feldmann,,Missou,,7,5,1,1,1,,,,,0,,1,Personal,8,Foul,,,,88,88,
1,15,45,Official TV timeout.,,,false,false,false,,,,,,,7,5,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,88,88,
1,15,45,Jeremiah Eason misses free throw 1 of 2.,122164,,true,false,false,Jeremiah,,Eason,,SouMis,,7,5,1,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,124,124,
1,15,45,SouMis with an offensive rebound.,,,false,false,false,,,,,,,7,5,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,124,124,
1,15,45,Jeremiah Eason misses free throw 2 of 2.,122164,,true,false,false,Jeremiah,,Eason,,SouMis,,7,5,1,1,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,124,124,
1,15,45,Missou with a defensive rebound.,,,false,false,false,,,,,,,7,5,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,88,88,
1,15,20,Jordan Clarkson makes a 3-point jump shot from 23 feet out. Earnest Ross with the assist.,97385,88591,true,true,false,Jordan,Earnest,Clarkson,Ross,Missou,Missou,10,5,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.9,3.1,88,88,
1,14,55,Jeremiah Eason with a lost ball turnover: Lost Ball,122164,,true,false,false,Jeremiah,,Eason,,SouMis,,10,5,1,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,124,124,
1,14,40,Earnest Ross with a lost ball turnover: Lost Ball,88591,,true,false,false,Earnest,,Ross,,Missou,,10,5,1,1,0,,,,,5,,2,Lost Ball,7,Turnover,,,,88,88,
1,14,29,Chip Armelin makes a 3-point jump shot from 24 feet out. Neil Watson with the assist.,100130,88463,true,true,false,Chip,Neil,Armelin,Watson,SouMis,SouMis,10,8,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-5.9,23.4,124,124,
1,14,04,Jabari Brown misses a jump shot from 11 feet out.,110167,,true,false,false,Jabari,,Brown,,Missou,,10,8,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,11,-2.6,10.6,88,88,
1,14,04,Neil Watson with a defensive rebound.,88463,,true,false,false,Neil,,Watson,,SouMis,,10,8,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,124,124,
1,14,04,Personal foul committed by Jabari Brown.,110167,,true,false,false,Jabari,,Brown,,Missou,,10,8,1,2,1,,,,,2,,1,Personal,8,Foul,,,,88,88,
1,13,39,Chip Armelin misses a 3-point jump shot from 23 feet out.,100130,,true,false,false,Chip,,Armelin,,SouMis,,10,8,1,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,17.4,14.7,124,124,
