half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,324,324,
1,19,43,Johnny O'Bryant III misses a jump shot from 8 feet out.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-2,8,259,259,
1,19,43,Nick Russell with a defensive rebound.,88357,,true,false,false,Nick,,Russell,,SMU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,324,324,
1,19,22,Markus Kennedy misses a layup shot.,109504,,true,false,false,Markus,,Kennedy,,SMU,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,324,324,
1,19,22,Jarell Martin with a defensive rebound.,120724,,true,false,false,Jarell,,Martin,,LSU,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,19,06,Jarell Martin makes a 3-point jump shot from 24 feet out. Shavon Coleman with the assist.,120724,116559,true,true,false,Jarell,Shavon,Martin,Coleman,LSU,LSU,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,.4,24.1,259,259,
1,18,49,Sterling Brown misses a jump shot from 15 feet out.,120587,,true,false,false,Sterling,,Brown,,SMU,,0,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-9,12,324,324,
1,18,49,Shavon Coleman with a defensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,0,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,18,28,Johnny O'Bryant III makes a jump shot from 14 feet out. Anthony Hickey with the assist.,109779,109778,true,true,false,Johnny,Anthony,O'Bryant III,Hickey,LSU,LSU,0,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,14,13,5,259,259,
1,18,07,Markus Kennedy makes a layup shot. Nic Moore with the assist.,109504,109830,true,true,false,Markus,Nic,Kennedy,Moore,SMU,SMU,2,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,324,324,
1,17,53,Jordan Mickey with a bad pass turnover: Bad Pass,120727,,true,false,false,Jordan,,Mickey,,LSU,,2,5,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,259,259,
1,17,24,Sterling Brown makes a layup shot.,120587,,true,false,false,Sterling,,Brown,,SMU,,4,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,324,324,
1,17,10,Shooting foul committed by Markus Kennedy.,109504,,true,false,false,Markus,,Kennedy,,SMU,,4,5,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,324,324,
1,17,10,Johnny O'Bryant III makes free throw 1 of 2.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,4,6,0,1,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,259,259,
1,17,10,Johnny O'Bryant III misses free throw 2 of 2.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,4,6,0,1,0,,,,,3,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,259,259,
1,17,10,Markus Kennedy with a defensive rebound.,109504,,true,false,false,Markus,,Kennedy,,SMU,,4,6,0,1,1,,,,,2,,,,6,Defensive Rebound,,,,324,324,
1,16,52,Markus Kennedy makes a layup shot. Nic Moore with the assist.,109504,109830,true,true,false,Markus,Nic,Kennedy,Moore,SMU,SMU,6,6,0,1,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,324,324,
1,16,25,Anthony Hickey misses a 3-point jump shot from 24 feet out.,109778,,true,false,false,Anthony,,Hickey,,LSU,,6,6,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,13.7,19.5,259,259,
1,16,25,Shavon Coleman with an offensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,6,6,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,259,259,
1,16,19,Shavon Coleman makes a layup shot.,116559,,true,false,false,Shavon,,Coleman,,LSU,,6,8,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,259,259,
1,16,02,Markus Kennedy misses a jump shot from 8 feet out.,109504,,true,false,false,Markus,,Kennedy,,SMU,,6,8,0,1,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,8,3.5,7.6,324,324,
1,16,02,Shavon Coleman with a defensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,6,8,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,259,259,
1,15,39,Johnny O'Bryant III with a lost ball turnover: Lost Ball,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,6,8,0,1,0,,,,,3,,2,Lost Ball,7,Turnover,,,,259,259,
1,15,33,Nick Russell with a lost ball turnover: Lost Ball,88357,,true,false,false,Nick,,Russell,,SMU,,6,8,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,324,324,
1,15,31,Offensive foul committed by Johnny O'Bryant III.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,6,8,1,1,1,,,,,3,,4,Offensive,8,Foul,,,,259,259,
1,15,31,Johnny O'Bryant III with a  turnover:,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,6,8,1,1,1,,,,,3,,,,7,Turnover,,,,259,259,
1,15,31,Official TV timeout.,,,false,false,false,,,,,,,6,8,1,1,0,,,,,0,,3,Official TV,11,Timeout,,,,324,324,
1,15,10,Nic Moore misses a 3-point jump shot from 24 feet out.,109830,,true,false,false,Nic,,Moore,,SMU,,6,8,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,23.6,3.5,324,324,
1,15,10,Markus Kennedy with an offensive rebound.,109504,,true,false,false,Markus,,Kennedy,,SMU,,6,8,1,1,1,,,,,4,,,,5,Offensive Rebound,,,,324,324,
1,15,04,Markus Kennedy misses a layup shot.,109504,,true,false,false,Markus,,Kennedy,,SMU,,6,8,1,1,1,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,324,324,
1,15,04,Jarell Martin with a defensive rebound.,120724,,true,false,false,Jarell,,Martin,,LSU,,6,8,1,1,0,,,,,3,,,,6,Defensive Rebound,,,,259,259,
1,14,52,Jarell Martin with a lost ball turnover: Lost Ball,120724,,true,false,false,Jarell,,Martin,,LSU,,6,8,1,1,0,,,,,3,,2,Lost Ball,7,Turnover,,,,259,259,
1,14,29,Sterling Brown misses a 3-point jump shot from 23 feet out.,120587,,true,false,false,Sterling,,Brown,,SMU,,6,8,1,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,23,3,324,324,
1,14,29,Jordan Mickey with a defensive rebound.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,8,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,14,15,Jordan Mickey misses a layup shot.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,8,1,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,259,259,
1,14,15,Markus Kennedy with a defensive rebound.,109504,,true,false,false,Markus,,Kennedy,,SMU,,6,8,1,1,1,,,,,4,,,,6,Defensive Rebound,,,,324,324,
1,14,05,Markus Kennedy misses a layup shot.,109504,,true,false,false,Markus,,Kennedy,,SMU,,6,8,1,1,1,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,324,324,
1,14,05,Shawn Williams with an offensive rebound.,88913,,true,false,false,Shawn,,Williams,,SMU,,6,8,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,324,324,
1,13,51,Nick Russell makes a jump shot from 17 feet out.,88357,,true,false,false,Nick,,Russell,,SMU,,8,8,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,15.2,8.4,324,324,
1,13,29,Jarell Martin misses a jump shot from 18 feet out.,120724,,true,false,false,Jarell,,Martin,,LSU,,8,8,1,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,18,-17.3,3.5,259,259,
1,13,29,Nick Russell with a defensive rebound.,88357,,true,false,false,Nick,,Russell,,SMU,,8,8,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,324,324,
1,13,13,Cannen Cunningham makes a dunk shot. Keith Frazier with the assist.,110193,120588,true,true,false,Cannen,Keith,Cunningham,Frazier,SMU,SMU,10,8,1,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,324,324,
1,12,47,Andre Stringer makes a 3-point jump shot from 26 feet out.,97045,,true,false,false,Andre,,Stringer,,LSU,,10,11,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,16.2,20.8,259,259,
1,12,25,Cannen Cunningham misses a layup shot.,110193,,true,false,false,Cannen,,Cunningham,,SMU,,10,11,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,324,324,
1,12,25,Shavon Coleman with a defensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,10,11,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,259,259,
