half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,24,Jordan Roper makes a 3-point jump shot from 22 feet out. K.J. McDaniels with the assist.,116773,110089,true,true,false,Jordan,K.J.,Roper,McDaniels,Clem,Clem,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-16.2,15.6,10,10,
1,19,00,Craig Bradshaw with a lost ball turnover: Lost Ball,116473,,true,false,false,Craig,,Bradshaw,,Belmnt,,3,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,19,19,
1,18,54,K.J. McDaniels makes a dunk shot.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,5,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,10,10,
1,18,31,J.J. Mann misses a 3-point jump shot from 23 feet out.,97012,,true,false,false,J.J.,,Mann,,Belmnt,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-.9,23,19,19,
1,18,31,Landry Nnoko with a defensive rebound.,116772,,true,false,false,Landry,,Nnoko,,Clem,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,18,21,Damarcus Harrison misses a 3-point jump shot from 23 feet out.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,19.1,12.2,10,10,
1,18,21,Craig Bradshaw with a defensive rebound.,116473,,true,false,false,Craig,,Bradshaw,,Belmnt,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,19,19,
1,18,13,Reece Chamberlain misses a 3-point jump shot from 24 feet out.,97010,,true,false,false,Reece,,Chamberlain,,Belmnt,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-9.9,21.3,19,19,
1,18,13,Damarcus Harrison with a defensive rebound.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,18,04,Damarcus Harrison misses a layup shot.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,5,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,18,04,Belmnt with a defensive rebound.,,,false,false,false,,,,,,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,19,19,
1,17,44,Blake Jenkins misses a layup shot.,88254,,true,false,false,Blake,,Jenkins,,Belmnt,,5,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,19,19,
1,17,44,Blake Jenkins with an offensive rebound.,88254,,true,false,false,Blake,,Jenkins,,Belmnt,,5,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,19,19,
1,17,37,Blake Jenkins makes a layup shot.,88254,,true,false,false,Blake,,Jenkins,,Belmnt,,5,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,19,19,
1,17,17,Damarcus Harrison misses a jump shot from 11 feet out.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,5,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-8.9,6.2,10,10,
1,17,17,Blake Jenkins with a defensive rebound.,88254,,true,false,false,Blake,,Jenkins,,Belmnt,,5,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,19,19,
1,17,10,Personal foul committed by K.J. McDaniels.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,5,2,0,1,1,,,,,2,,1,Personal,8,Foul,,,,10,10,
1,16,56,J.J. Mann makes a layup shot. Blake Jenkins with the assist.,97012,88254,true,true,false,J.J.,Blake,Mann,Jenkins,Belmnt,Belmnt,5,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,19,19,
