half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,230,230,
1,19,45,Mike Burwell makes a jump shot.,88288,,true,false,false,Mike,,Burwell,,Towson,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,112,112,
1,18,57,Jerrelle Benimon misses a jump shot.,88855,,true,false,false,Jerrelle,,Benimon,,Towson,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,112,112,
1,18,46,Jarvis Williams misses a layup shot.,121376,,true,false,false,Jarvis,,Williams,,Murray,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,230,230,
1,18,36,Rafriel Guthrie misses a jump shot.,116244,,true,false,false,Rafriel,,Guthrie,,Towson,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,112,112,
1,18,27,Dexter Fields makes a 3-point jump shot.,88730,,true,false,false,Dexter,,Fields,,Murray,,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,230,230,
1,18,10,Mike Burwell misses a jump shot.,88288,,true,false,false,Mike,,Burwell,,Towson,,3,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,112,112,
1,18,04,Mike Burwell misses a 3-point jump shot.,88288,,true,false,false,Mike,,Burwell,,Towson,,3,2,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,112,112,
1,17,50,Dexter Fields misses a 3-point jump shot.,88730,,true,false,false,Dexter,,Fields,,Murray,,3,2,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,,,,230,230,
1,17,36,Shooting foul committed by Cameron Payne.,121374,,true,false,false,Cameron,,Payne,,Murray,,3,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,230,230,
