half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,77,77,
1,19,37,Aaron Thomas with a lost ball out of bounds turnover: Lost Ball Out of Bounds,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,0,0,0,0,0,,,,,0,,23,Lost Ball Out of Bounds,7,Turnover,,,,12,12,
1,19,15,Deandre Mathieu makes a layup shot.,110718,,true,false,false,Deandre,,Mathieu,,Minn,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,77,77,
1,18,51,Michael Ojo makes a jump shot from 6 feet out. Aaron Thomas with the assist.,116530,116531,true,true,false,Michael,Aaron,Ojo,Thomas,FlaSt,FlaSt,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,3,5,12,12,
1,18,22,Deandre Mathieu makes a 3-point jump shot from 23 feet out. Andre Hollins with the assist.,110718,110585,true,true,false,Deandre,Andre,Mathieu,Hollins,Minn,Minn,5,2,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,21.9,6.2,77,77,
1,17,33,Austin Hollins makes a 3-point jump shot from 24 feet out. Deandre Mathieu with the assist.,97669,110718,true,true,false,Austin,Deandre,Hollins,Mathieu,Minn,Minn,8,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,15.1,18.1,77,77,
1,17,33,Aaron Thomas misses a 3-point jump shot from 23 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,8,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-13,20,12,12,
1,17,33,Michael Ojo with an offensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,8,2,0,0,0,,,,,2,,,,5,Offensive Rebound,,,,12,12,
1,17,33,Okaro White misses a 3-point jump shot from 24 feet out.,97445,,true,false,false,Okaro,,White,,FlaSt,,8,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-11,22,12,12,
1,17,33,Andre Hollins with a defensive rebound.,110585,,true,false,false,Andre,,Hollins,,Minn,,8,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,77,77,
1,17,14,Aaron Thomas makes a jump shot from 6 feet out. Michael Ojo with the assist.,116531,116530,true,true,false,Aaron,Michael,Thomas,Ojo,FlaSt,FlaSt,8,4,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,6,-1,6,12,12,
1,17,03,Joey King makes a 3-point jump shot from 23 feet out. Andre Hollins with the assist.,116396,110585,true,true,false,Joey,Andre,King,Hollins,Minn,Minn,11,4,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-22.7,5.7,77,77,
1,17,01,FlaSt take a full timeout.,,,false,false,false,,,,,,,11,4,0,0,0,,,,,0,,1,Regular,11,Timeout,,,,12,12,
1,16,48,Okaro White with a lost ball turnover: Lost Ball,97445,,true,false,false,Okaro,,White,,FlaSt,,11,4,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,12,12,
1,16,35,Shooting foul committed by Boris Bojanovsky.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,11,4,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,16,35,Maurice Walker misses free throw 1 of 2.,97671,,true,false,false,Maurice,,Walker,,Minn,,11,4,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,77,77,
1,16,35,Minn with an offensive rebound.,,,false,false,false,,,,,,,11,4,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,77,77,
1,16,35,Maurice Walker makes free throw 2 of 2.,97671,,true,false,false,Maurice,,Walker,,Minn,,12,4,1,0,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,77,77,
1,16,15,Personal foul committed by Andre Hollins.,110585,,true,false,false,Andre,,Hollins,,Minn,,12,4,1,1,1,,,,,0,,1,Personal,8,Foul,,,,77,77,
1,16,03,Aaron Thomas misses a jump shot from 13 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,12,4,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,-6.4,11.6,12,12,
1,16,03,Aaron Thomas with an offensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,12,4,1,1,0,,,,,2,,,,5,Offensive Rebound,,,,12,12,
1,16,03,Okaro White with a stepped out of bounds turnover: Stepped Out of Bounds,97445,,true,false,false,Okaro,,White,,FlaSt,,12,4,1,1,0,,,,,0,,26,Stepped Out of Bounds,7,Turnover,,,,12,12,
1,15,56,Andre Hollins makes a 3-point jump shot from 23 feet out. Maurice Walker with the assist.,110585,97671,true,true,false,Andre,Maurice,Hollins,Walker,Minn,Minn,15,4,1,1,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,22,7,77,77,
1,15,29,Boris Bojanovsky makes a hook shot from 9 feet out.,116525,,true,false,false,Boris,,Bojanovsky,,FlaSt,,15,6,1,1,1,,,,,2,2,55,Hook Shot,3,Field Goal Made,9,-.1,9.1,12,12,
