half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,274,274,
1,19,32,D.J. Covington makes a jump shot.,97738,,true,false,false,D.J.,,Covington,,VMI,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,274,274,
1,18,54,Javier Duren misses a layup shot.,109746,,true,false,false,Javier,,Duren,,Yale,,2,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,153,153,
1,18,40,Brian Brown makes a layup shot.,109534,,true,false,false,Brian,,Brown,,VMI,,4,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,274,274,
1,18,29,Offensive foul committed by Armani Cotton.,109742,,true,false,false,Armani,,Cotton,,Yale,,4,0,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,153,153,
1,18,20,D.J. Covington makes a layup shot.,97738,,true,false,false,D.J.,,Covington,,VMI,,6,0,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,274,274,
1,17,43,Matt Townsend misses a jump shot.,109749,,true,false,false,Matt,,Townsend,,Yale,,6,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,17,31,Brian Brown misses a 3-point jump shot.,109534,,true,false,false,Brian,,Brown,,VMI,,6,0,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,274,274,
1,17,21,Armani Cotton makes a layup shot.,109742,,true,false,false,Armani,,Cotton,,Yale,,6,2,1,0,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,153,153,
1,16,58,QJ Peterson makes a jump shot.,121110,,true,false,false,QJ,,Peterson,,VMI,,8,2,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,274,274,
1,16,39,Personal foul committed by QJ Peterson.,121110,,true,false,false,QJ,,Peterson,,VMI,,8,2,1,1,1,,,,,2,,1,Personal,8,Foul,,,,274,274,
