half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,41,41,
1,19,31,Ralston Turner misses a 3-point jump shot from 22 feet out.,97046,,true,false,false,Ralston,,Turner,,NCSU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-14.7,16.6,16,16,
1,19,31,Justin Martin with a defensive rebound.,97123,,true,false,false,Justin,,Martin,,Xavier,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,41,41,
1,19,07,Matt Stainbrook makes a jump shot from 8 feet out.,97767,,true,false,false,Matt,,Stainbrook,,Xavier,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,3.8,7.4,41,41,
1,18,51,Kyle Washington makes a jump shot from 15 feet out. Jordan Vandenberg with the assist.,120608,88227,true,true,false,Kyle,Jordan,Washington,Vandenberg,NCSU,NCSU,2,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,-8.2,12.7,16,16,
1,18,40,Justin Martin misses a jump shot from 15 feet out.,97123,,true,false,false,Justin,,Martin,,Xavier,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,13,7,41,41,
1,18,40,Kyle Washington with a defensive rebound.,120608,,true,false,false,Kyle,,Washington,,NCSU,,2,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,16,16,
1,18,19,Offensive foul committed by T.J. Warren.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,16,16,
1,18,19,T.J. Warren with a  turnover:,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,1,0,1,,,,,0,,,,7,Turnover,,,,16,16,
1,17,54,Dee Davis misses a 3-point jump shot from 23 feet out.,109446,,true,false,false,Dee,,Davis,,Xavier,,2,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-19.8,12.5,41,41,
1,17,54,T.J. Warren with a defensive rebound.,116007,,true,false,false,T.J.,,Warren,,NCSU,,2,2,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,16,16,
1,17,44,Kyle Washington makes a jump shot from 8 feet out. Ralston Turner with the assist.,120608,97046,true,true,false,Kyle,Ralston,Washington,Turner,NCSU,NCSU,2,4,1,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,8,2,8,16,16,
1,17,26,Matt Stainbrook makes a layup shot.,97767,,true,false,false,Matt,,Stainbrook,,Xavier,,4,4,1,0,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,41,41,
1,17,10,Tyler Lewis makes a 3-point jump shot from 24 feet out. Jordan Vandenberg with the assist.,116006,88227,true,true,false,Tyler,Jordan,Lewis,Vandenberg,NCSU,NCSU,4,7,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,15.6,17.8,16,16,
