half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,90,90,
1,19,42,Cameron Clark makes a jump shot from 15 feet out.,97596,,true,false,false,Cameron,,Clark,,Okla,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,14.7,2.8,90,90,
1,19,42,Shooting foul committed by Taylor Braun.,89340,,true,false,false,Taylor,,Braun,,NDakSt,,2,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,679,679,
1,19,42,Cameron Clark makes free throw 1 of 1.,97596,,true,false,false,Cameron,,Clark,,Okla,,3,0,1,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,90,90,
1,19,15,TrayVonn Wright makes a 3-point jump shot from 23 feet out. Lawrence Alexander with the assist.,98582,110154,true,true,false,TrayVonn,Lawrence,Wright,Alexander,NDakSt,NDakSt,3,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,17.4,15.2,679,679,
1,18,50,Cameron Clark misses a jump shot from 18 feet out.,97596,,true,false,false,Cameron,,Clark,,Okla,,3,3,1,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,18,-17.8,2.1,90,90,
1,18,50,Buddy Hield with an offensive rebound.,116598,,true,false,false,Buddy,,Hield,,Okla,,3,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,90,90,
1,18,44,Buddy Hield makes a layup shot.,116598,,true,false,false,Buddy,,Hield,,Okla,,5,3,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,90,90,
1,18,36,TrayVonn Wright makes a dunk shot. Kory Brown with the assist.,98582,116930,true,true,false,TrayVonn,Kory,Wright,Brown,NDakSt,NDakSt,5,5,1,0,0,,,,,5,2,48,Dunk Shot,3,Field Goal Made,0,0,0,679,679,
1,18,27,Ryan Spangler with a lost ball turnover: Lost Ball,110271,,true,false,false,Ryan,,Spangler,,Okla,,5,5,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,90,90,
1,18,02,Lawrence Alexander makes a 3-point jump shot from 23 feet out. Marshall Bjorklund with the assist.,110154,98583,true,true,false,Lawrence,Marshall,Alexander,Bjorklund,NDakSt,NDakSt,5,8,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-18.5,13.3,679,679,
1,17,51,Buddy Hield misses a 3-point jump shot from 23 feet out.,116598,,true,false,false,Buddy,,Hield,,Okla,,5,8,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-20.8,8.9,90,90,
1,17,51,Lawrence Alexander with a defensive rebound.,110154,,true,false,false,Lawrence,,Alexander,,NDakSt,,5,8,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,679,679,
1,17,38,Kory Brown makes a layup shot.,116930,,true,false,false,Kory,,Brown,,NDakSt,,5,10,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,679,679,
1,17,25,Buddy Hield misses a 3-point jump shot from 23 feet out.,116598,,true,false,false,Buddy,,Hield,,Okla,,5,10,1,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,16.4,16.2,90,90,
1,17,25,Lawrence Alexander with a defensive rebound.,110154,,true,false,false,Lawrence,,Alexander,,NDakSt,,5,10,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,679,679,
1,17,16,Lawrence Alexander misses a 3-point jump shot from 23 feet out.,110154,,true,false,false,Lawrence,,Alexander,,NDakSt,,5,10,1,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-15.4,17.3,679,679,
1,17,16,Ryan Spangler with a defensive rebound.,110271,,true,false,false,Ryan,,Spangler,,Okla,,5,10,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,90,90,
1,16,53,Jordan Woodard makes a 3-point jump shot from 23 feet out. Ryan Spangler with the assist.,120776,110271,true,true,false,Jordan,Ryan,Woodard,Spangler,Okla,Okla,8,10,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,2.8,23.2,90,90,
1,16,29,TrayVonn Wright misses a 3-point jump shot from 22 feet out.,98582,,true,false,false,TrayVonn,,Wright,,NDakSt,,8,10,1,0,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,22,22,2.3,679,679,
1,16,29,Cameron Clark with a defensive rebound.,97596,,true,false,false,Cameron,,Clark,,Okla,,8,10,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,90,90,
1,16,20,Jordan Woodard makes a 3-point jump shot from 22 feet out. Isaiah Cousins with the assist.,120776,116597,true,true,false,Jordan,Isaiah,Woodard,Cousins,Okla,Okla,11,10,1,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,22,22,3.8,90,90,
1,15,51,Kory Brown misses a layup shot.,116930,,true,false,false,Kory,,Brown,,NDakSt,,11,10,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,679,679,
1,15,51,Ryan Spangler with a defensive rebound.,110271,,true,false,false,Ryan,,Spangler,,Okla,,11,10,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,90,90,
1,15,47,Official TV timeout.,,,false,false,false,,,,,,,11,10,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,90,90,
1,15,31,Jordan Woodard misses a jump shot from 18 feet out.,120776,,true,false,false,Jordan,,Woodard,,Okla,,11,10,1,0,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,18,-17.4,3.8,90,90,
1,15,31,Kory Brown with a defensive rebound.,116930,,true,false,false,Kory,,Brown,,NDakSt,,11,10,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,679,679,
1,15,06,Kory Brown makes a dunk shot. TrayVonn Wright with the assist.,116930,98582,true,true,false,Kory,TrayVonn,Brown,Wright,NDakSt,NDakSt,11,12,1,0,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,679,679,
