half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,82,82,
1,19,43,Frank Kaminsky makes a jump shot from 8 feet out.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-3.8,7.6,82,82,
1,19,23,John Schoof with a traveling turnover: Traveling,109741,,true,false,false,John,,Schoof,,Amer,,2,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,245,245,
1,18,55,Josh Gasser with a lost ball turnover: Lost Ball,97377,,true,false,false,Josh,,Gasser,,Wisc,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,82,82,
1,18,31,Tony Wroblicky misses a jump shot from 11 feet out.,98088,,true,false,false,Tony,,Wroblicky,,Amer,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-2.8,11,245,245,
1,18,31,Ben Brust with a defensive rebound.,97375,,true,false,false,Ben,,Brust,,Wisc,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,82,82,
1,18,13,Frank Kaminsky makes a jump shot from 9 feet out. Josh Gasser with the assist.,110238,97377,true,true,false,Frank,Josh,Kaminsky,Gasser,Wisc,Wisc,4,0,0,0,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,9,4.8,8.1,82,82,
1,17,56,John Schoof makes a jump shot from 16 feet out.,109741,,true,false,false,John,,Schoof,,Amer,,4,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,6.5,15,245,245,
1,17,34,Frank Kaminsky makes a jump shot from 8 feet out.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,6,2,0,0,0,,,,,6,2,45,Jump Shot,3,Field Goal Made,8,6,5.5,82,82,
1,17,22,Tony Wroblicky with a lost ball turnover: Lost Ball,98088,,true,false,false,Tony,,Wroblicky,,Amer,,6,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,245,245,
1,17,16,Sam Dekker misses a jump shot from 3 feet out.,116210,,true,false,false,Sam,,Dekker,,Wisc,,6,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,3,2.1,2.5,82,82,
1,17,16,Traevon Jackson with an offensive rebound.,110236,,true,false,false,Traevon,,Jackson,,Wisc,,6,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,82,82,
1,17,16,Personal foul committed by Tony Wroblicky.,98088,,true,false,false,Tony,,Wroblicky,,Amer,,6,2,1,0,1,,,,,0,,1,Personal,8,Foul,,,,245,245,
1,17,16,Traevon Jackson makes free throw 1 of 2.,110236,,true,false,false,Traevon,,Jackson,,Wisc,,7,2,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,82,82,
1,17,16,Traevon Jackson makes free throw 2 of 2.,110236,,true,false,false,Traevon,,Jackson,,Wisc,,8,2,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,82,82,
1,17,01,Tony Wroblicky with a lost ball turnover: Lost Ball,98088,,true,false,false,Tony,,Wroblicky,,Amer,,8,2,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,245,245,
1,16,51,Ben Brust misses a 3-point jump shot from 26 feet out.,97375,,true,false,false,Ben,,Brust,,Wisc,,8,2,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,18.3,18.3,82,82,
1,16,51,Tony Wroblicky with a defensive rebound.,98088,,true,false,false,Tony,,Wroblicky,,Amer,,8,2,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,245,245,
1,16,43,John Schoof makes a 3-point jump shot from 28 feet out. Darius Gardner with the assist.,109741,98548,true,true,false,John,Darius,Schoof,Gardner,Amer,Amer,8,5,1,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,28,-16.6,22.2,245,245,
1,16,17,Sam Dekker makes a jump shot from 4 feet out. Ben Brust with the assist.,116210,97375,true,true,false,Sam,Ben,Dekker,Brust,Wisc,Wisc,10,5,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,-1.8,3.3,82,82,
1,15,59,John Schoof makes a 3-point jump shot from 24 feet out. Tony Wroblicky with the assist.,109741,98088,true,true,false,John,Tony,Schoof,Wroblicky,Amer,Amer,10,8,1,0,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,24,-15.1,18.1,245,245,
1,15,41,Sam Dekker misses a jump shot from 11 feet out.,116210,,true,false,false,Sam,,Dekker,,Wisc,,10,8,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,11,-.9,10.8,82,82,
1,15,41,Kyle Kager with a defensive rebound.,109728,,true,false,false,Kyle,,Kager,,Amer,,10,8,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,245,245,
1,15,22,Darius Gardner makes a jump shot from 8 feet out.,98548,,true,false,false,Darius,,Gardner,,Amer,,10,10,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,2.5,7.2,245,245,
