half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,17,17,
1,19,32,Mike Tobey makes a jump shot from 11 feet out. Akil Mitchell with the assist.,116698,97111,true,true,false,Mike,Akil,Tobey,Mitchell,UVa,UVa,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,1.6,11.3,17,17,
1,19,02,Badou Diagne misses a jump shot from 15 feet out.,117177,,true,false,false,Badou,,Diagne,,CoastC,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,10.3,11,65,65,
1,19,02,Akil Mitchell with a defensive rebound.,97111,,true,false,false,Akil,,Mitchell,,UVa,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,17,17,
1,18,45,Malcolm Brogdon misses a 3-point jump shot from 23 feet out.,109418,,true,false,false,Malcolm,,Brogdon,,UVa,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-20.2,12,17,17,
1,18,45,Badou Diagne with a defensive rebound.,117177,,true,false,false,Badou,,Diagne,,CoastC,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,65,65,
1,18,31,Badou Diagne makes a 3-point jump shot from 23 feet out. Warren Gillis with the assist.,117177,110896,true,true,false,Badou,Warren,Diagne,Gillis,CoastC,CoastC,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,19.5,11.5,65,65,
1,18,04,Joe Harris misses a layup shot.,97108,,true,false,false,Joe,,Harris,,UVa,,2,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,17,17,
1,18,04,Elijah Wilson with a defensive rebound.,121036,,true,false,false,Elijah,,Wilson,,CoastC,,2,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,65,65,
1,17,56,Elijah Wilson misses a layup shot.,121036,,true,false,false,Elijah,,Wilson,,CoastC,,2,3,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,65,65,
