half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,75,75,
1,19,37,Isaiah Taylor misses a jump shot from 9 feet out.,122133,,true,false,false,Isaiah,,Taylor,,Tex,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-.5,8.7,92,92,
1,19,37,Jonathan Holmes with an offensive rebound.,110935,,true,false,false,Jonathan,,Holmes,,Tex,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,92,92,
1,19,33,Jonathan Holmes misses a tip shot from 3 feet out.,110935,,true,false,false,Jonathan,,Holmes,,Tex,,0,0,0,0,0,,,,,0,2,53,Tip Shot,4,Field Goal Missed,3,2.1,2.5,92,92,
1,19,33,Jordan Morgan with a defensive rebound.,88692,,true,false,false,Jordan,,Morgan,,Mich,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,75,75,
1,19,21,Nik Stauskas makes a 3-point jump shot from 23 feet out.,116744,,true,false,false,Nik,,Stauskas,,Mich,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,4,22.7,75,75,
1,18,52,Isaiah Taylor makes a layup shot. Javan Felix with the assist.,122133,116643,true,true,false,Isaiah,Javan,Taylor,Felix,Tex,Tex,3,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,92,92,
1,18,25,Caris LeVert misses a jump shot from 6 feet out.,116745,,true,false,false,Caris,,LeVert,,Mich,,3,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,-1.8,6.2,75,75,
1,18,25,Jonathan Holmes with a defensive rebound.,110935,,true,false,false,Jonathan,,Holmes,,Tex,,3,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,92,92,
1,18,17,Demarcus Holland with a lost ball turnover: Lost Ball,116644,,true,false,false,Demarcus,,Holland,,Tex,,3,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,92,92,
1,18,10,Nik Stauskas misses a 3-point jump shot from 23 feet out.,116744,,true,false,false,Nik,,Stauskas,,Mich,,3,2,0,0,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,22.9,1.4,75,75,
