half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,86,86,
1,19,40,Dwight Powell with a lost ball turnover: Lost Ball,97471,,true,false,false,Dwight,,Powell,,Stan,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,240,240,
1,19,33,"Wayne Selden, Jr. misses a 3-point jump shot from 24 feet out.",121909,,true,false,false,Wayne,,"Selden, Jr.",,Kansas,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,22.9,5.7,86,86,
1,19,33,Josh Huestis with a defensive rebound.,97469,,true,false,false,Josh,,Huestis,,Stan,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,240,240,
1,19,25,Personal foul committed by Naadir Tharpe.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,86,86,
1,19,13,Josh Huestis misses a jump shot from 7 feet out.,97469,,true,false,false,Josh,,Huestis,,Stan,,0,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-.8,7.4,240,240,
1,19,13,Stan with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,240,240,
1,19,09,Chasson Randle misses a jump shot from 14 feet out.,109889,,true,false,false,Chasson,,Randle,,Stan,,0,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,13.4,2.1,240,240,
1,19,09,Naadir Tharpe with a defensive rebound.,110107,,true,false,false,Naadir,,Tharpe,,Kansas,,0,0,0,1,1,,,,,0,,,,6,Defensive Rebound,,,,86,86,
1,18,55,Personal foul committed by Anthony Brown.,97467,,true,false,false,Anthony,,Brown,,Stan,,0,0,1,1,1,,,,,0,,1,Personal,8,Foul,,,,240,240,
1,18,48,Offensive foul committed by Andrew Wiggins.,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,0,0,1,2,1,,,,,0,,4,Offensive,8,Foul,,,,86,86,
1,18,48,Andrew Wiggins with a  turnover:,121907,,true,false,false,Andrew,,Wiggins,,Kansas,,0,0,1,2,1,,,,,0,,,,7,Turnover,,,,86,86,
