half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,120,120,
1,19,27,James Young misses a 3-point jump shot from 23 feet out.,121084,,true,false,false,James,,Young,,Kty,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,14.4,17.9,258,258,
1,19,27,Montrezl Harrell with a defensive rebound.,116728,,true,false,false,Montrezl,,Harrell,,Lou,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,120,120,
1,19,12,Luke Hancock with a lost ball turnover: Lost Ball,89140,,true,false,false,Luke,,Hancock,,Lou,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,120,120,
1,19,07,James Young makes a layup shot. Andrew Harrison with the assist.,121084,121086,true,true,false,James,Andrew,Young,Harrison,Kty,Kty,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,258,258,
1,18,57,Luke Hancock makes a layup shot.,89140,,true,false,false,Luke,,Hancock,,Lou,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,120,120,
1,18,34,Dakari Johnson misses a hook shot from 6 feet out.,121091,,true,false,false,Dakari,,Johnson,,Kty,,2,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,6,2.6,5.3,258,258,
1,18,34,Julius Randle with an offensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,2,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,18,34,Personal foul committed by Luke Hancock.,89140,,true,false,false,Luke,,Hancock,,Lou,,2,2,0,1,1,,,,,2,,1,Personal,8,Foul,,,,120,120,
1,18,14,Aaron Harrison misses a 3-point jump shot from 23 feet out.,121085,,true,false,false,Aaron,,Harrison,,Kty,,2,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,11.3,20.5,258,258,
1,18,14,Andrew Harrison with an offensive rebound.,121086,,true,false,false,Andrew,,Harrison,,Kty,,2,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,258,258,
1,18,05,Andrew Harrison misses a 3-point jump shot from 23 feet out.,121086,,true,false,false,Andrew,,Harrison,,Kty,,2,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-21.3,7.7,258,258,
1,18,05,Stephan Van Treese with a defensive rebound.,88666,,true,false,false,Stephan,,Van Treese,,Lou,,2,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,120,120,
1,17,57,Russ Smith makes a layup shot.,97587,,true,false,false,Russ,,Smith,,Lou,,4,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,120,120,
1,17,31,James Young makes a jump shot from 15 feet out.,121084,,true,false,false,James,,Young,,Kty,,4,4,0,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,15,-15,4,258,258,
1,17,05,Montrezl Harrell misses a hook shot from 5 feet out.,116728,,true,false,false,Montrezl,,Harrell,,Lou,,4,4,0,1,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,5,-.6,5.2,120,120,
1,17,05,Julius Randle with a defensive rebound.,121089,,true,false,false,Julius,,Randle,,Kty,,4,4,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,258,258,
