half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,10,10,
1,19,26,K.J. McDaniels makes a 3-point jump shot from 24 feet out. Landry Nnoko with the assist.,110089,116772,true,true,false,K.J.,Landry,McDaniels,Nnoko,Clem,Clem,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-1.4,24.4,10,10,
1,19,02,Ryan Harrow makes a layup shot.,97507,,true,false,false,Ryan,,Harrow,,GaSt,,3,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,22,22,
1,18,26,Damarcus Harrison misses a jump shot from 10 feet out.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,3,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,-9.8,2.1,10,10,
1,18,26,Curtis Washington with a defensive rebound.,97106,,true,false,false,Curtis,,Washington,,GaSt,,3,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,18,25,Personal foul committed by Landry Nnoko.,116772,,true,false,false,Landry,,Nnoko,,Clem,,3,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,10,10,
1,18,03,Manny Atkins misses a 3-point jump shot from 23 feet out.,88634,,true,false,false,Manny,,Atkins,,GaSt,,3,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,12.3,19.8,22,22,
1,18,03,Damarcus Harrison with a defensive rebound.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,3,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,17,54,Damarcus Harrison misses a 3-point jump shot from 23 feet out.,110531,,true,false,false,Damarcus,,Harrison,,Clem,,3,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,22.4,2.6,10,10,
1,17,54,Manny Atkins with a defensive rebound.,88634,,true,false,false,Manny,,Atkins,,GaSt,,3,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,17,28,Shooting foul committed by Jaron Blossomgame.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,3,2,0,2,1,,,,,0,,2,Shooting,8,Foul,,,,10,10,
1,17,28,R.J. Hunter misses free throw 1 of 2.,116231,,true,false,false,R.J.,,Hunter,,GaSt,,3,2,0,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,22,22,
1,17,28,GaSt with an offensive rebound.,,,false,false,false,,,,,,,3,2,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,22,22,
1,17,28,R.J. Hunter makes free throw 2 of 2.,116231,,true,false,false,R.J.,,Hunter,,GaSt,,3,3,0,2,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,22,22,
1,17,08,K.J. McDaniels makes a layup shot. Landry Nnoko with the assist.,110089,116772,true,true,false,K.J.,Landry,McDaniels,Nnoko,Clem,Clem,5,3,0,2,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,10,10,
1,16,45,Ryan Harrow misses a jump shot from 8 feet out.,97507,,true,false,false,Ryan,,Harrow,,GaSt,,5,3,0,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,7.4,2.5,22,22,
1,16,45,K.J. McDaniels with a defensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,5,3,0,2,0,,,,,5,,,,6,Defensive Rebound,,,,10,10,
1,16,38,Jaron Blossomgame misses a layup shot.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,5,3,0,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,16,38,Clem with an offensive rebound.,,,false,false,false,,,,,,,5,3,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,16,21,Landry Nnoko misses a jump shot from 9 feet out.,116772,,true,false,false,Landry,,Nnoko,,Clem,,5,3,0,2,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,7.1,5,10,10,
1,16,21,Clem with an offensive rebound.,,,false,false,false,,,,,,,5,3,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,10,10,
1,16,04,Rod Hall makes a layup shot.,110088,,true,false,false,Rod,,Hall,,Clem,,7,3,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,10,10,
1,16,04,Shooting foul committed by R.J. Hunter.,116231,,true,false,false,R.J.,,Hunter,,GaSt,,7,3,1,2,1,,,,,1,,2,Shooting,8,Foul,,,,22,22,
1,16,04,Rod Hall misses free throw 1 of 1.,110088,,true,false,false,Rod,,Hall,,Clem,,7,3,1,2,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,10,10,
1,16,04,Curtis Washington with a defensive rebound.,97106,,true,false,false,Curtis,,Washington,,GaSt,,7,3,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,15,47,Manny Atkins misses a 3-point jump shot from 22 feet out.,88634,,true,false,false,Manny,,Atkins,,GaSt,,7,3,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-22,.9,22,22,
1,15,47,Jaron Blossomgame with a defensive rebound.,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,7,3,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,15,40,K.J. McDaniels makes a dunk shot. Rod Hall with the assist.,110089,110088,true,true,false,K.J.,Rod,McDaniels,Hall,Clem,Clem,9,3,1,2,0,,,,,7,2,48,Dunk Shot,3,Field Goal Made,0,0,0,10,10,
1,15,21,Ryan Harrow misses a jump shot from 16 feet out.,97507,,true,false,false,Ryan,,Harrow,,GaSt,,9,3,1,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,16,3.8,15.4,22,22,
1,15,21,Rod Hall with a defensive rebound.,110088,,true,false,false,Rod,,Hall,,Clem,,9,3,1,2,0,,,,,2,,,,6,Defensive Rebound,,,,10,10,
1,15,09,K.J. McDaniels misses a 3-point jump shot from 24 feet out.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,9,3,1,2,0,,,,,7,3,45,Jump Shot,4,Field Goal Missed,24,-13.2,20,10,10,
1,15,09,GaSt with a defensive rebound.,,,false,false,false,,,,,,,9,3,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,15,09,Official TV timeout.,,,false,false,false,,,,,,,9,3,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,10,10,
1,14,56,R.J. Hunter misses a jump shot from 18 feet out.,116231,,true,false,false,R.J.,,Hunter,,GaSt,,9,3,1,2,1,,,,,1,2,45,Jump Shot,4,Field Goal Missed,18,-2.6,18.3,22,22,
1,14,56,K.J. McDaniels with a defensive rebound.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,9,3,1,2,0,,,,,7,,,,6,Defensive Rebound,,,,10,10,
1,14,39,Sidy Djitte misses a layup shot.,120593,,true,false,false,Sidy,,Djitte,,Clem,,9,3,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,10,10,
1,14,39,GaSt with a defensive rebound.,,,false,false,false,,,,,,,9,3,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,14,05,Devonta White misses a 3-point jump shot from 23 feet out.,97175,,true,false,false,Devonta,,White,,GaSt,,9,3,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.7,.8,22,22,
1,14,05,Sidy Djitte with a defensive rebound.,120593,,true,false,false,Sidy,,Djitte,,Clem,,9,3,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,13,59,Damarcus Harrison with a traveling turnover: Traveling,110531,,true,false,false,Damarcus,,Harrison,,Clem,,9,3,1,2,0,,,,,0,,4,Traveling,7,Turnover,,,,10,10,
1,13,51,Personal foul committed by Austin Ajukwa.,120591,,true,false,false,Austin,,Ajukwa,,Clem,,9,3,1,3,1,,,,,0,,1,Personal,8,Foul,,,,10,10,
1,13,47,R.J. Hunter makes a dunk shot. Ryan Harrow with the assist.,116231,97507,true,true,false,R.J.,Ryan,Hunter,Harrow,GaSt,GaSt,9,5,1,3,1,,,,,3,2,48,Dunk Shot,3,Field Goal Made,0,0,0,22,22,
1,13,38,Personal foul committed by R.J. Hunter.,116231,,true,false,false,R.J.,,Hunter,,GaSt,,9,5,2,3,2,,,,,3,,1,Personal,8,Foul,,,,22,22,
1,13,22,Shooting foul committed by Markus Crider.,116233,,true,false,false,Markus,,Crider,,GaSt,,9,5,3,3,1,,,,,0,,2,Shooting,8,Foul,,,,22,22,
1,13,22,K.J. McDaniels makes free throw 1 of 2.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,10,5,3,3,0,,,,,8,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,10,10,
1,13,22,K.J. McDaniels misses free throw 2 of 2.,110089,,true,false,false,K.J.,,McDaniels,,Clem,,10,5,3,3,0,,,,,8,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,10,10,
1,13,22,Devonta White with a defensive rebound.,97175,,true,false,false,Devonta,,White,,GaSt,,10,5,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,12,52,Markus Crider misses a jump shot from 9 feet out.,116233,,true,false,false,Markus,,Crider,,GaSt,,10,5,3,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,-1.6,8.6,22,22,
1,12,52,Curtis Washington with an offensive rebound.,97106,,true,false,false,Curtis,,Washington,,GaSt,,10,5,3,3,0,,,,,0,,,,5,Offensive Rebound,,,,22,22,
1,12,50,Curtis Washington makes a tip shot from 3 feet out.,97106,,true,false,false,Curtis,,Washington,,GaSt,,10,7,3,3,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,3,-2.3,2.5,22,22,
1,12,29,Ibrahim Djambo makes a layup shot. Jordan Roper with the assist.,120592,116773,true,true,false,Ibrahim,Jordan,Djambo,Roper,Clem,Clem,12,7,3,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,10,10,
1,12,15,R.J. Hunter misses a 3-point jump shot from 27 feet out.,116231,,true,false,false,R.J.,,Hunter,,GaSt,,12,7,3,3,2,,,,,3,3,45,Jump Shot,4,Field Goal Missed,27,3.7,26.6,22,22,
1,12,15,Josh Smith with a defensive rebound.,116774,,true,false,false,Josh,,Smith,,Clem,,12,7,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,12,06,Jordan Roper misses a 3-point jump shot from 24 feet out.,116773,,true,false,false,Jordan,,Roper,,Clem,,12,7,3,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-21.3,12,10,10,
1,12,06,Devonta White with a defensive rebound.,97175,,true,false,false,Devonta,,White,,GaSt,,12,7,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,22,22,
1,11,50,Markus Crider misses a layup shot.,116233,,true,false,false,Markus,,Crider,,GaSt,,12,7,3,3,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,22,22,
1,11,50,Josh Smith with a defensive rebound.,116774,,true,false,false,Josh,,Smith,,Clem,,12,7,3,3,0,,,,,0,,,,6,Defensive Rebound,,,,10,10,
1,11,45,K.J. McDaniels makes a dunk shot. Rod Hall with the assist.,110089,110088,true,true,false,K.J.,Rod,McDaniels,Hall,Clem,Clem,14,7,3,3,0,,,,,10,2,48,Dunk Shot,3,Field Goal Made,0,0,0,10,10,
1,11,28,Curtis Washington makes a layup shot. Ryan Harrow with the assist.,97106,97507,true,true,false,Curtis,Ryan,Washington,Harrow,GaSt,GaSt,14,9,3,3,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,22,22,
1,11,28,Shooting foul committed by Ibrahim Djambo.,120592,,true,false,false,Ibrahim,,Djambo,,Clem,,14,9,3,4,1,,,,,2,,2,Shooting,8,Foul,,,,10,10,
1,11,28,Official TV timeout.,,,false,false,false,,,,,,,14,9,3,4,0,,,,,0,,3,Official TV,11,Timeout,,,,10,10,
1,11,28,Curtis Washington makes free throw 1 of 1.,97106,,true,false,false,Curtis,,Washington,,GaSt,,14,10,3,4,0,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,22,22,
1,11,09,Jaron Blossomgame with a lost ball turnover: Lost Ball,116770,,true,false,false,Jaron,,Blossomgame,,Clem,,14,10,3,4,1,,,,,0,,2,Lost Ball,7,Turnover,,,,10,10,
