half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,162,162,
1,19,44,Eric McAlister misses a layup shot.,89525,,true,false,false,Eric,,McAlister,,StnyBr,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,8,8,
1,19,25,Dave Coley misses a 3-point jump shot.,98029,,true,false,false,Dave,,Coley,,StnyBr,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,8,8,
1,19,19,Jameel Warney makes a layup shot.,117014,,true,false,false,Jameel,,Warney,,StnyBr,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,8,8,
1,19,00,Imoh Silas misses a hook shot.,112423,,true,false,false,Imoh,,Silas,,Siena,,0,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,162,162,
1,18,51,Jameel Warney misses a layup shot.,117014,,true,false,false,Jameel,,Warney,,StnyBr,,0,2,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,8,8,
1,18,47,Jameel Warney misses a layup shot.,117014,,true,false,false,Jameel,,Warney,,StnyBr,,0,2,0,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,8,8,
1,18,40,Rob Poole misses a layup shot.,111005,,true,false,false,Rob,,Poole,,Siena,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,162,162,
1,18,26,Eric McAlister misses a hook shot.,89525,,true,false,false,Eric,,McAlister,,StnyBr,,0,2,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,8,8,
1,18,07,Personal foul committed by Imoh Silas.,112423,,true,false,false,Imoh,,Silas,,Siena,,0,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,162,162,
1,18,01,Marquis Wright misses a layup shot.,121991,,true,false,false,Marquis,,Wright,,Siena,,0,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,162,162,
1,17,54,Carson Puriefoy misses a layup shot.,117013,,true,false,false,Carson,,Puriefoy,,StnyBr,,0,2,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,8,8,
1,17,30,Ryan Oliver misses a 3-point jump shot.,116359,,true,false,false,Ryan,,Oliver,,Siena,,0,2,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,162,162,
1,17,09,Personal foul committed by Imoh Silas.,112423,,true,false,false,Imoh,,Silas,,Siena,,0,2,0,2,2,,,,,0,,1,Personal,8,Foul,,,,162,162,
1,16,48,Jameel Warney misses a jump shot.,117014,,true,false,false,Jameel,,Warney,,StnyBr,,0,2,0,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,8,8,
1,16,27,Brett Bisping misses a jump shot.,116360,,true,false,false,Brett,,Bisping,,Siena,,0,2,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,162,162,
1,16,19,Lavon Long makes a hook shot.,121996,,true,false,false,Lavon,,Long,,Siena,,2,2,0,2,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,162,162,
1,16,11,Carson Puriefoy misses a jump shot.,117013,,true,false,false,Carson,,Puriefoy,,StnyBr,,2,2,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,8,8,
1,15,53,Shooting foul committed by Lavon Long.,121996,,true,false,false,Lavon,,Long,,Siena,,2,2,0,3,1,,,,,2,,2,Shooting,8,Foul,,,,162,162,
1,15,53,Official TV timeout.,,,false,false,false,,,,,,,2,2,0,3,0,,,,,0,,3,Official TV,11,Timeout,,,,162,162,
1,15,53,Eric McAlister misses free throw 1 of 2.,89525,,true,false,false,Eric,,McAlister,,StnyBr,,2,2,0,3,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,8,8,
1,15,53,Eric McAlister misses free throw 2 of 2.,89525,,true,false,false,Eric,,McAlister,,StnyBr,,2,2,0,3,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,8,8,
1,15,45,Rob Poole misses a jump shot.,111005,,true,false,false,Rob,,Poole,,Siena,,2,2,0,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,162,162,
1,15,41,Shooting foul committed by Anthony Mayo.,100511,,true,false,false,Anthony,,Mayo,,StnyBr,,2,2,1,3,1,,,,,0,,2,Shooting,8,Foul,,,,8,8,
