half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,51,51,
1,19,31,Stephan Hawkins makes a jump shot from 20 feet out. Anthony Myers-Pate with the assist.,116454,98422,true,true,false,Stephan,Anthony,Hawkins,Myers-Pate,RMor,RMor,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,10.1,17.1,221,221,
1,19,18,Chris Obekpa misses a jump shot from 10 feet out.,116749,,true,false,false,Chris,,Obekpa,,StJn,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,.3,9.9,51,51,
1,19,18,Aaron Tate with a defensive rebound.,121428,,true,false,false,Aaron,,Tate,,RMor,,0,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,221,221,
1,19,03,Karvel Anderson makes a 3-point jump shot from 23 feet out. Anthony Myers-Pate with the assist.,116453,98422,true,true,false,Karvel,Anthony,Anderson,Myers-Pate,RMor,RMor,0,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,22.7,2.5,221,221,
1,18,46,Jakarr Sampson with a lost ball turnover: Lost Ball,110498,,true,false,false,Jakarr,,Sampson,,StJn,,0,5,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,51,51,
1,18,34,Karvel Anderson makes a 3-point jump shot from 23 feet out. Anthony Myers-Pate with the assist.,116453,98422,true,true,false,Karvel,Anthony,Anderson,Myers-Pate,RMor,RMor,0,8,0,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,23,22.5,6.5,221,221,
1,18,30,StJn take a 20-second timeout.,,,false,false,false,,,,,,,0,8,0,0,0,,,,,0,,2,Short,11,Timeout,,,,51,51,
1,18,09,Jakarr Sampson misses a jump shot from 15 feet out.,110498,,true,false,false,Jakarr,,Sampson,,StJn,,0,8,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-12.3,8.9,51,51,
1,18,09,RMor with a defensive rebound.,,,false,false,false,,,,,,,0,8,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,221,221,
1,17,46,Anthony Myers-Pate misses a layup shot.,98422,,true,false,false,Anthony,,Myers-Pate,,RMor,,0,8,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,221,221,
1,17,46,Phil Greene IV with a defensive rebound.,110492,,true,false,false,Phil,,Greene IV,,StJn,,0,8,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,51,51,
1,17,36,Jakarr Sampson misses a layup shot.,110498,,true,false,false,Jakarr,,Sampson,,StJn,,0,8,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,51,51,
1,17,36,Aaron Tate with a defensive rebound.,121428,,true,false,false,Aaron,,Tate,,RMor,,0,8,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,221,221,
1,17,27,Anthony Myers-Pate with a lost ball turnover: Lost Ball,98422,,true,false,false,Anthony,,Myers-Pate,,RMor,,0,8,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,221,221,
1,17,23,Jamal Branch makes a layup shot.,110203,,true,false,false,Jamal,,Branch,,StJn,,2,8,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,51,51,
1,16,56,Karvel Anderson makes a 3-point jump shot from 23 feet out.,116453,,true,false,false,Karvel,,Anderson,,RMor,,2,11,0,0,0,,,,,9,3,45,Jump Shot,3,Field Goal Made,23,18.3,14.4,221,221,
1,16,39,Phil Greene IV misses a 3-point jump shot from 24 feet out.,110492,,true,false,false,Phil,,Greene IV,,StJn,,2,11,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,9.6,22.4,51,51,
1,16,39,Aaron Tate with a defensive rebound.,121428,,true,false,false,Aaron,,Tate,,RMor,,2,11,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,221,221,
1,16,15,Lucky Jones misses a layup shot.,112415,,true,false,false,Lucky,,Jones,,RMor,,2,11,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,221,221,
