half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,320,320,
1,19,32,Kenneth Smith makes a 3-point jump shot from 26 feet out. Chris Anderson with the assist.,110384,116736,true,true,false,Kenneth,Chris,Smith,Anderson,LaTech,LaTech,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,-19.6,17.6,320,320,
1,19,18,Isaiah Williams with a lost ball turnover: Lost Ball,121833,,true,false,false,Isaiah,,Williams,,Iona,,3,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,156,156,
1,19,13,Kenneth Smith makes a layup shot.,110384,,true,false,false,Kenneth,,Smith,,LaTech,,5,0,0,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,320,320,
1,18,58,Isaiah Williams with a bad pass turnover: Bad Pass,121833,,true,false,false,Isaiah,,Williams,,Iona,,5,0,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,156,156,
1,18,58,Jaron Johnson misses a 3-point jump shot from 24 feet out.,116738,,true,false,false,Jaron,,Johnson,,LaTech,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,16.4,18.1,320,320,
1,18,58,A.J. English with a defensive rebound.,116345,,true,false,false,A.J.,,English,,Iona,,5,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,156,156,
1,18,41,Tre Bowman makes a layup shot. Sean Armand with the assist.,97093,98314,true,true,false,Tre,Sean,Bowman,Armand,Iona,Iona,5,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,156,156,
1,18,25,Chris Anderson makes a 3-point jump shot from 23 feet out. Jaron Johnson with the assist.,116736,116738,true,true,false,Chris,Jaron,Anderson,Johnson,LaTech,LaTech,8,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,15,18,320,320,
1,18,12,Tre Bowman with a traveling turnover: Traveling,97093,,true,false,false,Tre,,Bowman,,Iona,,8,2,0,0,0,,,,,2,,4,Traveling,7,Turnover,,,,156,156,
1,18,03,Michale Kyser makes a dunk shot. Alex Hamilton with the assist.,110382,116735,true,true,false,Michale,Alex,Kyser,Hamilton,LaTech,LaTech,10,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,320,320,
1,17,59,Iona take a 20-second timeout.,,,false,false,false,,,,,,,10,2,0,0,0,,,,,0,,2,Short,11,Timeout,,,,156,156,
1,17,50,Personal foul committed by Jaron Johnson.,116738,,true,false,false,Jaron,,Johnson,,LaTech,,10,2,0,1,1,,,,,0,,1,Personal,8,Foul,,,,320,320,
1,17,49,Isaiah Williams makes a layup shot. A.J. English with the assist.,121833,116345,true,true,false,Isaiah,A.J.,Williams,English,Iona,Iona,10,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,156,156,
1,17,33,Kenneth Smith with a lost ball turnover: Lost Ball,110384,,true,false,false,Kenneth,,Smith,,LaTech,,10,4,0,1,0,,,,,5,,2,Lost Ball,7,Turnover,,,,320,320,
1,17,28,Tre Bowman makes a layup shot. A.J. English with the assist.,97093,116345,true,true,false,Tre,A.J.,Bowman,English,Iona,Iona,10,6,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,156,156,
1,17,22,Personal foul committed by A.J. English.,116345,,true,false,false,A.J.,,English,,Iona,,10,6,1,1,1,,,,,0,,1,Personal,8,Foul,,,,156,156,
1,17,06,Alex Hamilton misses a jump shot from 10 feet out.,116735,,true,false,false,Alex,,Hamilton,,LaTech,,10,6,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,3.7,9.1,320,320,
1,17,06,Michale Kyser with an offensive rebound.,110382,,true,false,false,Michale,,Kyser,,LaTech,,10,6,1,1,0,,,,,2,,,,5,Offensive Rebound,,,,320,320,
