half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,174,174,
1,19,40,Maurice Ndour makes a 3-point jump shot.,121537,,true,false,false,Maurice,,Ndour,,Ohio,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,19,20,Charlie Lee misses a 3-point jump shot.,110375,,true,false,false,Charlie,,Lee,,CleSt,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,19,12,Antonio Campbell makes a hook shot.,121539,,true,false,false,Antonio,,Campbell,,Ohio,,5,0,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,,,,174,174,
1,18,51,Trey Lewis misses a 3-point jump shot.,109553,,true,false,false,Trey,,Lewis,,CleSt,,5,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,18,38,Maurice Ndour misses a jump shot.,121537,,true,false,false,Maurice,,Ndour,,Ohio,,5,0,0,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,18,29,Charlie Lee misses a jump shot.,110375,,true,false,false,Charlie,,Lee,,CleSt,,5,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,18,28,Marlin Mason makes a tip shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,5,2,0,0,0,,,,,2,2,53,Tip Shot,3,Field Goal Made,,,,130,130,
1,18,00,Javarez Willis misses a 3-point jump shot.,97521,,true,false,false,Javarez,,Willis,,Ohio,,5,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,17,44,Anton Grady makes a dunk shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,5,4,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,130,130,
1,17,27,Nick Kellogg makes a layup shot.,97820,,true,false,false,Nick,,Kellogg,,Ohio,,7,4,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,174,174,
1,17,15,CleSt take a 20-second timeout.,,,false,false,false,,,,,,,7,4,0,0,0,,,,,0,,2,Short,11,Timeout,,,,130,130,
1,17,01,Bryn Forbes makes a 3-point jump shot.,116752,,true,false,false,Bryn,,Forbes,,CleSt,,7,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,130,130,
1,16,33,Travis Wilkins misses a jump shot.,116376,,true,false,false,Travis,,Wilkins,,Ohio,,7,7,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,16,19,Personal foul committed by Nick Kellogg.,97820,,true,false,false,Nick,,Kellogg,,Ohio,,7,7,0,1,1,,,,,2,,1,Personal,8,Foul,,,,174,174,
1,16,19,Bryn Forbes makes a jump shot.,116752,,true,false,false,Bryn,,Forbes,,CleSt,,7,9,0,1,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,130,130,
1,16,04,Anton Grady makes a layup shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,7,11,0,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,130,130,
1,15,39,Anton Grady makes a layup shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,7,13,0,1,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,,,,130,130,
1,15,39,Ohio take a 20-second timeout.,,,false,false,false,,,,,,,7,13,0,1,0,,,,,0,,2,Short,11,Timeout,,,,174,174,
1,14,48,Stevie Taylor makes a jump shot.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,9,13,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,14,31,Anton Grady misses a jump shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,9,13,0,1,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,14,24,Nick Kellogg misses a 3-point jump shot.,97820,,true,false,false,Nick,,Kellogg,,Ohio,,9,13,0,1,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,14,06,Bryn Forbes misses a 3-point jump shot.,116752,,true,false,false,Bryn,,Forbes,,CleSt,,9,13,0,1,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,13,52,Official TV timeout.,,,false,false,false,,,,,,,9,13,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,174,174,
1,13,31,Treg Setty misses a jump shot.,109839,,true,false,false,Treg,,Setty,,Ohio,,9,13,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,13,08,Charlie Lee makes a jump shot.,110375,,true,false,false,Charlie,,Lee,,CleSt,,9,15,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,130,130,
1,12,27,Jon Harris misses a 3-point jump shot.,97804,,true,false,false,Jon,,Harris,,CleSt,,9,15,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,12,22,Charlie Lee misses a layup shot.,110375,,true,false,false,Charlie,,Lee,,CleSt,,9,15,0,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,130,130,
1,12,13,Stevie Taylor makes a 3-point jump shot.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,12,15,0,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,11,54,Ludovic Ndaye misses a jump shot.,98228,,true,false,false,Ludovic,,Ndaye,,CleSt,,12,15,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,11,37,Official TV timeout.,,,false,false,false,,,,,,,12,15,0,1,0,,,,,0,,3,Official TV,11,Timeout,,,,174,174,
1,11,26,Personal foul committed by Anton Grady.,110373,,true,false,false,Anton,,Grady,,CleSt,,12,15,1,1,1,,,,,6,,1,Personal,8,Foul,,,,130,130,
1,11,07,Stevie Taylor makes a 3-point jump shot.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,15,15,1,1,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,10,44,Anton Grady makes a jump shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,15,17,1,1,1,,,,,8,2,45,Jump Shot,3,Field Goal Made,,,,130,130,
1,10,33,Antonio Campbell misses a jump shot.,121539,,true,false,false,Antonio,,Campbell,,Ohio,,15,17,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,10,25,Marlin Mason misses a 3-point jump shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,15,17,1,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,10,02,Travis Wilkins makes a 3-point jump shot.,116376,,true,false,false,Travis,,Wilkins,,Ohio,,18,17,1,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,9,31,Bryn Forbes makes a 3-point jump shot.,116752,,true,false,false,Bryn,,Forbes,,CleSt,,18,20,1,1,0,,,,,8,3,45,Jump Shot,3,Field Goal Made,,,,130,130,
1,9,06,Marlin Mason makes a dunk shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,18,22,1,1,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,,,,130,130,
1,8,43,Antonio Campbell misses a hook shot.,121539,,true,false,false,Antonio,,Campbell,,Ohio,,18,22,1,1,0,,,,,2,2,55,Hook Shot,4,Field Goal Missed,,,,174,174,
1,8,22,Anton Grady makes a jump shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,18,24,1,1,1,,,,,10,2,45,Jump Shot,3,Field Goal Made,,,,130,130,
1,7,59,Stevie Taylor misses a 3-point jump shot.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,18,24,1,1,0,,,,,8,3,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,7,52,Charlie Lee misses a layup shot.,110375,,true,false,false,Charlie,,Lee,,CleSt,,18,24,1,1,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,,,,130,130,
1,7,46,Shooting foul committed by Charlie Lee.,110375,,true,false,false,Charlie,,Lee,,CleSt,,18,24,2,1,1,,,,,2,,2,Shooting,8,Foul,,,,130,130,
1,7,46,Official TV timeout.,,,false,false,false,,,,,,,18,24,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,174,174,
1,7,46,Stevie Taylor makes free throw 1 of 2.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,19,24,2,1,0,,,,,9,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,174,174,
1,7,46,Stevie Taylor makes free throw 2 of 2.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,20,24,2,1,0,,,,,10,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,174,174,
1,7,30,Anton Grady misses a jump shot.,110373,,true,false,false,Anton,,Grady,,CleSt,,20,24,2,1,1,,,,,10,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,7,22,Trey Lewis misses a layup shot.,109553,,true,false,false,Trey,,Lewis,,CleSt,,20,24,2,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,130,130,
1,7,12,T.J. Hall makes a 3-point jump shot.,97819,,true,false,false,T.J.,,Hall,,Ohio,,23,24,2,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,6,35,Marlin Mason misses a layup shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,23,24,2,1,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,,,,130,130,
1,6,26,Personal foul committed by Bryn Forbes.,116752,,true,false,false,Bryn,,Forbes,,CleSt,,23,24,3,1,1,,,,,8,,1,Personal,8,Foul,,,,130,130,
1,6,22,Maurice Ndour misses a jump shot.,121537,,true,false,false,Maurice,,Ndour,,Ohio,,23,24,3,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,6,11,Marlin Mason misses a jump shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,23,24,3,1,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,6,03,Nick Kellogg misses a jump shot.,97820,,true,false,false,Nick,,Kellogg,,Ohio,,23,24,3,1,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,5,57,Trey Lewis misses a jump shot.,109553,,true,false,false,Trey,,Lewis,,CleSt,,23,24,3,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,5,36,Personal foul committed by Trey Lewis.,109553,,true,false,false,Trey,,Lewis,,CleSt,,23,24,4,1,1,,,,,0,,1,Personal,8,Foul,,,,130,130,
1,5,32,Offensive foul committed by Maurice Ndour.,121537,,true,false,false,Maurice,,Ndour,,Ohio,,23,24,4,2,1,,,,,3,,4,Offensive,8,Foul,,,,174,174,
1,5,13,Marlin Mason misses a hook shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,23,24,4,2,0,,,,,4,2,55,Hook Shot,4,Field Goal Missed,,,,130,130,
1,4,19,Trey Lewis misses a layup shot.,109553,,true,false,false,Trey,,Lewis,,CleSt,,23,24,4,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,130,130,
1,4,13,Marlin Mason misses a jump shot.,110374,,true,false,false,Marlin,,Mason,,CleSt,,23,24,4,2,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,4,12,Personal foul committed by Ludovic Ndaye.,98228,,true,false,false,Ludovic,,Ndaye,,CleSt,,23,24,5,2,1,,,,,0,,1,Personal,8,Foul,,,,130,130,
1,3,51,Treg Setty makes a 3-point jump shot.,109839,,true,false,false,Treg,,Setty,,Ohio,,26,24,5,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,3,29,Ludovic Ndaye misses a layup shot.,98228,,true,false,false,Ludovic,,Ndaye,,CleSt,,26,24,5,2,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,130,130,
1,3,20,Jon Harris misses a 3-point jump shot.,97804,,true,false,false,Jon,,Harris,,CleSt,,26,24,5,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,3,11,Treg Setty misses a jump shot.,109839,,true,false,false,Treg,,Setty,,Ohio,,26,24,5,2,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,,,,174,174,
1,2,46,Jon Harris makes a layup shot.,97804,,true,false,false,Jon,,Harris,,CleSt,,26,26,5,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,130,130,
1,2,15,Treg Setty makes a jump shot.,109839,,true,false,false,Treg,,Setty,,Ohio,,28,26,5,2,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,174,174,
1,1,45,Charlie Lee makes a layup shot.,110375,,true,false,false,Charlie,,Lee,,CleSt,,28,28,5,2,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,130,130,
1,1,45,Shooting foul committed by Maurice Ndour.,121537,,true,false,false,Maurice,,Ndour,,Ohio,,28,28,5,3,2,,,,,3,,2,Shooting,8,Foul,,,,174,174,
1,1,45,Official TV timeout.,,,false,false,false,,,,,,,28,28,5,3,0,,,,,0,,3,Official TV,11,Timeout,,,,174,174,
1,1,45,Charlie Lee makes free throw 1 of 1.,110375,,true,false,false,Charlie,,Lee,,CleSt,,28,29,5,3,1,,,,,5,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,130,130,
1,1,14,Shooting foul committed by Jon Harris.,97804,,true,false,false,Jon,,Harris,,CleSt,,28,29,6,3,1,,,,,2,,2,Shooting,8,Foul,,,,130,130,
1,1,14,Treg Setty makes free throw 1 of 2.,109839,,true,false,false,Treg,,Setty,,Ohio,,29,29,6,3,0,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,174,174,
1,1,14,Treg Setty makes free throw 2 of 2.,109839,,true,false,false,Treg,,Setty,,Ohio,,30,29,6,3,0,,,,,7,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,174,174,
1,0,55.2,Trey Lewis misses a jump shot.,109553,,true,false,false,Trey,,Lewis,,CleSt,,30,29,6,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,130,130,
1,0,25.2,Personal foul committed by Bryn Forbes.,116752,,true,false,false,Bryn,,Forbes,,CleSt,,30,29,7,3,2,,,,,8,,1,Personal,8,Foul,,,,130,130,
1,0,25.2,Treg Setty makes free throw 1st of 1-and-1.,109839,,true,false,false,Treg,,Setty,,Ohio,,31,29,7,3,0,,,,,8,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,174,174,
1,0,25.2,Treg Setty makes free throw 2nd of 1-and-1.,109839,,true,false,false,Treg,,Setty,,Ohio,,32,29,7,3,0,,,,,9,1,9,Free Throw 2nd of 1-and-1,1,Free Throw Made,,,,174,174,
1,0,14.3,Personal foul committed by Stevie Taylor.,110159,,true,false,false,Stevie,,Taylor,,Ohio,,32,29,7,4,1,,,,,10,,1,Personal,8,Foul,,,,174,174,
