half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,80,80,
1,19,37,Du'Vaughn Maxwell misses a jump shot.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,19,24,Du'Vaughn Maxwell misses a layup shot.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,189,189,
1,19,21,Tim Frazier makes a 3-point jump shot.,88910,,true,false,false,Tim,,Frazier,,PSU,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,80,80,
1,19,13,Deron Powers misses a 3-point jump shot.,117538,,true,false,false,Deron,,Powers,,Hamp,,3,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,19,00,D.J. Newbill makes a 3-point jump shot.,100504,,true,false,false,D.J.,,Newbill,,PSU,,6,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,80,80,
1,18,41,Jervon Pressley misses a layup shot.,109579,,true,false,false,Jervon,,Pressley,,Hamp,,6,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,189,189,
1,18,25,Brandon Taylor makes a layup shot.,116204,,true,false,false,Brandon,,Taylor,,PSU,,8,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,80,80,
1,18,13,Hamp take a 20-second timeout.,,,false,false,false,,,,,,,8,0,0,0,0,,,,,0,,2,Short,11,Timeout,,,,189,189,
1,17,53,Jervon Pressley misses a jump shot.,109579,,true,false,false,Jervon,,Pressley,,Hamp,,8,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,17,23,John Johnson misses a 3-point jump shot.,109492,,true,false,false,John,,Johnson,,PSU,,8,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,80,80,
1,17,06,Jervon Pressley makes a dunk shot.,109579,,true,false,false,Jervon,,Pressley,,Hamp,,8,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,189,189,
1,17,05,Shooting foul committed by Donovon Jack.,116202,,true,false,false,Donovon,,Jack,,PSU,,8,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,80,80,
1,17,05,Jervon Pressley misses free throw 1 of 1.,109579,,true,false,false,Jervon,,Pressley,,Hamp,,8,2,0,1,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,189,189,
1,16,51,Personal foul committed by Du'Vaughn Maxwell.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,8,2,1,1,1,,,,,0,,1,Personal,8,Foul,,,,189,189,
1,16,32,Jervon Pressley misses a jump shot.,109579,,true,false,false,Jervon,,Pressley,,Hamp,,8,2,1,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,16,19,Shooting foul committed by Du'Vaughn Maxwell.,98303,,true,false,false,Du'Vaughn,,Maxwell,,Hamp,,8,2,2,1,2,,,,,0,,2,Shooting,8,Foul,,,,189,189,
1,16,19,Ross Travis makes free throw 1 of 2.,109554,,true,false,false,Ross,,Travis,,PSU,,9,2,2,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,80,80,
1,16,19,Ross Travis makes free throw 2 of 2.,109554,,true,false,false,Ross,,Travis,,PSU,,10,2,2,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,80,80,
1,15,58,Jervon Pressley misses a jump shot.,109579,,true,false,false,Jervon,,Pressley,,Hamp,,10,2,2,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,15,58,Personal foul committed by Dwight Meikle.,117542,,true,false,false,Dwight,,Meikle,,Hamp,,10,2,3,1,1,,,,,0,,1,Personal,8,Foul,,,,189,189,
1,15,58,Official TV timeout.,,,false,false,false,,,,,,,10,2,3,1,0,,,,,0,,3,Official TV,11,Timeout,,,,80,80,
1,15,50,Personal foul committed by Ke'Ron Brown.,117540,,true,false,false,Ke'Ron,,Brown,,Hamp,,10,2,4,1,1,,,,,0,,1,Personal,8,Foul,,,,189,189,
1,15,36,Personal foul committed by Deron Powers.,117538,,true,false,false,Deron,,Powers,,Hamp,,10,2,5,1,1,,,,,0,,1,Personal,8,Foul,,,,189,189,
1,14,58,Brian Darden makes a 3-point jump shot.,111816,,true,false,false,Brian,,Darden,,Hamp,,10,5,5,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,189,189,
1,14,35,Donovon Jack misses a 3-point jump shot.,116202,,true,false,false,Donovon,,Jack,,PSU,,10,5,5,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,80,80,
1,14,07,Brian Darden makes a 3-point jump shot.,111816,,true,false,false,Brian,,Darden,,Hamp,,10,8,5,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,,,,189,189,
1,13,32,Ke'Ron Brown misses a jump shot.,117540,,true,false,false,Ke'Ron,,Brown,,Hamp,,10,8,5,1,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,189,189,
1,13,27,Shooting foul committed by Brian Darden.,111816,,true,false,false,Brian,,Darden,,Hamp,,10,8,6,1,1,,,,,6,,2,Shooting,8,Foul,,,,189,189,
1,13,27,D.J. Newbill makes free throw 1 of 2.,100504,,true,false,false,D.J.,,Newbill,,PSU,,11,8,6,1,0,,,,,4,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,80,80,
1,13,27,D.J. Newbill makes free throw 2 of 2.,100504,,true,false,false,D.J.,,Newbill,,PSU,,12,8,6,1,0,,,,,5,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,80,80,
1,13,10,Deron Powers misses a layup shot.,117538,,true,false,false,Deron,,Powers,,Hamp,,12,8,6,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,189,189,
1,12,57,Brandon Taylor makes a 3-point jump shot.,116204,,true,false,false,Brandon,,Taylor,,PSU,,15,8,6,1,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,80,80,
