half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,324,324,
1,19,36,Shawn Williams misses a jump shot from 17 feet out.,88913,,true,false,false,Shawn,,Williams,,SMU,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,-7.6,15.6,324,324,
1,19,36,Will Davis II with a defensive rebound.,110875,,true,false,false,Will,,Davis II,,UC-Irv,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,101,101,
1,19,09,Mamadou Ndiaye makes a jump shot from 9 feet out.,121622,,true,false,false,Mamadou,,Ndiaye,,UC-Irv,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,9,7.7,3.8,101,101,
1,18,48,Markus Kennedy with a lost ball turnover: Lost Ball,109504,,true,false,false,Markus,,Kennedy,,SMU,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,324,324,
1,18,42,Luke Nelson makes a 3-point jump shot from 24 feet out. Alex Young with the assist.,121619,117480,true,true,false,Luke,Alex,Nelson,Young,UC-Irv,UC-Irv,0,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,19,14,101,101,
1,18,05,Nick Russell misses a 3-point jump shot from 26 feet out.,88357,,true,false,false,Nick,,Russell,,SMU,,0,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,15.6,20.5,324,324,
1,18,05,Shawn Williams with an offensive rebound.,88913,,true,false,false,Shawn,,Williams,,SMU,,0,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,324,324,
1,17,57,Shooting foul committed by Will Davis II.,110875,,true,false,false,Will,,Davis II,,UC-Irv,,0,5,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,101,101,
1,17,57,Shawn Williams misses free throw 1 of 2.,88913,,true,false,false,Shawn,,Williams,,SMU,,0,5,1,0,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,324,324,
1,17,57,SMU with an offensive rebound.,,,false,false,false,,,,,,,0,5,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,324,324,
1,17,57,Shawn Williams misses free throw 2 of 2.,88913,,true,false,false,Shawn,,Williams,,SMU,,0,5,1,0,0,,,,,0,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,324,324,
1,17,57,Will Davis II with a defensive rebound.,110875,,true,false,false,Will,,Davis II,,UC-Irv,,0,5,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,101,101,
