half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,93,93,
1,19,40,Riley Grabau misses a 3-point jump shot from 23 feet out.,109861,,true,false,false,Riley,,Grabau,,Wyo,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-18,15,213,213,
1,19,25,Antwan Space makes a jump shot from 7 feet out.,110263,,true,false,false,Antwan,,Space,,TexA&amp;M,,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,1,7,93,93,
1,19,07,Offensive foul committed by Nathan Sobey.,116439,,true,false,false,Nathan,,Sobey,,Wyo,,2,0,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,213,213,
1,18,50,Alex Caruso misses a jump shot from 12 feet out.,116655,,true,false,false,Alex,,Caruso,,TexA&amp;M,,2,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,12,8,9,93,93,
1,18,44,Josh Adams misses a 3-point jump shot from 23 feet out.,116434,,true,false,false,Josh,,Adams,,Wyo,,2,0,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,14,18,213,213,
1,18,22,Alex Caruso makes a 3-point jump shot from 23 feet out.,116655,,true,false,false,Alex,,Caruso,,TexA&amp;M,,5,0,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,14.2,17.9,93,93,
1,17,56,Nathan Sobey makes a jump shot from 17 feet out.,116439,,true,false,false,Nathan,,Sobey,,Wyo,,5,2,1,0,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,13.2,10.4,213,213,
1,17,34,Offensive foul committed by Jamal Jones.,110388,,true,false,false,Jamal,,Jones,,TexA&amp;M,,5,2,1,1,1,,,,,0,,4,Offensive,8,Foul,,,,93,93,
1,17,17,Riley Grabau misses a jump shot from 16 feet out.,109861,,true,false,false,Riley,,Grabau,,Wyo,,5,2,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,-10.6,11.6,213,213,
1,17,12,Kourtney Roberson makes a layup shot.,88720,,true,false,false,Kourtney,,Roberson,,TexA&amp;M,,7,2,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,93,93,
1,16,59,Alex Caruso makes a dunk shot.,116655,,true,false,false,Alex,,Caruso,,TexA&amp;M,,9,2,1,1,0,,,,,5,2,48,Dunk Shot,3,Field Goal Made,0,0,0,93,93,
1,16,34,Nathan Sobey misses a 3-point jump shot from 25 feet out.,116439,,true,false,false,Nathan,,Sobey,,Wyo,,9,2,1,1,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,-19,16,213,213,
1,16,26,Jamal Jones misses a 3-point jump shot from 24 feet out.,110388,,true,false,false,Jamal,,Jones,,TexA&amp;M,,9,2,1,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,13.2,20.1,93,93,
1,16,11,Jordan Green makes a layup shot.,110204,,true,false,false,Jordan,,Green,,TexA&amp;M,,11,2,1,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,93,93,
1,16,04,Wyo take a 20-second timeout.,,,false,false,false,,,,,,,11,2,1,1,0,,,,,0,,2,Short,11,Timeout,,,,213,213,
1,15,33,Nathan Sobey misses a jump shot from 8 feet out.,116439,,true,false,false,Nathan,,Sobey,,Wyo,,11,2,1,1,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,-.1,8.1,213,213,
1,15,20,Offensive foul committed by Antwan Space.,110263,,true,false,false,Antwan,,Space,,TexA&amp;M,,11,2,1,2,1,,,,,2,,4,Offensive,8,Foul,,,,93,93,
1,15,20,Official TV timeout.,,,false,false,false,,,,,,,11,2,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,93,93,
1,14,53,Personal foul committed by Riley Grabau.,109861,,true,false,false,Riley,,Grabau,,Wyo,,11,2,2,2,1,,,,,0,,1,Personal,8,Foul,,,,213,213,
1,14,38,Jamal Jones misses a 3-point jump shot from 23 feet out.,110388,,true,false,false,Jamal,,Jones,,TexA&amp;M,,11,2,2,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.4,5.7,93,93,
1,14,02,Austin Haldorson misses a 3-point jump shot from 23 feet out.,116436,,true,false,false,Austin,,Haldorson,,Wyo,,11,2,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-20.7,9.4,213,213,
1,13,54,Trey Washington III misses a 3-point jump shot from 23 feet out.,120849,,true,false,false,Trey,,Washington III,,Wyo,,11,2,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-3.3,23,213,213,
1,13,34,Austin Haldorson misses a 3-point jump shot from 23 feet out.,116436,,true,false,false,Austin,,Haldorson,,Wyo,,11,2,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-21.2,8.6,213,213,
1,13,18,Antwan Space makes a layup shot.,110263,,true,false,false,Antwan,,Space,,TexA&amp;M,,13,2,2,2,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,93,93,
1,12,52,Derek Cooke Jr. makes a dunk shot.,116435,,true,false,false,Derek,,Cooke Jr.,,Wyo,,13,4,2,2,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,213,213,
1,12,34,Jordan Green makes a 3-point jump shot from 23 feet out.,110204,,true,false,false,Jordan,,Green,,TexA&amp;M,,16,4,2,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,23,16.9,15.4,93,93,
1,12,11,Personal foul committed by Jamal Jones.,110388,,true,false,false,Jamal,,Jones,,TexA&amp;M,,16,4,2,3,2,,,,,0,,1,Personal,8,Foul,,,,93,93,
1,11,54,Trey Washington III misses a jump shot from 7 feet out.,120849,,true,false,false,Trey,,Washington III,,Wyo,,16,4,2,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,-1.3,6.5,213,213,
1,11,35,Fabyon Harris misses a 3-point jump shot from 24 feet out.,97650,,true,false,false,Fabyon,,Harris,,TexA&amp;M,,16,4,2,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,14.2,19.3,93,93,
1,11,16,Antwan Space makes a 3-point jump shot from 24 feet out.,110263,,true,false,false,Antwan,,Space,,TexA&amp;M,,19,4,2,3,1,,,,,7,3,45,Jump Shot,3,Field Goal Made,24,-13.5,19.5,93,93,
1,10,51,Riley Grabau misses a 3-point jump shot from 25 feet out.,109861,,true,false,false,Riley,,Grabau,,Wyo,,19,4,2,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-13,20.8,213,213,
1,10,35,Nathan Sobey misses a 3-point jump shot from 25 feet out.,116439,,true,false,false,Nathan,,Sobey,,Wyo,,19,4,2,3,1,,,,,2,3,45,Jump Shot,4,Field Goal Missed,25,16.1,19.1,213,213,
1,10,31,Shooting foul committed by Trey Washington III.,120849,,true,false,false,Trey,,Washington III,,Wyo,,19,4,3,3,1,,,,,0,,2,Shooting,8,Foul,,,,213,213,
1,10,31,Official TV timeout.,,,false,false,false,,,,,,,19,4,3,3,0,,,,,0,,3,Official TV,11,Timeout,,,,93,93,
1,10,31,Jordan Green makes free throw 1 of 2.,110204,,true,false,false,Jordan,,Green,,TexA&amp;M,,20,4,3,3,0,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,93,93,
1,10,31,Jordan Green makes free throw 2 of 2.,110204,,true,false,false,Jordan,,Green,,TexA&amp;M,,21,4,3,3,0,,,,,7,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,93,93,
1,10,13,Jerron Granberry misses a jump shot from 20 feet out.,89346,,true,false,false,Jerron,,Granberry,,Wyo,,21,4,3,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-2,20,213,213,
1,9,48,Kourtney Roberson misses a jump shot from 5 feet out.,88720,,true,false,false,Kourtney,,Roberson,,TexA&amp;M,,21,4,3,3,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,5,4,2.3,93,93,
1,9,30,Josh Adams makes a jump shot from 7 feet out.,116434,,true,false,false,Josh,,Adams,,Wyo,,21,6,3,3,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,7,5,5,213,213,
1,8,45,Jerron Granberry misses a 3-point jump shot from 23 feet out.,89346,,true,false,false,Jerron,,Granberry,,Wyo,,21,6,3,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,15,17,213,213,
1,8,28,Blake McDonald misses a 3-point jump shot from 24 feet out.,100106,,true,false,false,Blake,,McDonald,,TexA&amp;M,,21,6,3,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-19.8,13.2,93,93,
