half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,127,127,
1,19,46,Hans Brase makes a layup shot.,117578,,true,false,false,Hans,,Brase,,Prince,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,152,152,
1,19,08,Cameron Reynolds misses a 3-point jump shot.,121240,,true,false,false,Cameron,,Reynolds,,Tulane,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,127,127,
1,18,47,Steven Cook misses a layup shot.,121348,,true,false,false,Steven,,Cook,,Prince,,0,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,152,152,
1,18,40,Trevante Drye makes a layup shot.,116276,,true,false,false,Trevante,,Drye,,Tulane,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,127,127,
1,18,15,Hans Brase makes a 3-point jump shot.,117578,,true,false,false,Hans,,Brase,,Prince,,2,5,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,,,,152,152,
1,17,57,Cameron Reynolds misses a dunk shot.,121240,,true,false,false,Cameron,,Reynolds,,Tulane,,2,5,0,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,,,,127,127,
1,17,42,Jay Hook misses a 3-point jump shot.,110212,,true,false,false,Jay,,Hook,,Tulane,,2,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,127,127,
1,17,42,T.J. Bray misses a 3-point jump shot.,99784,,true,false,false,T.J.,,Bray,,Prince,,2,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,152,152,
1,17,25,T.J. Bray makes a layup shot.,99784,,true,false,false,T.J.,,Bray,,Prince,,2,7,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,152,152,
1,16,44,Hans Brase misses a hook shot.,117578,,true,false,false,Hans,,Brase,,Prince,,2,7,0,0,0,,,,,5,2,55,Hook Shot,4,Field Goal Missed,,,,152,152,
1,16,37,Jonathan Stark misses a layup shot.,121242,,true,false,false,Jonathan,,Stark,,Tulane,,2,7,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,127,127,
1,16,01,Jonathan Stark makes a 3-point jump shot.,121242,,true,false,false,Jonathan,,Stark,,Tulane,,5,7,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,127,127,
1,15,43,Will Barrett makes a layup shot.,89808,,true,false,false,Will,,Barrett,,Prince,,5,9,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,152,152,
1,15,10,Personal foul committed by Hans Brase.,117578,,true,false,false,Hans,,Brase,,Prince,,5,9,1,0,1,,,,,5,,1,Personal,8,Foul,,,,152,152,
1,15,10,Official TV timeout.,,,false,false,false,,,,,,,5,9,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,127,127,
1,15,08,Jay Hook makes a 3-point jump shot.,110212,,true,false,false,Jay,,Hook,,Tulane,,8,9,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,127,127,
1,14,37,Clay Wilson misses a layup shot.,110328,,true,false,false,Clay,,Wilson,,Prince,,8,9,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,152,152,
1,14,22,Cameron Reynolds misses a 3-point jump shot.,121240,,true,false,false,Cameron,,Reynolds,,Tulane,,8,9,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,127,127,
1,14,07,Clay Wilson misses a 3-point jump shot.,110328,,true,false,false,Clay,,Wilson,,Prince,,8,9,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,152,152,
1,13,53,Offensive foul committed by Jay Hook.,110212,,true,false,false,Jay,,Hook,,Tulane,,8,9,1,1,1,,,,,3,,4,Offensive,8,Foul,,,,127,127,
1,13,35,Pete Miller makes a dunk shot.,121349,,true,false,false,Pete,,Miller,,Prince,,8,11,1,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,,,,152,152,
1,13,13,Offensive foul committed by Kevin Thomas.,97698,,true,false,false,Kevin,,Thomas,,Tulane,,8,11,1,2,1,,,,,0,,4,Offensive,8,Foul,,,,127,127,
1,13,11,Pete Miller makes a layup shot.,121349,,true,false,false,Pete,,Miller,,Prince,,8,13,1,2,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,152,152,
1,12,47,Josh Hearlihy makes a jump shot.,121237,,true,false,false,Josh,,Hearlihy,,Tulane,,10,13,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,127,127,
1,12,34,Steven Cook misses a 3-point jump shot.,121348,,true,false,false,Steven,,Cook,,Prince,,10,13,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,152,152,
1,11,58,Official TV timeout.,,,false,false,false,,,,,,,10,13,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,127,127,
1,11,58,Personal foul committed by T.J. Bray.,99784,,true,false,false,T.J.,,Bray,,Prince,,10,13,2,2,1,,,,,2,,1,Personal,8,Foul,,,,152,152,
1,11,58,Max Keenan misses free throw 1 of 2.,112451,,true,false,false,Max,,Keenan,,Tulane,,10,13,2,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,127,127,
1,11,58,Max Keenan makes free throw 2 of 2.,112451,,true,false,false,Max,,Keenan,,Tulane,,11,13,2,2,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,127,127,
1,11,35,Jonathan Stark misses a layup shot.,121242,,true,false,false,Jonathan,,Stark,,Tulane,,11,13,2,2,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,127,127,
1,11,24,Jonathan Stark misses a tip shot.,121242,,true,false,false,Jonathan,,Stark,,Tulane,,11,13,2,2,0,,,,,3,2,53,Tip Shot,4,Field Goal Missed,,,,127,127,
1,11,16,Jimmy Sherburne misses a layup shot.,89807,,true,false,false,Jimmy,,Sherburne,,Prince,,11,13,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,152,152,
1,11,04,Personal foul committed by Clay Wilson.,110328,,true,false,false,Clay,,Wilson,,Prince,,11,13,3,2,1,,,,,0,,1,Personal,8,Foul,,,,152,152,
1,11,04,Trevante Drye makes free throw 1 of 2.,116276,,true,false,false,Trevante,,Drye,,Tulane,,12,13,3,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,127,127,
1,11,04,Trevante Drye makes free throw 2 of 2.,116276,,true,false,false,Trevante,,Drye,,Tulane,,13,13,3,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,127,127,
