half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,124,124,
1,19,38,Aaron Brown makes a 3-point jump shot from 24 feet out. Michael Craig with the assist.,97378,117762,true,true,false,Aaron,Michael,Brown,Craig,SouMis,SouMis,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,4.7,23.1,124,124,
1,19,11,Rian Pearson misses a jump shot from 13 feet out.,89146,,true,false,false,Rian,,Pearson,,Toledo,,3,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-12.5,2.4,175,175,
1,19,11,Michael Craig with a defensive rebound.,117762,,true,false,false,Michael,,Craig,,SouMis,,3,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,124,124,
1,19,03,Daveon Boardingham makes a layup shot. Michael Craig with the assist.,116268,117762,true,true,false,Daveon,Michael,Boardingham,Craig,SouMis,SouMis,5,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,124,124,
1,18,52,Personal foul committed by Michael Craig.,117762,,true,false,false,Michael,,Craig,,SouMis,,5,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,124,124,
1,18,42,Nathan Boothe misses a jump shot from 13 feet out.,116379,,true,false,false,Nathan,,Boothe,,Toledo,,5,0,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,8.8,9.4,175,175,
1,18,42,Aaron Brown with a defensive rebound.,97378,,true,false,false,Aaron,,Brown,,SouMis,,5,0,0,1,0,,,,,3,,,,6,Defensive Rebound,,,,124,124,
1,18,28,Michael Craig makes a jump shot from 11 feet out.,117762,,true,false,false,Michael,,Craig,,SouMis,,7,0,0,1,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,11,9.2,5.5,124,124,
1,18,12,Justin Drummond makes a 3-point jump shot from 23 feet out. Julius Brown with the assist.,97902,109815,true,true,false,Justin,Julius,Drummond,Brown,Toledo,Toledo,7,3,0,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-13.6,18.7,175,175,
1,17,50,Jerrold Brooks misses a 3-point jump shot from 23 feet out.,116269,,true,false,false,Jerrold,,Brooks,,SouMis,,7,3,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.3,14.6,124,124,
1,17,50,Toledo with a defensive rebound.,,,false,false,false,,,,,,,7,3,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,175,175,
1,17,22,Rian Pearson misses a layup shot.,89146,,true,false,false,Rian,,Pearson,,Toledo,,7,3,0,1,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,175,175,
1,17,22,Daveon Boardingham with a defensive rebound.,116268,,true,false,false,Daveon,,Boardingham,,SouMis,,7,3,0,1,0,,,,,2,,,,6,Defensive Rebound,,,,124,124,
1,17,15,Offensive foul committed by Michael Craig.,117762,,true,false,false,Michael,,Craig,,SouMis,,7,3,0,2,2,,,,,2,,4,Offensive,8,Foul,,,,124,124,
1,17,15,Michael Craig with a  turnover:,117762,,true,false,false,Michael,,Craig,,SouMis,,7,3,0,2,2,,,,,2,,,,7,Turnover,,,,124,124,
1,17,03,Toledo with a turnover: 10 Second Violation,,,false,false,false,,,,,,,7,3,0,2,0,,,,,0,,10,10 Second Violation,7,Turnover,,,,175,175,
1,16,50,Neil Watson misses a 3-point jump shot from 23 feet out.,88463,,true,false,false,Neil,,Watson,,SouMis,,7,3,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-18.8,12.9,124,124,
1,16,50,Matt Bingaya with an offensive rebound.,121233,,true,false,false,Matt,,Bingaya,,SouMis,,7,3,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,124,124,
1,16,48,Personal foul committed by Jordan Lauf.,121542,,true,false,false,Jordan,,Lauf,,Toledo,,7,3,1,2,1,,,,,0,,1,Personal,8,Foul,,,,175,175,
1,16,40,Jerrold Brooks misses a jump shot from 15 feet out.,116269,,true,false,false,Jerrold,,Brooks,,SouMis,,7,3,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-8.4,12,124,124,
1,16,40,SouMis with an offensive rebound.,,,false,false,false,,,,,,,7,3,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,124,124,
1,16,26,Personal foul committed by Justin Drummond.,97902,,true,false,false,Justin,,Drummond,,Toledo,,7,3,2,2,1,,,,,3,,1,Personal,8,Foul,,,,175,175,
1,16,01,Shooting foul committed by Nathan Boothe.,116379,,true,false,false,Nathan,,Boothe,,Toledo,,7,3,3,2,1,,,,,0,,2,Shooting,8,Foul,,,,175,175,
