half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,153,153,
1,19,46,Ousmane Drame misses a hook shot.,112956,,true,false,false,Ousmane,,Drame,,Quinni,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,220,220,
1,19,38,Ousmane Drame makes a layup shot.,112956,,true,false,false,Ousmane,,Drame,,Quinni,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,220,220,
1,19,17,Javier Duren misses a 3-point jump shot.,109746,,true,false,false,Javier,,Duren,,Yale,,0,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,19,07,Zaid Hearst makes a 3-point jump shot.,112959,,true,false,false,Zaid,,Hearst,,Quinni,,0,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,220,220,
1,18,47,Javier Duren makes a 3-point jump shot.,109746,,true,false,false,Javier,,Duren,,Yale,,3,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,153,153,
1,18,24,Armani Cotton makes a layup shot.,109742,,true,false,false,Armani,,Cotton,,Yale,,5,5,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,153,153,
1,18,08,Evan Conti makes a 3-point jump shot.,112955,,true,false,false,Evan,,Conti,,Quinni,,5,8,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,220,220,
1,17,35,Armani Cotton misses a 3-point jump shot.,109742,,true,false,false,Armani,,Cotton,,Yale,,5,8,0,0,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,153,153,
1,17,25,Shaq Shannon misses a layup shot.,118186,,true,false,false,Shaq,,Shannon,,Quinni,,5,8,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,220,220,
1,17,12,Zaid Hearst misses a layup shot.,112959,,true,false,false,Zaid,,Hearst,,Quinni,,5,8,0,0,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,,,,220,220,
1,17,09,Ike Azotam misses a layup shot.,97973,,true,false,false,Ike,,Azotam,,Quinni,,5,8,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,220,220,
1,16,46,Nick Victor misses a 3-point jump shot.,116341,,true,false,false,Nick,,Victor,,Yale,,5,8,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,153,153,
