half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,257,257,
1,19,31,Alex Hamilton makes a jump shot from 8 feet out.,116735,,true,false,false,Alex,,Hamilton,,LaTech,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-3.7,6.9,320,320,
1,19,11,Brandon Morris misses a jump shot from 8 feet out.,116539,,true,false,false,Brandon,,Morris,,UGa,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-.9,8.1,257,257,
1,19,11,UGa with an offensive rebound.,,,false,false,false,,,,,,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,257,257,
1,19,03,Kenny Gaines with a lost ball turnover: Lost Ball,116536,,true,false,false,Kenny,,Gaines,,UGa,,0,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,257,257,
1,18,58,Alex Hamilton with a out of bounds turnover: Out of Bounds,116735,,true,false,false,Alex,,Hamilton,,LaTech,,0,2,0,0,0,,,,,2,,3,Out of Bounds,7,Turnover,,,,320,320,
1,18,48,Charles Mann with a out of bounds turnover: Out of Bounds,116538,,true,false,false,Charles,,Mann,,UGa,,0,2,0,0,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,257,257,
1,18,47,Offensive foul committed by Michale Kyser.,110382,,true,false,false,Michale,,Kyser,,LaTech,,0,2,1,0,1,,,,,0,,4,Offensive,8,Foul,,,,320,320,
1,18,47,Michale Kyser with a  turnover:,110382,,true,false,false,Michale,,Kyser,,LaTech,,0,2,1,0,1,,,,,0,,,,7,Turnover,,,,320,320,
1,18,24,Marcus Thornton misses a jump shot from 15 feet out.,97168,,true,false,false,Marcus,,Thornton,,UGa,,0,2,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,4.3,14.2,257,257,
1,18,24,Michale Kyser with a defensive rebound.,110382,,true,false,false,Michale,,Kyser,,LaTech,,0,2,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,320,320,
1,18,07,Alex Hamilton misses a jump shot from 8 feet out.,116735,,true,false,false,Alex,,Hamilton,,LaTech,,0,2,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,-4.5,6.2,320,320,
1,18,07,Michale Kyser with an offensive rebound.,110382,,true,false,false,Michale,,Kyser,,LaTech,,0,2,1,0,1,,,,,0,,,,5,Offensive Rebound,,,,320,320,
1,18,03,Michale Kyser makes a jump shot from 5 feet out.,110382,,true,false,false,Michale,,Kyser,,LaTech,,0,4,1,0,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,5,-4.5,-.1,320,320,
1,17,55,Donte' Williams with a lost ball turnover: Lost Ball,97169,,true,false,false,Donte',,Williams,,UGa,,0,4,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,257,257,
1,17,50,Michale Kyser makes a jump shot from 14 feet out. Kenneth Smith with the assist.,110382,110384,true,true,false,Michale,Kenneth,Kyser,Smith,LaTech,LaTech,0,6,1,0,1,,,,,4,2,45,Jump Shot,3,Field Goal Made,14,-12,7.6,320,320,
