half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,12,12,
1,19,36,Markel Starks makes a 3-point jump shot from 23 feet out. Mikael Hopkins with the assist.,97383,110378,true,true,false,Markel,Mikael,Starks,Hopkins,GTown,GTown,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,18.5,14.5,44,44,
1,19,08,Shooting foul committed by Markel Starks.,97383,,true,false,false,Markel,,Starks,,GTown,,0,3,1,0,1,,,,,3,,2,Shooting,8,Foul,,,,44,44,
1,19,08,Devon Bookert makes free throw 1 of 2.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,1,3,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,12,12,
1,19,08,Devon Bookert makes free throw 2 of 2.,116526,,true,false,false,Devon,,Bookert,,FlaSt,,2,3,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,18,44,Markel Starks misses a 3-point jump shot from 23 feet out.,97383,,true,false,false,Markel,,Starks,,GTown,,2,3,1,0,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-22.7,1.4,44,44,
1,18,44,Michael Ojo with a defensive rebound.,116530,,true,false,false,Michael,,Ojo,,FlaSt,,2,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,18,34,Aaron Thomas makes a jump shot from 15 feet out.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,4,3,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,15,8.6,12.8,12,12,
1,18,34,Shooting foul committed by Jabril Trawick.,110380,,true,false,false,Jabril,,Trawick,,GTown,,4,3,2,0,1,,,,,0,,2,Shooting,8,Foul,,,,44,44,
1,18,34,Aaron Thomas makes free throw 1 of 1.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,5,3,2,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,12,12,
1,18,21,Markel Starks makes a 3-point jump shot from 22 feet out. D'Vauntes Smith-Rivera with the assist.,97383,116788,true,true,false,Markel,D'Vauntes,Starks,Smith-Rivera,GTown,GTown,5,6,2,0,1,,,,,6,3,45,Jump Shot,3,Field Goal Made,22,23,0,44,44,
1,18,05,Michael Ojo with a palming turnover turnover: Palming Turnover,116530,,true,false,false,Michael,,Ojo,,FlaSt,,5,6,2,0,0,,,,,0,,21,Palming Turnover,7,Turnover,,,,12,12,
1,17,49,Nate Lubick makes a layup shot. Markel Starks with the assist.,97382,97383,true,true,false,Nate,Markel,Lubick,Starks,GTown,GTown,5,8,2,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,44,44,
1,17,49,Shooting foul committed by Okaro White.,97445,,true,false,false,Okaro,,White,,FlaSt,,5,8,2,1,1,,,,,0,,2,Shooting,8,Foul,,,,12,12,
1,17,49,Nate Lubick misses free throw 1 of 1.,97382,,true,false,false,Nate,,Lubick,,GTown,,5,8,2,1,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,44,44,
1,17,49,Aaron Thomas with a defensive rebound.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,5,8,2,1,0,,,,,3,,,,6,Defensive Rebound,,,,12,12,
1,17,28,Devon Bookert with a lost ball turnover: Lost Ball,116526,,true,false,false,Devon,,Bookert,,FlaSt,,5,8,2,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,12,12,
1,17,11,D'Vauntes Smith-Rivera makes a 3-point jump shot from 24 feet out. Nate Lubick with the assist.,116788,97382,true,true,false,D'Vauntes,Nate,Smith-Rivera,Lubick,GTown,GTown,5,11,2,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,17.8,15.9,44,44,
1,16,58,Aaron Thomas makes a layup shot.,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,7,11,2,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
1,16,46,Nate Lubick with a lost ball turnover: Lost Ball,97382,,true,false,false,Nate,,Lubick,,GTown,,7,11,2,1,0,,,,,2,,2,Lost Ball,7,Turnover,,,,44,44,
1,16,43,Shooting foul committed by Mikael Hopkins.,110378,,true,false,false,Mikael,,Hopkins,,GTown,,7,11,3,1,1,,,,,0,,2,Shooting,8,Foul,,,,44,44,
1,16,43,Okaro White makes free throw 1 of 2.,97445,,true,false,false,Okaro,,White,,FlaSt,,8,11,3,1,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,12,12,
1,16,43,Okaro White makes free throw 2 of 2.,97445,,true,false,false,Okaro,,White,,FlaSt,,9,11,3,1,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,12,12,
1,16,14,Mikael Hopkins misses a layup shot.,110378,,true,false,false,Mikael,,Hopkins,,GTown,,9,11,3,1,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,44,44,
1,16,14,Okaro White with a defensive rebound.,97445,,true,false,false,Okaro,,White,,FlaSt,,9,11,3,1,1,,,,,2,,,,6,Defensive Rebound,,,,12,12,
1,15,56,Personal foul committed by Jabril Trawick.,110380,,true,false,false,Jabril,,Trawick,,GTown,,9,11,4,1,2,,,,,0,,1,Personal,8,Foul,,,,44,44,
1,15,56,Official TV timeout.,,,false,false,false,,,,,,,9,11,4,1,0,,,,,0,,3,Official TV,11,Timeout,,,,12,12,
1,15,40,Marquez White misses a 3-point jump shot from 24 feet out.,125924,,false,false,false,Marquez,,White,,FlaSt,,9,11,4,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,19.6,13.5,12,12,
1,15,40,GTown with a defensive rebound.,,,false,false,false,,,,,,,9,11,4,1,0,,,,,0,,,,6,Defensive Rebound,,,,44,44,
1,15,17,Aaron Bowen misses a 3-point jump shot from 24 feet out.,97381,,true,false,false,Aaron,,Bowen,,GTown,,9,11,4,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,14.4,18.6,44,44,
1,15,17,FlaSt with a defensive rebound.,,,false,false,false,,,,,,,9,11,4,1,0,,,,,0,,,,6,Defensive Rebound,,,,12,12,
1,15,15,Personal foul committed by Mikael Hopkins.,110378,,true,false,false,Mikael,,Hopkins,,GTown,,9,11,5,1,2,,,,,0,,1,Personal,8,Foul,,,,44,44,
1,15,05,Aaron Thomas with a lost ball turnover: Lost Ball,116531,,true,false,false,Aaron,,Thomas,,FlaSt,,9,11,5,1,0,,,,,5,,2,Lost Ball,7,Turnover,,,,12,12,
1,15,00,Aaron Bowen makes a dunk shot.,97381,,true,false,false,Aaron,,Bowen,,GTown,,9,13,5,1,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,44,44,
1,15,00,FlaSt take a 20-second timeout.,,,false,false,false,,,,,,,9,13,5,1,0,,,,,0,,2,Short,11,Timeout,,,,12,12,
1,14,42,Boris Bojanovsky makes a layup shot. Okaro White with the assist.,116525,97445,true,true,false,Boris,Okaro,Bojanovsky,White,FlaSt,FlaSt,11,13,5,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,12,12,
