half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,100,100,
1,19,48,Tony Gill makes a 3-point jump shot.,116220,,true,false,false,Tony,,Gill,,Pac,,3,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,100,100,
1,19,14,Andrew Bock makes a 3-point jump shot.,88808,,true,false,false,Andrew,,Bock,,Pac,,6,0,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,100,100,
1,18,50,Andrew Bock makes a layup shot.,88808,,true,false,false,Andrew,,Bock,,Pac,,8,0,0,0,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,,,,100,100,
1,18,35,Brett Bailey misses a 3-point jump shot.,120946,,true,false,false,Brett,,Bailey,,SD,,8,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,313,313,
1,18,21,Personal foul committed by Sama Taku.,116224,,true,false,false,Sama,,Taku,,Pac,,8,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,100,100,
1,17,46,Ross Rivera makes a jump shot.,110486,,true,false,false,Ross,,Rivera,,Pac,,10,0,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,100,100,
1,17,30,Personal foul committed by Tony Gill.,116220,,true,false,false,Tony,,Gill,,Pac,,10,0,0,2,1,,,,,3,,1,Personal,8,Foul,,,,100,100,
1,17,11,Duda Sanadze makes a jump shot.,116979,,true,false,false,Duda,,Sanadze,,SD,,10,2,0,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,313,313,
1,16,52,Khalil Kelley misses a hook shot.,97090,,true,false,false,Khalil,,Kelley,,Pac,,10,2,0,2,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,,,,100,100,
1,16,45,Sama Taku misses a jump shot.,116224,,true,false,false,Sama,,Taku,,Pac,,10,2,0,2,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,16,35,Dennis Kramer makes a 3-point jump shot.,97261,,true,false,false,Dennis,,Kramer,,SD,,10,5,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,,,,313,313,
1,16,17,Ross Rivera misses a 3-point jump shot.,110486,,true,false,false,Ross,,Rivera,,Pac,,10,5,0,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,16,09,Shooting foul committed by Khalil Kelley.,97090,,true,false,false,Khalil,,Kelley,,Pac,,10,5,0,3,1,,,,,0,,2,Shooting,8,Foul,,,,100,100,
1,16,09,Jito Kok misses free throw 1 of 2.,116980,,true,false,false,Jito,,Kok,,SD,,10,5,0,3,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,313,313,
1,16,09,Jito Kok makes free throw 2 of 2.,116980,,true,false,false,Jito,,Kok,,SD,,10,6,0,3,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,313,313,
1,15,56,Official TV timeout.,,,false,false,false,,,,,,,10,6,0,3,0,,,,,0,,3,Official TV,11,Timeout,,,,100,100,
1,15,44,Duda Sanadze misses a 3-point jump shot.,116979,,true,false,false,Duda,,Sanadze,,SD,,10,6,0,3,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,,,,313,313,
1,15,36,Sama Taku misses a jump shot.,116224,,true,false,false,Sama,,Taku,,Pac,,10,6,0,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,15,29,Shooting foul committed by Ross Rivera.,110486,,true,false,false,Ross,,Rivera,,Pac,,10,6,0,4,1,,,,,2,,2,Shooting,8,Foul,,,,100,100,
1,15,29,Duda Sanadze makes free throw 1 of 2.,116979,,true,false,false,Duda,,Sanadze,,SD,,10,7,0,4,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,313,313,
1,15,29,Duda Sanadze makes free throw 2 of 2.,116979,,true,false,false,Duda,,Sanadze,,SD,,10,8,0,4,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,313,313,
1,15,20,Andrew Bock misses a jump shot.,88808,,true,false,false,Andrew,,Bock,,Pac,,10,8,0,4,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,15,14,Johnny Dee misses a 3-point jump shot.,110052,,true,false,false,Johnny,,Dee,,SD,,10,8,0,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,313,313,
1,14,49,Dennis Kramer misses a hook shot.,97261,,true,false,false,Dennis,,Kramer,,SD,,10,8,0,4,0,,,,,3,2,55,Hook Shot,4,Field Goal Missed,,,,313,313,
1,14,26,Tony Gill makes a jump shot.,116220,,true,false,false,Tony,,Gill,,Pac,,12,8,0,4,1,,,,,5,2,45,Jump Shot,3,Field Goal Made,,,,100,100,
1,14,14,Christopher Anderson misses a layup shot.,110051,,true,false,false,Christopher,,Anderson,,SD,,12,8,0,4,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,,,,313,313,
1,14,06,Sama Taku misses a jump shot.,116224,,true,false,false,Sama,,Taku,,Pac,,12,8,0,4,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,14,01,Offensive foul committed by Duda Sanadze.,116979,,true,false,false,Duda,,Sanadze,,SD,,12,8,1,4,1,,,,,4,,4,Offensive,8,Foul,,,,313,313,
1,13,48,Aaron Short misses a 3-point jump shot.,116223,,true,false,false,Aaron,,Short,,Pac,,12,8,1,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,13,40,Johnny Dee misses a jump shot.,110052,,true,false,false,Johnny,,Dee,,SD,,12,8,1,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,313,313,
1,13,26,Aaron Short misses a jump shot.,116223,,true,false,false,Aaron,,Short,,Pac,,12,8,1,4,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,,,,100,100,
1,13,16,Shooting foul committed by Aaron Short.,116223,,true,false,false,Aaron,,Short,,Pac,,12,8,1,5,1,,,,,0,,2,Shooting,8,Foul,,,,100,100,
1,13,16,Christopher Anderson misses free throw 1 of 2.,110051,,true,false,false,Christopher,,Anderson,,SD,,12,8,1,5,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,313,313,
1,13,16,Christopher Anderson makes free throw 2 of 2.,110051,,true,false,false,Christopher,,Anderson,,SD,,12,9,1,5,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,313,313,
1,13,06,Personal foul committed by Chris Sarbaugh.,110270,,true,false,false,Chris,,Sarbaugh,,SD,,12,9,2,5,1,,,,,0,,1,Personal,8,Foul,,,,313,313,
1,12,47,Gabriel Aguirre makes a layup shot.,120930,,true,false,false,Gabriel,,Aguirre,,Pac,,14,9,2,5,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,,,,100,100,
1,12,47,Shooting foul committed by Dennis Kramer.,97261,,true,false,false,Dennis,,Kramer,,SD,,14,9,3,5,1,,,,,3,,2,Shooting,8,Foul,,,,313,313,
1,12,47,Gabriel Aguirre misses free throw 1 of 1.,120930,,true,false,false,Gabriel,,Aguirre,,Pac,,14,9,3,5,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,100,100,
1,12,25,Dennis Kramer misses a hook shot.,97261,,true,false,false,Dennis,,Kramer,,SD,,14,9,3,5,1,,,,,3,2,55,Hook Shot,4,Field Goal Missed,,,,313,313,
1,12,08,Personal foul committed by Chris Sarbaugh.,110270,,true,false,false,Chris,,Sarbaugh,,SD,,14,9,4,5,2,,,,,0,,1,Personal,8,Foul,,,,313,313,
1,11,44,Official TV timeout.,,,false,false,false,,,,,,,14,9,4,5,0,,,,,0,,3,Official TV,11,Timeout,,,,100,100,
1,11,27,Thomas Jacobs makes a jump shot.,98145,,true,false,false,Thomas,,Jacobs,,SD,,14,11,4,5,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,,,,313,313,
1,11,09,Gabriel Aguirre makes a layup shot.,120930,,true,false,false,Gabriel,,Aguirre,,Pac,,16,11,4,5,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,,,,100,100,
